financial_year,sending_location,stay_type,age_group,sex,rate,nclient
2017/18,Scotland (All Areas Submitted),All Stays,All Ages,Female,667,24010
2017/18,Scotland (All Areas Submitted),All Stays,All Ages,Male,332.8,11980
2017/18,Scotland (All Areas Submitted),All Stays,All Ages,Not Known / Unspecified,0.1,5
2017/18,Scotland (All Areas Submitted),All Stays,0-17 years,Female,1.1,40
2017/18,Scotland (All Areas Submitted),All Stays,0-17 years,Male,2.2,80
2017/18,Scotland (All Areas Submitted),All Stays,0-17 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),All Stays,18-64 years,Female,45.6,1640
2017/18,Scotland (All Areas Submitted),All Stays,18-64 years,Male,61.1,2200
2017/18,Scotland (All Areas Submitted),All Stays,18-64 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),All Stays,65-74 years,Female,56,2015
2017/18,Scotland (All Areas Submitted),All Stays,65-74 years,Male,51.3,1845
2017/18,Scotland (All Areas Submitted),All Stays,65-74 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),All Stays,75-84 years,Female,195.2,7025
2017/18,Scotland (All Areas Submitted),All Stays,75-84 years,Male,108.5,3905
2017/18,Scotland (All Areas Submitted),All Stays,75-84 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),All Stays,85+ years,Female,369.1,13285
2017/18,Scotland (All Areas Submitted),All Stays,85+ years,Male,109.7,3950
2017/18,Scotland (All Areas Submitted),All Stays,85+ years,Not Known / Unspecified,0.1,5
2017/18,Scotland (All Areas Submitted),All Stays,Unknown,Female,0.1,5
2017/18,Scotland (All Areas Submitted),All Stays,Unknown,Male,0,0
2017/18,Scotland (All Areas Submitted),All Stays,Unknown,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,All Ages,Female,566.7,2145
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,All Ages,Male,432,1635
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,All Ages,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,0-17 years,Female,2.6,10
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,0-17 years,Male,5.3,20
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,0-17 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,18-64 years,Female,92.5,350
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,18-64 years,Male,109.6,415
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,18-64 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,65-74 years,Female,56.8,215
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,65-74 years,Male,56.8,215
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,65-74 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,75-84 years,Female,165.1,625
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,75-84 years,Male,137.4,520
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,75-84 years,Not Known / Unspecified,0,0
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,85+ years,Female,251,950
2017/18,Scotland (All Areas Submitted),Short Stay / Respite,85+ years,Male,122.9,465
