financial_year,financial_quarter,sending_location,age_group,measure,value,scotland_value,rate_per_1000,scotland_rate,nursing_care_provision
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18+ years,A&E Attendances,4165,4165,129.1,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18+ years,Emergency Admissions,3475,3475,107.8,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,A&E Attendances,465,465,138.8,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Emergency Admissions,320,320,95.5,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Scotland (All Areas Submitted),65+ years,A&E Attendances,3700,3700,128,128,Nursing Provision provided
2018/19,2018/19 Q1,Scotland (All Areas Submitted),65+ years,Emergency Admissions,3155,3155,109.2,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeen City,18+ years,A&E Attendances,140,4165,90.3,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeen City,18+ years,Emergency Admissions,155,3475,100,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeen City,18-64 years,A&E Attendances,30,465,113.2,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeen City,18-64 years,Emergency Admissions,25,320,94.3,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeen City,65+ years,A&E Attendances,105,3700,81.7,128,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeen City,65+ years,Emergency Admissions,130,3155,101.2,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeenshire,18+ years,A&E Attendances,75,4165,47.5,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeenshire,18+ years,Emergency Admissions,110,3475,69.6,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeenshire,18-64 years,A&E Attendances,5,465,27.8,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeenshire,18-64 years,Emergency Admissions,10,320,55.6,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeenshire,65+ years,A&E Attendances,70,3700,50.2,128,Nursing Provision provided
2018/19,2018/19 Q1,Aberdeenshire,65+ years,Emergency Admissions,100,3155,71.7,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Angus,18+ years,A&E Attendances,30,4165,43.2,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Angus,18+ years,Emergency Admissions,35,3475,50.4,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Angus,18-64 years,A&E Attendances,0,465,0,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Angus,18-64 years,Emergency Admissions,0,320,0,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Angus,65+ years,A&E Attendances,30,3700,49.2,128,Nursing Provision provided
2018/19,2018/19 Q1,Angus,65+ years,Emergency Admissions,35,3155,57.4,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Argyll and Bute,18+ years,A&E Attendances,65,4165,113,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Argyll and Bute,18+ years,Emergency Admissions,65,3475,113,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Argyll and Bute,18-64 years,A&E Attendances,5,465,100,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Argyll and Bute,18-64 years,Emergency Admissions,0,320,0,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Argyll and Bute,65+ years,A&E Attendances,60,3700,114.3,128,Nursing Provision provided
2018/19,2018/19 Q1,Argyll and Bute,65+ years,Emergency Admissions,65,3155,123.8,109.2,Nursing Provision provided
2018/19,2018/19 Q1,City of Edinburgh,18+ years,A&E Attendances,440,4165,158.8,129.1,Nursing Provision provided
2018/19,2018/19 Q1,City of Edinburgh,18+ years,Emergency Admissions,240,3475,86.6,107.8,Nursing Provision provided
2018/19,2018/19 Q1,City of Edinburgh,18-64 years,A&E Attendances,45,465,187.5,138.8,Nursing Provision provided
2018/19,2018/19 Q1,City of Edinburgh,18-64 years,Emergency Admissions,20,320,83.3,95.5,Nursing Provision provided
2018/19,2018/19 Q1,City of Edinburgh,65+ years,A&E Attendances,395,3700,156.1,128,Nursing Provision provided
2018/19,2018/19 Q1,City of Edinburgh,65+ years,Emergency Admissions,220,3155,87,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Clackmannanshire,18+ years,A&E Attendances,20,4165,71.4,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Clackmannanshire,18+ years,Emergency Admissions,20,3475,71.4,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Clackmannanshire,18-64 years,A&E Attendances,5,465,83.3,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Clackmannanshire,18-64 years,Emergency Admissions,5,320,83.3,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Clackmannanshire,65+ years,A&E Attendances,10,3700,46.5,128,Nursing Provision provided
