financial_quarter,sending_location,age_group,measure,value,scotland_value,rate,scotland_rate
2017/18 Q4,Scotland (All Areas Submitted),All Ages,A&E Attendances,3360,3360,101.7,101.7
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Emergency Admissions,2985,2985,90.1,90.1
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Emergency Admissions Bed Days,40365,40365,1221.5,1221.5
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,A&E Attendances,20,20,222.2,222.2
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Emergency Admissions,0,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Emergency Admissions Bed Days,0,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,A&E Attendances,285,285,91.9,91.9
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Emergency Admissions,240,240,77,77
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Emergency Admissions Bed Days,8640,8640,2787.1,2787.1
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,A&E Attendances,365,365,103.5,103.5
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Emergency Admissions,350,350,99.2,99.2
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Emergency Admissions Bed Days,6080,6080,1724.8,1724.8
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,A&E Attendances,1035,1035,102.5,102.5
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Emergency Admissions,960,960,94.9,94.9
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Emergency Admissions Bed Days,11595,11595,1148,1148
2017/18 Q4,Scotland (All Areas Submitted),85+ years,A&E Attendances,1660,1660,102.3,102.3
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Emergency Admissions,1430,1430,87.9,87.9
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Emergency Admissions Bed Days,14045,14045,865.4,865.4
2017/18 Q4,Scotland (All Areas Submitted),Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Aberdeen City,All Ages,A&E Attendances,120,3360,66.1,101.7
2017/18 Q4,Aberdeen City,All Ages,Emergency Admissions,140,2985,77.1,90.1
2017/18 Q4,Aberdeen City,All Ages,Emergency Admissions Bed Days,3010,40365,1658.4,1221.5
2017/18 Q4,Aberdeen City,0-17 years,A&E Attendances,10,20,153.8,222.2
2017/18 Q4,Aberdeen City,0-17 years,Emergency Admissions,0,0,0,0
2017/18 Q4,Aberdeen City,0-17 years,Emergency Admissions Bed Days,0,0,0,0
2017/18 Q4,Aberdeen City,18-64 years,A&E Attendances,10,285,35.7,91.9
2017/18 Q4,Aberdeen City,18-64 years,Emergency Admissions,25,240,89.3,77
2017/18 Q4,Aberdeen City,18-64 years,Emergency Admissions Bed Days,1550,8640,5535.7,2787.1
2017/18 Q4,Aberdeen City,65-74 years,A&E Attendances,5,365,23.3,103.5
2017/18 Q4,Aberdeen City,65-74 years,Emergency Admissions,15,350,69.8,99.2
2017/18 Q4,Aberdeen City,65-74 years,Emergency Admissions Bed Days,240,6080,1116.3,1724.8
2017/18 Q4,Aberdeen City,75-84 years,A&E Attendances,40,1035,80,102.5
2017/18 Q4,Aberdeen City,75-84 years,Emergency Admissions,50,960,100,94.9
