financial_year,sending_location,iorn_group,nclient,propn_iorn
2017/18,Clackmannanshire,A (Most Independent),0,0
2017/18,Clackmannanshire,B,10,7.1
2017/18,Clackmannanshire,C,10,7.1
2017/18,Clackmannanshire,D,5,3.6
2017/18,Clackmannanshire,E,10,7.1
2017/18,Clackmannanshire,F,50,35.7
2017/18,Clackmannanshire,G,5,3.6
2017/18,Clackmannanshire,H,15,10.7
2017/18,Clackmannanshire,I (Least Independent),35,25
2017/18,East Dunbartonshire,A (Most Independent),0,0
2017/18,East Dunbartonshire,B,0,0
2017/18,East Dunbartonshire,C,0,0
2017/18,East Dunbartonshire,D,0,0
2017/18,East Dunbartonshire,E,0,0
2017/18,East Dunbartonshire,F,5,10
2017/18,East Dunbartonshire,G,0,0
2017/18,East Dunbartonshire,H,15,30
2017/18,East Dunbartonshire,I (Least Independent),30,60
2017/18,Falkirk,A (Most Independent),0,0
2017/18,Falkirk,B,15,5.2
2017/18,Falkirk,C,10,3.4
2017/18,Falkirk,D,20,6.9
2017/18,Falkirk,E,10,3.4
2017/18,Falkirk,F,35,12.1
2017/18,Falkirk,G,15,5.2
2017/18,Falkirk,H,45,15.5
2017/18,Falkirk,I (Least Independent),140,48.3
2017/18,Inverclyde,A (Most Independent),5,2.3
2017/18,Inverclyde,B,10,4.5
2017/18,Inverclyde,C,10,4.5
2017/18,Inverclyde,D,10,4.5
2017/18,Inverclyde,E,10,4.5
2017/18,Inverclyde,F,25,11.4
2017/18,Inverclyde,G,10,4.5
2017/18,Inverclyde,H,35,15.9
2017/18,Inverclyde,I (Least Independent),105,47.7
2017/18,Midlothian,A (Most Independent),0,0
2017/18,Midlothian,B,5,12.5
2017/18,Midlothian,C,0,0
2017/18,Midlothian,D,0,0
2017/18,Midlothian,E,0,0
2017/18,Midlothian,F,15,37.5
2017/18,Midlothian,G,0,0
2017/18,Midlothian,H,10,25
2017/18,Midlothian,I (Least Independent),10,25
2017/18,North Lanarkshire,A (Most Independent),10,2.1
2017/18,North Lanarkshire,B,20,4.1
2017/18,North Lanarkshire,C,20,4.1
2017/18,North Lanarkshire,D,30,6.2
2017/18,North Lanarkshire,E,20,4.1
2017/18,North Lanarkshire,F,85,17.5
2017/18,North Lanarkshire,G,25,5.2
2017/18,North Lanarkshire,H,45,9.3
2017/18,North Lanarkshire,I (Least Independent),230,47.4
2017/18,Orkney Islands,A (Most Independent),0,0
2017/18,Orkney Islands,B,0,0
2017/18,Orkney Islands,C,0,0
2017/18,Orkney Islands,D,0,0
2017/18,Orkney Islands,E,0,0
2017/18,Orkney Islands,F,0,0
2017/18,Orkney Islands,G,0,0
2017/18,Orkney Islands,H,0,0
2017/18,Orkney Islands,I (Least Independent),10,100
2017/18,Perth and Kinross,A (Most Independent),25,2.5
2017/18,Perth and Kinross,B,75,7.5
2017/18,Perth and Kinross,C,50,5
2017/18,Perth and Kinross,D,125,12.4
2017/18,Perth and Kinross,E,50,5
2017/18,Perth and Kinross,F,280,27.9
2017/18,Perth and Kinross,G,95,9.5
2017/18,Perth and Kinross,H,120,11.9
2017/18,Perth and Kinross,I (Least Independent),185,18.4
2018/19,Clackmannanshire,A (Most Independent),0,0
2018/19,Clackmannanshire,B,10,6.1
2018/19,Clackmannanshire,C,15,9.1
2018/19,Clackmannanshire,D,15,9.1
2018/19,Clackmannanshire,E,15,9.1
2018/19,Clackmannanshire,F,60,36.4
2018/19,Clackmannanshire,G,5,3
2018/19,Clackmannanshire,H,15,9.1
2018/19,Clackmannanshire,I (Least Independent),30,18.2
2018/19,East Dunbartonshire,A (Most Independent),0,0
2018/19,East Dunbartonshire,B,5,2.2
2018/19,East Dunbartonshire,C,5,2.2
2018/19,East Dunbartonshire,D,5,2.2
2018/19,East Dunbartonshire,E,5,2.2
2018/19,East Dunbartonshire,F,20,8.9
2018/19,East Dunbartonshire,G,5,2.2
2018/19,East Dunbartonshire,H,75,33.3
2018/19,East Dunbartonshire,I (Least Independent),105,46.7
2018/19,Inverclyde,A (Most Independent),5,2.9
2018/19,Inverclyde,B,10,5.7
2018/19,Inverclyde,C,10,5.7
2018/19,Inverclyde,D,10,5.7
2018/19,Inverclyde,E,10,5.7
2018/19,Inverclyde,F,25,14.3
2018/19,Inverclyde,G,5,2.9
2018/19,Inverclyde,H,25,14.3
2018/19,Inverclyde,I (Least Independent),75,42.9
2018/19,Midlothian,A (Most Independent),0,0
2018/19,Midlothian,B,10,8.7
2018/19,Midlothian,C,10,8.7
2018/19,Midlothian,D,5,4.3
2018/19,Midlothian,E,10,8.7
2018/19,Midlothian,F,30,26.1
2018/19,Midlothian,G,0,0
2018/19,Midlothian,H,20,17.4
2018/19,Midlothian,I (Least Independent),30,26.1
2018/19,North Lanarkshire,A (Most Independent),0,0
2018/19,North Lanarkshire,B,30,5.4
2018/19,North Lanarkshire,C,25,4.5
2018/19,North Lanarkshire,D,40,7.2
2018/19,North Lanarkshire,E,25,4.5
2018/19,North Lanarkshire,F,90,16.2
2018/19,North Lanarkshire,G,25,4.5
2018/19,North Lanarkshire,H,55,9.9
2018/19,North Lanarkshire,I (Least Independent),265,47.7
2019/20,Clackmannanshire,A (Most Independent),0,0
2019/20,Clackmannanshire,B,10,5.1
2019/20,Clackmannanshire,C,15,7.7
2019/20,Clackmannanshire,D,15,7.7
2019/20,Clackmannanshire,E,15,7.7
2019/20,Clackmannanshire,F,45,23.1
2019/20,Clackmannanshire,G,5,2.6
2019/20,Clackmannanshire,H,20,10.3
2019/20,Clackmannanshire,I (Least Independent),70,35.9
2019/20,East Dunbartonshire,A (Most Independent),0,0
2019/20,East Dunbartonshire,B,5,2.1
2019/20,East Dunbartonshire,C,5,2.1
2019/20,East Dunbartonshire,D,5,2.1
2019/20,East Dunbartonshire,E,5,2.1
2019/20,East Dunbartonshire,F,20,8.3
2019/20,East Dunbartonshire,G,5,2.1
2019/20,East Dunbartonshire,H,65,27.1
2019/20,East Dunbartonshire,I (Least Independent),130,54.2
2019/20,Inverclyde,A (Most Independent),0,0
2019/20,Inverclyde,B,5,5.9
2019/20,Inverclyde,C,5,5.9
2019/20,Inverclyde,D,5,5.9
2019/20,Inverclyde,E,5,5.9
2019/20,Inverclyde,F,10,11.8
2019/20,Inverclyde,G,0,0
2019/20,Inverclyde,H,5,5.9
2019/20,Inverclyde,I (Least Independent),50,58.8
2019/20,Midlothian,A (Most Independent),0,0
2019/20,Midlothian,B,0,0
2019/20,Midlothian,C,0,0
2019/20,Midlothian,D,5,5.3
2019/20,Midlothian,E,0,0
2019/20,Midlothian,F,35,36.8
2019/20,Midlothian,G,0,0
2019/20,Midlothian,H,25,26.3
2019/20,Midlothian,I (Least Independent),30,31.6
2019/20,North Lanarkshire,A (Most Independent),10,1.8
2019/20,North Lanarkshire,B,20,3.6
2019/20,North Lanarkshire,C,35,6.3
2019/20,North Lanarkshire,D,25,4.5
2019/20,North Lanarkshire,E,35,6.3
2019/20,North Lanarkshire,F,90,16.2
2019/20,North Lanarkshire,G,15,2.7
2019/20,North Lanarkshire,H,45,8.1
2019/20,North Lanarkshire,I (Least Independent),280,50.5
2019/20,Orkney Islands,A (Most Independent),0,0
2019/20,Orkney Islands,B,0,0
2019/20,Orkney Islands,C,10,11.8
2019/20,Orkney Islands,D,10,11.8
2019/20,Orkney Islands,E,10,11.8
2019/20,Orkney Islands,F,5,5.9
2019/20,Orkney Islands,G,0,0
2019/20,Orkney Islands,H,5,5.9
2019/20,Orkney Islands,I (Least Independent),45,52.9
2019/20,Perth and Kinross,A (Most Independent),10,0.9
2019/20,Perth and Kinross,B,55,4.9
2019/20,Perth and Kinross,C,35,3.1
2019/20,Perth and Kinross,D,185,16.4
2019/20,Perth and Kinross,E,35,3.1
2019/20,Perth and Kinross,F,160,14.2
2019/20,Perth and Kinross,G,120,10.7
2019/20,Perth and Kinross,H,160,14.2
2019/20,Perth and Kinross,I (Least Independent),365,32.4
2020/21,Clackmannanshire,A (Most Independent),0,0
2020/21,Clackmannanshire,B,0,0
2020/21,Clackmannanshire,C,5,4.5
2020/21,Clackmannanshire,D,5,4.5
2020/21,Clackmannanshire,E,5,4.5
2020/21,Clackmannanshire,F,30,27.3
2020/21,Clackmannanshire,G,5,4.5
2020/21,Clackmannanshire,H,20,18.2
2020/21,Clackmannanshire,I (Least Independent),40,36.4
2020/21,East Dunbartonshire,A (Most Independent),0,0
2020/21,East Dunbartonshire,B,0,0
2020/21,East Dunbartonshire,C,5,2.5
2020/21,East Dunbartonshire,D,0,0
2020/21,East Dunbartonshire,E,5,2.5
2020/21,East Dunbartonshire,F,15,7.5
2020/21,East Dunbartonshire,G,5,2.5
2020/21,East Dunbartonshire,H,50,25
2020/21,East Dunbartonshire,I (Least Independent),120,60
2020/21,Inverclyde,A (Most Independent),0,0
2020/21,Inverclyde,B,5,7.7
2020/21,Inverclyde,C,5,7.7
2020/21,Inverclyde,D,0,0
2020/21,Inverclyde,E,5,7.7
2020/21,Inverclyde,F,5,7.7
2020/21,Inverclyde,G,0,0
2020/21,Inverclyde,H,5,7.7
2020/21,Inverclyde,I (Least Independent),40,61.5
2020/21,Midlothian,A (Most Independent),0,0
2020/21,Midlothian,B,5,5
2020/21,Midlothian,C,5,5
2020/21,Midlothian,D,0,0
2020/21,Midlothian,E,5,5
2020/21,Midlothian,F,35,35
2020/21,Midlothian,G,0,0
2020/21,Midlothian,H,20,20
2020/21,Midlothian,I (Least Independent),30,30
2020/21,North Lanarkshire,A (Most Independent),5,1.2
2020/21,North Lanarkshire,B,20,4.7
2020/21,North Lanarkshire,C,20,4.7
2020/21,North Lanarkshire,D,25,5.9
2020/21,North Lanarkshire,E,20,4.7
2020/21,North Lanarkshire,F,80,18.8
2020/21,North Lanarkshire,G,15,3.5
2020/21,North Lanarkshire,H,45,10.6
2020/21,North Lanarkshire,I (Least Independent),195,45.9
2020/21,Perth and Kinross,A (Most Independent),5,0.4
2020/21,Perth and Kinross,B,45,3.8
2020/21,Perth and Kinross,C,40,3.3
2020/21,Perth and Kinross,D,165,13.8
2020/21,Perth and Kinross,E,40,3.3
2020/21,Perth and Kinross,F,195,16.2
2020/21,Perth and Kinross,G,120,10
2020/21,Perth and Kinross,H,165,13.8
2020/21,Perth and Kinross,I (Least Independent),425,35.4
2020/21,Renfrewshire,A (Most Independent),0,0
2020/21,Renfrewshire,B,5,4.3
2020/21,Renfrewshire,C,0,0
2020/21,Renfrewshire,D,0,0
2020/21,Renfrewshire,E,0,0
2020/21,Renfrewshire,F,5,4.3
2020/21,Renfrewshire,G,5,4.3
2020/21,Renfrewshire,H,25,21.7
2020/21,Renfrewshire,I (Least Independent),75,65.2
