financial_year,sending_location,age_group,nursing_care_provision,number_nc_provision,propn_nc_provision
2017/18,Scotland (All Areas Submitted),All Ages,Stays with Nursing Provision,18895,57
2017/18,Scotland (All Areas Submitted),All Ages,Stays with no Nursing Provision,14275,43
2017/18,Scotland (All Areas Submitted),0-17 years,Stays with Nursing Provision,0,0
2017/18,Scotland (All Areas Submitted),0-17 years,Stays with no Nursing Provision,90,100
2017/18,Scotland (All Areas Submitted),18-64 years,Stays with Nursing Provision,1155,37.1
2017/18,Scotland (All Areas Submitted),18-64 years,Stays with no Nursing Provision,1960,62.9
2017/18,Scotland (All Areas Submitted),65-74 years,Stays with Nursing Provision,2195,62
2017/18,Scotland (All Areas Submitted),65-74 years,Stays with no Nursing Provision,1345,38
2017/18,Scotland (All Areas Submitted),75-84 years,Stays with Nursing Provision,6465,63.8
2017/18,Scotland (All Areas Submitted),75-84 years,Stays with no Nursing Provision,3670,36.2
2017/18,Scotland (All Areas Submitted),85+ years,Stays with Nursing Provision,9070,55.7
2017/18,Scotland (All Areas Submitted),85+ years,Stays with no Nursing Provision,7210,44.3
2017/18,Scotland (All Areas Submitted),Unknown,Stays with Nursing Provision,5,100
2017/18,Scotland (All Areas Submitted),Unknown,Stays with no Nursing Provision,0,0
2017/18,Aberdeen City,All Ages,Stays with Nursing Provision,1145,63.1
2017/18,Aberdeen City,All Ages,Stays with no Nursing Provision,670,36.9
2017/18,Aberdeen City,0-17 years,Stays with Nursing Provision,0,0
2017/18,Aberdeen City,0-17 years,Stays with no Nursing Provision,65,100
2017/18,Aberdeen City,18-64 years,Stays with Nursing Provision,85,30.4
2017/18,Aberdeen City,18-64 years,Stays with no Nursing Provision,195,69.6
2017/18,Aberdeen City,65-74 years,Stays with Nursing Provision,145,67.4
2017/18,Aberdeen City,65-74 years,Stays with no Nursing Provision,70,32.6
2017/18,Aberdeen City,75-84 years,Stays with Nursing Provision,390,77.2
2017/18,Aberdeen City,75-84 years,Stays with no Nursing Provision,115,22.8
2017/18,Aberdeen City,85+ years,Stays with Nursing Provision,525,69.5
2017/18,Aberdeen City,85+ years,Stays with no Nursing Provision,230,30.5
2017/18,Aberdeen City,Unknown,Stays with Nursing Provision,0,NA
2017/18,Aberdeen City,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Aberdeenshire,All Ages,Stays with Nursing Provision,1145,61.6
2017/18,Aberdeenshire,All Ages,Stays with no Nursing Provision,715,38.4
2017/18,Aberdeenshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Aberdeenshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Aberdeenshire,18-64 years,Stays with Nursing Provision,50,22.7
2017/18,Aberdeenshire,18-64 years,Stays with no Nursing Provision,170,77.3
2017/18,Aberdeenshire,65-74 years,Stays with Nursing Provision,120,64.9
2017/18,Aberdeenshire,65-74 years,Stays with no Nursing Provision,65,35.1
2017/18,Aberdeenshire,75-84 years,Stays with Nursing Provision,400,72.7
2017/18,Aberdeenshire,75-84 years,Stays with no Nursing Provision,150,27.3
2017/18,Aberdeenshire,85+ years,Stays with Nursing Provision,575,63.5
2017/18,Aberdeenshire,85+ years,Stays with no Nursing Provision,330,36.5
2017/18,Aberdeenshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,Aberdeenshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Angus,All Ages,Stays with Nursing Provision,375,36.4
2017/18,Angus,All Ages,Stays with no Nursing Provision,655,63.6
2017/18,Angus,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Angus,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Angus,18-64 years,Stays with Nursing Provision,10,11.1
2017/18,Angus,18-64 years,Stays with no Nursing Provision,80,88.9
2017/18,Angus,65-74 years,Stays with Nursing Provision,55,52.4
2017/18,Angus,65-74 years,Stays with no Nursing Provision,50,47.6
2017/18,Angus,75-84 years,Stays with Nursing Provision,120,42.9
2017/18,Angus,75-84 years,Stays with no Nursing Provision,160,57.1
2017/18,Angus,85+ years,Stays with Nursing Provision,190,33.9
2017/18,Angus,85+ years,Stays with no Nursing Provision,370,66.1
2017/18,Angus,Unknown,Stays with Nursing Provision,0,NA
2017/18,Angus,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Argyll and Bute,All Ages,Stays with Nursing Provision,310,47.3
2017/18,Argyll and Bute,All Ages,Stays with no Nursing Provision,345,52.7
2017/18,Argyll and Bute,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Argyll and Bute,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Argyll and Bute,18-64 years,Stays with Nursing Provision,15,27.3
2017/18,Argyll and Bute,18-64 years,Stays with no Nursing Provision,40,72.7
2017/18,Argyll and Bute,65-74 years,Stays with Nursing Provision,40,57.1
2017/18,Argyll and Bute,65-74 years,Stays with no Nursing Provision,30,42.9
2017/18,Argyll and Bute,75-84 years,Stays with Nursing Provision,105,56.8
2017/18,Argyll and Bute,75-84 years,Stays with no Nursing Provision,80,43.2
2017/18,Argyll and Bute,85+ years,Stays with Nursing Provision,155,44.9
2017/18,Argyll and Bute,85+ years,Stays with no Nursing Provision,190,55.1
2017/18,Argyll and Bute,Unknown,Stays with Nursing Provision,0,NA
2017/18,Argyll and Bute,Unknown,Stays with no Nursing Provision,0,NA
2017/18,City of Edinburgh,All Ages,Stays with Nursing Provision,625,21.4
2017/18,City of Edinburgh,All Ages,Stays with no Nursing Provision,2295,78.6
2017/18,City of Edinburgh,0-17 years,Stays with Nursing Provision,0,NA
2017/18,City of Edinburgh,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,City of Edinburgh,18-64 years,Stays with Nursing Provision,10,3.7
2017/18,City of Edinburgh,18-64 years,Stays with no Nursing Provision,260,96.3
2017/18,City of Edinburgh,65-74 years,Stays with Nursing Provision,40,13.1
2017/18,City of Edinburgh,65-74 years,Stays with no Nursing Provision,265,86.9
2017/18,City of Edinburgh,75-84 years,Stays with Nursing Provision,170,21.7
2017/18,City of Edinburgh,75-84 years,Stays with no Nursing Provision,615,78.3
2017/18,City of Edinburgh,85+ years,Stays with Nursing Provision,400,25.6
2017/18,City of Edinburgh,85+ years,Stays with no Nursing Provision,1160,74.4
2017/18,City of Edinburgh,Unknown,Stays with Nursing Provision,0,NA
2017/18,City of Edinburgh,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Clackmannanshire,All Ages,Stays with Nursing Provision,165,55
2017/18,Clackmannanshire,All Ages,Stays with no Nursing Provision,135,45
2017/18,Clackmannanshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Clackmannanshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Clackmannanshire,18-64 years,Stays with Nursing Provision,30,46.2
2017/18,Clackmannanshire,18-64 years,Stays with no Nursing Provision,35,53.8
2017/18,Clackmannanshire,65-74 years,Stays with Nursing Provision,20,57.1
2017/18,Clackmannanshire,65-74 years,Stays with no Nursing Provision,15,42.9
2017/18,Clackmannanshire,75-84 years,Stays with Nursing Provision,45,52.9
2017/18,Clackmannanshire,75-84 years,Stays with no Nursing Provision,40,47.1
2017/18,Clackmannanshire,85+ years,Stays with Nursing Provision,75,62.5
2017/18,Clackmannanshire,85+ years,Stays with no Nursing Provision,45,37.5
2017/18,Clackmannanshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,Clackmannanshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Dumfries and Galloway,All Ages,Stays with Nursing Provision,150,12.6
2017/18,Dumfries and Galloway,All Ages,Stays with no Nursing Provision,1040,87.4
2017/18,Dumfries and Galloway,0-17 years,Stays with Nursing Provision,0,0
2017/18,Dumfries and Galloway,0-17 years,Stays with no Nursing Provision,5,100
2017/18,Dumfries and Galloway,18-64 years,Stays with Nursing Provision,20,28.6
2017/18,Dumfries and Galloway,18-64 years,Stays with no Nursing Provision,50,71.4
2017/18,Dumfries and Galloway,65-74 years,Stays with Nursing Provision,15,12
2017/18,Dumfries and Galloway,65-74 years,Stays with no Nursing Provision,110,88
2017/18,Dumfries and Galloway,75-84 years,Stays with Nursing Provision,60,16.7
2017/18,Dumfries and Galloway,75-84 years,Stays with no Nursing Provision,300,83.3
2017/18,Dumfries and Galloway,85+ years,Stays with Nursing Provision,60,9.4
2017/18,Dumfries and Galloway,85+ years,Stays with no Nursing Provision,575,90.6
2017/18,Dumfries and Galloway,Unknown,Stays with Nursing Provision,0,NA
2017/18,Dumfries and Galloway,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Dundee City,All Ages,Stays with Nursing Provision,790,63.2
2017/18,Dundee City,All Ages,Stays with no Nursing Provision,460,36.8
2017/18,Dundee City,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Dundee City,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Dundee City,18-64 years,Stays with Nursing Provision,70,66.7
2017/18,Dundee City,18-64 years,Stays with no Nursing Provision,35,33.3
2017/18,Dundee City,65-74 years,Stays with Nursing Provision,100,76.9
2017/18,Dundee City,65-74 years,Stays with no Nursing Provision,30,23.1
2017/18,Dundee City,75-84 years,Stays with Nursing Provision,275,70.5
2017/18,Dundee City,75-84 years,Stays with no Nursing Provision,115,29.5
2017/18,Dundee City,85+ years,Stays with Nursing Provision,340,54.8
2017/18,Dundee City,85+ years,Stays with no Nursing Provision,280,45.2
2017/18,Dundee City,Unknown,Stays with Nursing Provision,0,NA
2017/18,Dundee City,Unknown,Stays with no Nursing Provision,0,NA
2017/18,East Ayrshire,All Ages,Stays with Nursing Provision,570,69.9
2017/18,East Ayrshire,All Ages,Stays with no Nursing Provision,245,30.1
2017/18,East Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,East Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,East Ayrshire,18-64 years,Stays with Nursing Provision,35,53.8
2017/18,East Ayrshire,18-64 years,Stays with no Nursing Provision,30,46.2
2017/18,East Ayrshire,65-74 years,Stays with Nursing Provision,70,77.8
2017/18,East Ayrshire,65-74 years,Stays with no Nursing Provision,20,22.2
2017/18,East Ayrshire,75-84 years,Stays with Nursing Provision,200,72.7
2017/18,East Ayrshire,75-84 years,Stays with no Nursing Provision,75,27.3
2017/18,East Ayrshire,85+ years,Stays with Nursing Provision,270,69.2
2017/18,East Ayrshire,85+ years,Stays with no Nursing Provision,120,30.8
2017/18,East Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,East Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,East Dunbartonshire,All Ages,Stays with Nursing Provision,745,86.6
2017/18,East Dunbartonshire,All Ages,Stays with no Nursing Provision,115,13.4
2017/18,East Dunbartonshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,East Dunbartonshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,East Dunbartonshire,18-64 years,Stays with Nursing Provision,20,44.4
2017/18,East Dunbartonshire,18-64 years,Stays with no Nursing Provision,25,55.6
2017/18,East Dunbartonshire,65-74 years,Stays with Nursing Provision,60,92.3
2017/18,East Dunbartonshire,65-74 years,Stays with no Nursing Provision,5,7.7
2017/18,East Dunbartonshire,75-84 years,Stays with Nursing Provision,245,94.2
2017/18,East Dunbartonshire,75-84 years,Stays with no Nursing Provision,15,5.8
2017/18,East Dunbartonshire,85+ years,Stays with Nursing Provision,420,86.6
2017/18,East Dunbartonshire,85+ years,Stays with no Nursing Provision,65,13.4
2017/18,East Dunbartonshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,East Dunbartonshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,East Lothian,All Ages,Stays with Nursing Provision,475,66
2017/18,East Lothian,All Ages,Stays with no Nursing Provision,245,34
2017/18,East Lothian,0-17 years,Stays with Nursing Provision,0,NA
2017/18,East Lothian,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,East Lothian,18-64 years,Stays with Nursing Provision,20,36.4
2017/18,East Lothian,18-64 years,Stays with no Nursing Provision,35,63.6
2017/18,East Lothian,65-74 years,Stays with Nursing Provision,55,68.8
2017/18,East Lothian,65-74 years,Stays with no Nursing Provision,25,31.2
2017/18,East Lothian,75-84 years,Stays with Nursing Provision,155,73.8
2017/18,East Lothian,75-84 years,Stays with no Nursing Provision,55,26.2
2017/18,East Lothian,85+ years,Stays with Nursing Provision,250,65.8
2017/18,East Lothian,85+ years,Stays with no Nursing Provision,130,34.2
2017/18,East Lothian,Unknown,Stays with Nursing Provision,0,NA
2017/18,East Lothian,Unknown,Stays with no Nursing Provision,0,NA
2017/18,East Renfrewshire,All Ages,Stays with Nursing Provision,320,48.9
2017/18,East Renfrewshire,All Ages,Stays with no Nursing Provision,335,51.1
2017/18,East Renfrewshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,East Renfrewshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,East Renfrewshire,18-64 years,Stays with Nursing Provision,15,42.9
2017/18,East Renfrewshire,18-64 years,Stays with no Nursing Provision,20,57.1
2017/18,East Renfrewshire,65-74 years,Stays with Nursing Provision,25,50
2017/18,East Renfrewshire,65-74 years,Stays with no Nursing Provision,25,50
2017/18,East Renfrewshire,75-84 years,Stays with Nursing Provision,110,56.4
2017/18,East Renfrewshire,75-84 years,Stays with no Nursing Provision,85,43.6
2017/18,East Renfrewshire,85+ years,Stays with Nursing Provision,165,44
2017/18,East Renfrewshire,85+ years,Stays with no Nursing Provision,210,56
2017/18,East Renfrewshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,East Renfrewshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Falkirk,All Ages,Stays with Nursing Provision,825,71.4
2017/18,Falkirk,All Ages,Stays with no Nursing Provision,330,28.6
2017/18,Falkirk,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Falkirk,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Falkirk,18-64 years,Stays with Nursing Provision,30,16.7
2017/18,Falkirk,18-64 years,Stays with no Nursing Provision,150,83.3
2017/18,Falkirk,65-74 years,Stays with Nursing Provision,120,72.7
2017/18,Falkirk,65-74 years,Stays with no Nursing Provision,45,27.3
2017/18,Falkirk,75-84 years,Stays with Nursing Provision,290,81.7
2017/18,Falkirk,75-84 years,Stays with no Nursing Provision,65,18.3
2017/18,Falkirk,85+ years,Stays with Nursing Provision,390,84.8
2017/18,Falkirk,85+ years,Stays with no Nursing Provision,70,15.2
2017/18,Falkirk,Unknown,Stays with Nursing Provision,0,NA
2017/18,Falkirk,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Fife,All Ages,Stays with Nursing Provision,1515,54.7
2017/18,Fife,All Ages,Stays with no Nursing Provision,1255,45.3
2017/18,Fife,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Fife,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Fife,18-64 years,Stays with Nursing Provision,135,67.5
2017/18,Fife,18-64 years,Stays with no Nursing Provision,65,32.5
2017/18,Fife,65-74 years,Stays with Nursing Provision,210,67.7
2017/18,Fife,65-74 years,Stays with no Nursing Provision,100,32.3
2017/18,Fife,75-84 years,Stays with Nursing Provision,530,60.6
2017/18,Fife,75-84 years,Stays with no Nursing Provision,345,39.4
2017/18,Fife,85+ years,Stays with Nursing Provision,640,46.2
2017/18,Fife,85+ years,Stays with no Nursing Provision,745,53.8
2017/18,Fife,Unknown,Stays with Nursing Provision,0,NA
2017/18,Fife,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Highland,All Ages,Stays with Nursing Provision,855,45.5
2017/18,Highland,All Ages,Stays with no Nursing Provision,1025,54.5
2017/18,Highland,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Highland,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Highland,18-64 years,Stays with Nursing Provision,110,56.4
2017/18,Highland,18-64 years,Stays with no Nursing Provision,85,43.6
2017/18,Highland,65-74 years,Stays with Nursing Provision,120,61.5
2017/18,Highland,65-74 years,Stays with no Nursing Provision,75,38.5
2017/18,Highland,75-84 years,Stays with Nursing Provision,275,50
2017/18,Highland,75-84 years,Stays with no Nursing Provision,275,50
2017/18,Highland,85+ years,Stays with Nursing Provision,350,37.2
2017/18,Highland,85+ years,Stays with no Nursing Provision,590,62.8
2017/18,Highland,Unknown,Stays with Nursing Provision,0,NA
2017/18,Highland,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Inverclyde,All Ages,Stays with Nursing Provision,585,83.6
2017/18,Inverclyde,All Ages,Stays with no Nursing Provision,115,16.4
2017/18,Inverclyde,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Inverclyde,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Inverclyde,18-64 years,Stays with Nursing Provision,25,33.3
2017/18,Inverclyde,18-64 years,Stays with no Nursing Provision,50,66.7
2017/18,Inverclyde,65-74 years,Stays with Nursing Provision,55,73.3
2017/18,Inverclyde,65-74 years,Stays with no Nursing Provision,20,26.7
2017/18,Inverclyde,75-84 years,Stays with Nursing Provision,185,92.5
2017/18,Inverclyde,75-84 years,Stays with no Nursing Provision,15,7.5
2017/18,Inverclyde,85+ years,Stays with Nursing Provision,320,92.8
2017/18,Inverclyde,85+ years,Stays with no Nursing Provision,25,7.2
2017/18,Inverclyde,Unknown,Stays with Nursing Provision,0,NA
2017/18,Inverclyde,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Midlothian,All Ages,Stays with Nursing Provision,360,69.2
2017/18,Midlothian,All Ages,Stays with no Nursing Provision,160,30.8
2017/18,Midlothian,0-17 years,Stays with Nursing Provision,0,0
2017/18,Midlothian,0-17 years,Stays with no Nursing Provision,15,100
2017/18,Midlothian,18-64 years,Stays with Nursing Provision,15,33.3
2017/18,Midlothian,18-64 years,Stays with no Nursing Provision,30,66.7
2017/18,Midlothian,65-74 years,Stays with Nursing Provision,40,72.7
2017/18,Midlothian,65-74 years,Stays with no Nursing Provision,15,27.3
2017/18,Midlothian,75-84 years,Stays with Nursing Provision,125,78.1
2017/18,Midlothian,75-84 years,Stays with no Nursing Provision,35,21.9
2017/18,Midlothian,85+ years,Stays with Nursing Provision,180,73.5
2017/18,Midlothian,85+ years,Stays with no Nursing Provision,65,26.5
2017/18,Midlothian,Unknown,Stays with Nursing Provision,0,NA
2017/18,Midlothian,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Moray,All Ages,Stays with Nursing Provision,195,31.2
2017/18,Moray,All Ages,Stays with no Nursing Provision,430,68.8
2017/18,Moray,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Moray,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Moray,18-64 years,Stays with Nursing Provision,20,22.2
2017/18,Moray,18-64 years,Stays with no Nursing Provision,70,77.8
2017/18,Moray,65-74 years,Stays with Nursing Provision,35,50
2017/18,Moray,65-74 years,Stays with no Nursing Provision,35,50
2017/18,Moray,75-84 years,Stays with Nursing Provision,65,38.2
2017/18,Moray,75-84 years,Stays with no Nursing Provision,105,61.8
2017/18,Moray,85+ years,Stays with Nursing Provision,75,25.4
2017/18,Moray,85+ years,Stays with no Nursing Provision,220,74.6
2017/18,Moray,Unknown,Stays with Nursing Provision,0,NA
2017/18,Moray,Unknown,Stays with no Nursing Provision,0,NA
2017/18,North Ayrshire,All Ages,Stays with Nursing Provision,695,65.9
2017/18,North Ayrshire,All Ages,Stays with no Nursing Provision,360,34.1
2017/18,North Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,North Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,North Ayrshire,18-64 years,Stays with Nursing Provision,35,38.9
2017/18,North Ayrshire,18-64 years,Stays with no Nursing Provision,55,61.1
2017/18,North Ayrshire,65-74 years,Stays with Nursing Provision,85,77.3
2017/18,North Ayrshire,65-74 years,Stays with no Nursing Provision,25,22.7
2017/18,North Ayrshire,75-84 years,Stays with Nursing Provision,260,72.2
2017/18,North Ayrshire,75-84 years,Stays with no Nursing Provision,100,27.8
2017/18,North Ayrshire,85+ years,Stays with Nursing Provision,315,63.6
2017/18,North Ayrshire,85+ years,Stays with no Nursing Provision,180,36.4
2017/18,North Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,North Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,North Lanarkshire,All Ages,Stays with Nursing Provision,1480,94.6
2017/18,North Lanarkshire,All Ages,Stays with no Nursing Provision,85,5.4
2017/18,North Lanarkshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,North Lanarkshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,North Lanarkshire,18-64 years,Stays with Nursing Provision,60,85.7
2017/18,North Lanarkshire,18-64 years,Stays with no Nursing Provision,10,14.3
2017/18,North Lanarkshire,65-74 years,Stays with Nursing Provision,180,92.3
2017/18,North Lanarkshire,65-74 years,Stays with no Nursing Provision,15,7.7
2017/18,North Lanarkshire,75-84 years,Stays with Nursing Provision,560,94.9
2017/18,North Lanarkshire,75-84 years,Stays with no Nursing Provision,30,5.1
2017/18,North Lanarkshire,85+ years,Stays with Nursing Provision,685,95.1
2017/18,North Lanarkshire,85+ years,Stays with no Nursing Provision,35,4.9
2017/18,North Lanarkshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,North Lanarkshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Orkney Islands,All Ages,Stays with Nursing Provision,35,36.8
2017/18,Orkney Islands,All Ages,Stays with no Nursing Provision,60,63.2
2017/18,Orkney Islands,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Orkney Islands,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Orkney Islands,18-64 years,Stays with Nursing Provision,0,NA
2017/18,Orkney Islands,18-64 years,Stays with no Nursing Provision,0,NA
2017/18,Orkney Islands,65-74 years,Stays with Nursing Provision,0,NA
2017/18,Orkney Islands,65-74 years,Stays with no Nursing Provision,0,NA
2017/18,Orkney Islands,75-84 years,Stays with Nursing Provision,20,44.4
2017/18,Orkney Islands,75-84 years,Stays with no Nursing Provision,25,55.6
2017/18,Orkney Islands,85+ years,Stays with Nursing Provision,15,33.3
2017/18,Orkney Islands,85+ years,Stays with no Nursing Provision,30,66.7
2017/18,Orkney Islands,Unknown,Stays with Nursing Provision,0,NA
2017/18,Orkney Islands,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Perth and Kinross,All Ages,Stays with Nursing Provision,725,55.3
2017/18,Perth and Kinross,All Ages,Stays with no Nursing Provision,585,44.7
2017/18,Perth and Kinross,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Perth and Kinross,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Perth and Kinross,18-64 years,Stays with Nursing Provision,50,37
2017/18,Perth and Kinross,18-64 years,Stays with no Nursing Provision,85,63
2017/18,Perth and Kinross,65-74 years,Stays with Nursing Provision,70,60.9
2017/18,Perth and Kinross,65-74 years,Stays with no Nursing Provision,45,39.1
2017/18,Perth and Kinross,75-84 years,Stays with Nursing Provision,235,65.3
2017/18,Perth and Kinross,75-84 years,Stays with no Nursing Provision,125,34.7
2017/18,Perth and Kinross,85+ years,Stays with Nursing Provision,375,53.6
2017/18,Perth and Kinross,85+ years,Stays with no Nursing Provision,325,46.4
2017/18,Perth and Kinross,Unknown,Stays with Nursing Provision,0,NA
2017/18,Perth and Kinross,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Renfrewshire,All Ages,Stays with Nursing Provision,850,69.4
2017/18,Renfrewshire,All Ages,Stays with no Nursing Provision,375,30.6
2017/18,Renfrewshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Renfrewshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Renfrewshire,18-64 years,Stays with Nursing Provision,35,28
2017/18,Renfrewshire,18-64 years,Stays with no Nursing Provision,90,72
2017/18,Renfrewshire,65-74 years,Stays with Nursing Provision,105,72.4
2017/18,Renfrewshire,65-74 years,Stays with no Nursing Provision,40,27.6
2017/18,Renfrewshire,75-84 years,Stays with Nursing Provision,310,75.6
2017/18,Renfrewshire,75-84 years,Stays with no Nursing Provision,100,24.4
2017/18,Renfrewshire,85+ years,Stays with Nursing Provision,400,73.4
2017/18,Renfrewshire,85+ years,Stays with no Nursing Provision,145,26.6
2017/18,Renfrewshire,Unknown,Stays with Nursing Provision,5,100
2017/18,Renfrewshire,Unknown,Stays with no Nursing Provision,0,0
2017/18,Scottish Borders,All Ages,Stays with Nursing Provision,300,38.5
2017/18,Scottish Borders,All Ages,Stays with no Nursing Provision,480,61.5
2017/18,Scottish Borders,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Scottish Borders,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Scottish Borders,18-64 years,Stays with Nursing Provision,5,16.7
2017/18,Scottish Borders,18-64 years,Stays with no Nursing Provision,25,83.3
2017/18,Scottish Borders,65-74 years,Stays with Nursing Provision,25,45.5
2017/18,Scottish Borders,65-74 years,Stays with no Nursing Provision,30,54.5
2017/18,Scottish Borders,75-84 years,Stays with Nursing Provision,100,44.4
2017/18,Scottish Borders,75-84 years,Stays with no Nursing Provision,125,55.6
2017/18,Scottish Borders,85+ years,Stays with Nursing Provision,170,36.6
2017/18,Scottish Borders,85+ years,Stays with no Nursing Provision,295,63.4
2017/18,Scottish Borders,Unknown,Stays with Nursing Provision,0,NA
2017/18,Scottish Borders,Unknown,Stays with no Nursing Provision,0,NA
2017/18,Shetland Islands,All Ages,Stays with Nursing Provision,0,0
2017/18,Shetland Islands,All Ages,Stays with no Nursing Provision,115,100
2017/18,Shetland Islands,0-17 years,Stays with Nursing Provision,0,NA
2017/18,Shetland Islands,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,Shetland Islands,18-64 years,Stays with Nursing Provision,0,0
2017/18,Shetland Islands,18-64 years,Stays with no Nursing Provision,5,100
2017/18,Shetland Islands,65-74 years,Stays with Nursing Provision,0,0
2017/18,Shetland Islands,65-74 years,Stays with no Nursing Provision,15,100
2017/18,Shetland Islands,75-84 years,Stays with Nursing Provision,0,0
2017/18,Shetland Islands,75-84 years,Stays with no Nursing Provision,35,100
2017/18,Shetland Islands,85+ years,Stays with Nursing Provision,0,0
2017/18,Shetland Islands,85+ years,Stays with no Nursing Provision,60,100
2017/18,Shetland Islands,Unknown,Stays with Nursing Provision,0,NA
