financial_quarter,sending_location,age_group,referral_source,referrals,percentage,scotland_referrals,scotland_percentage
2017/18 Q4,Scotland (All Areas Submitted),All Ages,999 Emergency Services,3355,82.3,3355,82
2017/18 Q4,Scotland (All Areas Submitted),All Ages,GP,80,2,80,2
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Care Home,30,0.7,30,1
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Self Referral,435,10.7,435,11
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Other/Unknown,175,4.3,175,4
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,999 Emergency Services,0,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,GP,0,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Care Home,0,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Self Referral,10,50,10,50
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Other/Unknown,10,50,10,50
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,999 Emergency Services,265,66.2,265,66
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,GP,10,2.5,10,2
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Care Home,0,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Self Referral,90,22.5,90,22
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Other/Unknown,35,8.8,35,9
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,999 Emergency Services,400,87.9,400,88
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,GP,10,2.2,10,2
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Care Home,0,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Self Referral,35,7.7,35,8
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Other/Unknown,10,2.2,10,2
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,999 Emergency Services,1050,85.7,1050,86
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,GP,20,1.6,20,2
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Care Home,10,0.8,10,1
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Self Referral,105,8.6,105,9
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Other/Unknown,40,3.3,40,3
2017/18 Q4,Scotland (All Areas Submitted),85+ years,999 Emergency Services,1640,83.2,1640,83
2017/18 Q4,Scotland (All Areas Submitted),85+ years,GP,40,2,40,2
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Care Home,15,0.8,15,1
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Self Referral,195,9.9,195,10
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Other/Unknown,80,4.1,80,4
2017/18 Q4,Scotland (All Areas Submitted),Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,GP,0,NA,0,NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,Aberdeen City,All Ages,999 Emergency Services,100,69,3355,82
2017/18 Q4,Aberdeen City,All Ages,GP,10,6.9,80,2
2017/18 Q4,Aberdeen City,All Ages,Care Home,0,0,30,1
2017/18 Q4,Aberdeen City,All Ages,Self Referral,25,17.2,435,11
2017/18 Q4,Aberdeen City,All Ages,Other/Unknown,10,6.9,175,4
2017/18 Q4,Aberdeen City,0-17 years,999 Emergency Services,0,0,0,0
2017/18 Q4,Aberdeen City,0-17 years,GP,0,0,0,0
2017/18 Q4,Aberdeen City,0-17 years,Care Home,0,0,0,0
2017/18 Q4,Aberdeen City,0-17 years,Self Referral,10,66.7,10,50
2017/18 Q4,Aberdeen City,0-17 years,Other/Unknown,5,33.3,10,50
2017/18 Q4,Aberdeen City,18-64 years,999 Emergency Services,15,60,265,66
2017/18 Q4,Aberdeen City,18-64 years,GP,0,0,10,2
2017/18 Q4,Aberdeen City,18-64 years,Care Home,0,0,0,0
2017/18 Q4,Aberdeen City,18-64 years,Self Referral,5,20,90,22
2017/18 Q4,Aberdeen City,18-64 years,Other/Unknown,5,20,35,9
2017/18 Q4,Aberdeen City,65-74 years,999 Emergency Services,5,100,400,88
2017/18 Q4,Aberdeen City,65-74 years,GP,0,0,10,2
2017/18 Q4,Aberdeen City,65-74 years,Care Home,0,0,0,0
2017/18 Q4,Aberdeen City,65-74 years,Self Referral,0,0,35,8
2017/18 Q4,Aberdeen City,65-74 years,Other/Unknown,0,0,10,2
2017/18 Q4,Aberdeen City,75-84 years,999 Emergency Services,40,88.9,1050,86
2017/18 Q4,Aberdeen City,75-84 years,GP,0,0,20,2
2017/18 Q4,Aberdeen City,75-84 years,Care Home,0,0,10,1
2017/18 Q4,Aberdeen City,75-84 years,Self Referral,5,11.1,105,9
2017/18 Q4,Aberdeen City,75-84 years,Other/Unknown,0,0,40,3
2017/18 Q4,Aberdeen City,85+ years,999 Emergency Services,40,80,1640,83
2017/18 Q4,Aberdeen City,85+ years,GP,5,10,40,2
2017/18 Q4,Aberdeen City,85+ years,Care Home,0,0,15,1
2017/18 Q4,Aberdeen City,85+ years,Self Referral,5,10,195,10
2017/18 Q4,Aberdeen City,85+ years,Other/Unknown,0,0,80,4
2017/18 Q4,Aberdeen City,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Aberdeen City,Unknown,GP,0,NA,0,NA
2017/18 Q4,Aberdeen City,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Aberdeen City,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Aberdeen City,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,Aberdeenshire,All Ages,999 Emergency Services,85,81,3355,82
2017/18 Q4,Aberdeenshire,All Ages,GP,5,4.8,80,2
2017/18 Q4,Aberdeenshire,All Ages,Care Home,0,0,30,1
2017/18 Q4,Aberdeenshire,All Ages,Self Referral,10,9.5,435,11
