financial_year,sending_location,age_group,stay_type,measure,value,value_scotland
2017/18,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",6.6,6.6
2017/18,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,35990,35990
2017/18,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7,0.7
2017/18,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,3780,3780
2017/18,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.1,6.1
2017/18,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,33140,33140
2017/18,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1,0.1
2017/18,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,125,125
2017/18,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,30,30
2017/18,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1,0.1
2017/18,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,90,90
2017/18,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.1,1.1
2017/18,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,3835,3835
2017/18,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.2
2017/18,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,765,765
2017/18,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",0.9,0.9
2017/18,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3115,3115
2017/18,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",6.8,6.8
2017/18,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,3860,3860
2017/18,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,0.8
2017/18,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,430,430
2017/18,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",6.3,6.3
