financial_year,financial_quarter,sending_location,age_group,value,value_scotland,measure
2017/18,2017/18 Q4,Scotland (All Areas Submitted),18+ years,33315,33315,Number of People
2017/18,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,3070,3070,Number of People
2017/18,2017/18 Q4,Scotland (All Areas Submitted),65+ years,30245,30245,Number of People
2017/18,2017/18 Q4,Aberdeen City,18+ years,1770,33315,Number of People
2017/18,2017/18 Q4,Aberdeen City,18-64 years,280,3070,Number of People
2017/18,2017/18 Q4,Aberdeen City,65+ years,1495,30245,Number of People
2017/18,2017/18 Q4,Aberdeenshire,18+ years,1880,33315,Number of People
2017/18,2017/18 Q4,Aberdeenshire,18-64 years,215,3070,Number of People
2017/18,2017/18 Q4,Aberdeenshire,65+ years,1665,30245,Number of People
2017/18,2017/18 Q4,Angus,18+ years,1050,33315,Number of People
2017/18,2017/18 Q4,Angus,18-64 years,95,3070,Number of People
2017/18,2017/18 Q4,Angus,65+ years,955,30245,Number of People
2017/18,2017/18 Q4,Argyll and Bute,18+ years,655,33315,Number of People
2017/18,2017/18 Q4,Argyll and Bute,18-64 years,55,3070,Number of People
2017/18,2017/18 Q4,Argyll and Bute,65+ years,605,30245,Number of People
2017/18,2017/18 Q4,City of Edinburgh,18+ years,2910,33315,Number of People
2017/18,2017/18 Q4,City of Edinburgh,18-64 years,260,3070,Number of People
2017/18,2017/18 Q4,City of Edinburgh,65+ years,2650,30245,Number of People
2017/18,2017/18 Q4,Clackmannanshire,18+ years,295,33315,Number of People
2017/18,2017/18 Q4,Clackmannanshire,18-64 years,60,3070,Number of People
2017/18,2017/18 Q4,Clackmannanshire,65+ years,235,30245,Number of People
2017/18,2017/18 Q4,Dumfries and Galloway,18+ years,1190,33315,Number of People
2017/18,2017/18 Q4,Dumfries and Galloway,18-64 years,65,3070,Number of People
2017/18,2017/18 Q4,Dumfries and Galloway,65+ years,1120,30245,Number of People
2017/18,2017/18 Q4,Dundee City,18+ years,1250,33315,Number of People
2017/18,2017/18 Q4,Dundee City,18-64 years,105,3070,Number of People
2017/18,2017/18 Q4,Dundee City,65+ years,1145,30245,Number of People
2017/18,2017/18 Q4,East Ayrshire,18+ years,820,33315,Number of People
2017/18,2017/18 Q4,East Ayrshire,18-64 years,65,3070,Number of People
2017/18,2017/18 Q4,East Ayrshire,65+ years,755,30245,Number of People
2017/18,2017/18 Q4,East Dunbartonshire,18+ years,870,33315,Number of People
2017/18,2017/18 Q4,East Dunbartonshire,18-64 years,45,3070,Number of People
2017/18,2017/18 Q4,East Dunbartonshire,65+ years,825,30245,Number of People
2017/18,2017/18 Q4,East Lothian,18+ years,730,33315,Number of People
2017/18,2017/18 Q4,East Lothian,18-64 years,50,3070,Number of People
2017/18,2017/18 Q4,East Lothian,65+ years,680,30245,Number of People
2017/18,2017/18 Q4,East Renfrewshire,18+ years,680,33315,Number of People
2017/18,2017/18 Q4,East Renfrewshire,18-64 years,35,3070,Number of People
2017/18,2017/18 Q4,East Renfrewshire,65+ years,645,30245,Number of People
2017/18,2017/18 Q4,Falkirk,18+ years,1180,33315,Number of People
2017/18,2017/18 Q4,Falkirk,18-64 years,180,3070,Number of People
2017/18,2017/18 Q4,Falkirk,65+ years,995,30245,Number of People
2017/18,2017/18 Q4,Fife,18+ years,2810,33315,Number of People
2017/18,2017/18 Q4,Fife,18-64 years,195,3070,Number of People
2017/18,2017/18 Q4,Fife,65+ years,2615,30245,Number of People
2017/18,2017/18 Q4,Highland,18+ years,1895,33315,Number of People
2017/18,2017/18 Q4,Highland,18-64 years,185,3070,Number of People
2017/18,2017/18 Q4,Highland,65+ years,1710,30245,Number of People
2017/18,2017/18 Q4,Inverclyde,18+ years,700,33315,Number of People
2017/18,2017/18 Q4,Inverclyde,18-64 years,70,3070,Number of People
2017/18,2017/18 Q4,Inverclyde,65+ years,625,30245,Number of People
2017/18,2017/18 Q4,Midlothian,18+ years,515,33315,Number of People
2017/18,2017/18 Q4,Midlothian,18-64 years,40,3070,Number of People
2017/18,2017/18 Q4,Midlothian,65+ years,470,30245,Number of People
2017/18,2017/18 Q4,Moray,18+ years,630,33315,Number of People
2017/18,2017/18 Q4,Moray,18-64 years,90,3070,Number of People
2017/18,2017/18 Q4,Moray,65+ years,540,30245,Number of People
2017/18,2017/18 Q4,North Ayrshire,18+ years,1055,33315,Number of People
2017/18,2017/18 Q4,North Ayrshire,18-64 years,90,3070,Number of People
2017/18,2017/18 Q4,North Ayrshire,65+ years,970,30245,Number of People
2017/18,2017/18 Q4,North Lanarkshire,18+ years,1585,33315,Number of People
2017/18,2017/18 Q4,North Lanarkshire,18-64 years,70,3070,Number of People
2017/18,2017/18 Q4,North Lanarkshire,65+ years,1515,30245,Number of People
2017/18,2017/18 Q4,Orkney Islands,18+ years,105,33315,Number of People
2017/18,2017/18 Q4,Orkney Islands,18-64 years,0,3070,Number of People
2017/18,2017/18 Q4,Orkney Islands,65+ years,100,30245,Number of People
2017/18,2017/18 Q4,Perth and Kinross,18+ years,1310,33315,Number of People
2017/18,2017/18 Q4,Perth and Kinross,18-64 years,135,3070,Number of People
2017/18,2017/18 Q4,Perth and Kinross,65+ years,1180,30245,Number of People
2017/18,2017/18 Q4,Renfrewshire,18+ years,1235,33315,Number of People
2017/18,2017/18 Q4,Renfrewshire,18-64 years,120,3070,Number of People
2017/18,2017/18 Q4,Renfrewshire,65+ years,1115,30245,Number of People
2017/18,2017/18 Q4,Scottish Borders,18+ years,775,33315,Number of People
2017/18,2017/18 Q4,Scottish Borders,18-64 years,30,3070,Number of People
2017/18,2017/18 Q4,Scottish Borders,65+ years,745,30245,Number of People
2017/18,2017/18 Q4,Shetland Islands,18+ years,115,33315,Number of People
2017/18,2017/18 Q4,Shetland Islands,18-64 years,5,3070,Number of People
2017/18,2017/18 Q4,Shetland Islands,65+ years,110,30245,Number of People
2017/18,2017/18 Q4,South Ayrshire,18+ years,1075,33315,Number of People
2017/18,2017/18 Q4,South Ayrshire,18-64 years,55,3070,Number of People
2017/18,2017/18 Q4,South Ayrshire,65+ years,1020,30245,Number of People
2017/18,2017/18 Q4,South Lanarkshire,18+ years,2045,33315,Number of People
2017/18,2017/18 Q4,South Lanarkshire,18-64 years,215,3070,Number of People
2017/18,2017/18 Q4,South Lanarkshire,65+ years,1830,30245,Number of People
2017/18,2017/18 Q4,Stirling,18+ years,560,33315,Number of People
2017/18,2017/18 Q4,Stirling,18-64 years,80,3070,Number of People
2017/18,2017/18 Q4,Stirling,65+ years,480,30245,Number of People
2017/18,2017/18 Q4,West Dunbartonshire,18+ years,695,33315,Number of People
2017/18,2017/18 Q4,West Dunbartonshire,18-64 years,60,3070,Number of People
2017/18,2017/18 Q4,West Dunbartonshire,65+ years,635,30245,Number of People
2017/18,2017/18 Q4,West Lothian,18+ years,935,33315,Number of People
2017/18,2017/18 Q4,West Lothian,18-64 years,120,3070,Number of People
2017/18,2017/18 Q4,West Lothian,65+ years,815,30245,Number of People
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18+ years,36665,36665,Number of People
2018/19,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,3670,3670,Number of People
2018/19,2018/19 Q1,Scotland (All Areas Submitted),65+ years,32995,32995,Number of People
2018/19,2018/19 Q1,Aberdeen City,18+ years,1680,36665,Number of People
2018/19,2018/19 Q1,Aberdeen City,18-64 years,280,3670,Number of People
2018/19,2018/19 Q1,Aberdeen City,65+ years,1400,32995,Number of People
2018/19,2018/19 Q1,Aberdeenshire,18+ years,1820,36665,Number of People
2018/19,2018/19 Q1,Aberdeenshire,18-64 years,205,3670,Number of People
2018/19,2018/19 Q1,Aberdeenshire,65+ years,1615,32995,Number of People
2018/19,2018/19 Q1,Angus,18+ years,1040,36665,Number of People
2018/19,2018/19 Q1,Angus,18-64 years,95,3670,Number of People
2018/19,2018/19 Q1,Angus,65+ years,945,32995,Number of People
2018/19,2018/19 Q1,Argyll and Bute,18+ years,650,36665,Number of People
2018/19,2018/19 Q1,Argyll and Bute,18-64 years,50,3670,Number of People
2018/19,2018/19 Q1,Argyll and Bute,65+ years,600,32995,Number of People
2018/19,2018/19 Q1,City of Edinburgh,18+ years,2975,36665,Number of People
2018/19,2018/19 Q1,City of Edinburgh,18-64 years,250,3670,Number of People
2018/19,2018/19 Q1,City of Edinburgh,65+ years,2725,32995,Number of People
2018/19,2018/19 Q1,Clackmannanshire,18+ years,300,36665,Number of People
2018/19,2018/19 Q1,Clackmannanshire,18-64 years,65,3670,Number of People
2018/19,2018/19 Q1,Clackmannanshire,65+ years,240,32995,Number of People
2018/19,2018/19 Q1,Dumfries and Galloway,18+ years,1150,36665,Number of People
2018/19,2018/19 Q1,Dumfries and Galloway,18-64 years,65,3670,Number of People
2018/19,2018/19 Q1,Dumfries and Galloway,65+ years,1085,32995,Number of People
2018/19,2018/19 Q1,Dundee City,18+ years,1215,36665,Number of People
2018/19,2018/19 Q1,Dundee City,18-64 years,105,3670,Number of People
2018/19,2018/19 Q1,Dundee City,65+ years,1115,32995,Number of People
2018/19,2018/19 Q1,East Ayrshire,18+ years,795,36665,Number of People
2018/19,2018/19 Q1,East Ayrshire,18-64 years,65,3670,Number of People
2018/19,2018/19 Q1,East Ayrshire,65+ years,730,32995,Number of People
2018/19,2018/19 Q1,East Dunbartonshire,18+ years,880,36665,Number of People
2018/19,2018/19 Q1,East Dunbartonshire,18-64 years,45,3670,Number of People
2018/19,2018/19 Q1,East Dunbartonshire,65+ years,835,32995,Number of People
2018/19,2018/19 Q1,East Lothian,18+ years,705,36665,Number of People
2018/19,2018/19 Q1,East Lothian,18-64 years,50,3670,Number of People
2018/19,2018/19 Q1,East Lothian,65+ years,655,32995,Number of People
2018/19,2018/19 Q1,East Renfrewshire,18+ years,600,36665,Number of People
2018/19,2018/19 Q1,East Renfrewshire,18-64 years,30,3670,Number of People
2018/19,2018/19 Q1,East Renfrewshire,65+ years,570,32995,Number of People
2018/19,2018/19 Q1,Falkirk,18+ years,1145,36665,Number of People
2018/19,2018/19 Q1,Falkirk,18-64 years,175,3670,Number of People
2018/19,2018/19 Q1,Falkirk,65+ years,965,32995,Number of People
2018/19,2018/19 Q1,Fife,18+ years,2715,36665,Number of People
2018/19,2018/19 Q1,Fife,18-64 years,195,3670,Number of People
2018/19,2018/19 Q1,Fife,65+ years,2520,32995,Number of People
2018/19,2018/19 Q1,Glasgow City,18+ years,3965,36665,Number of People
2018/19,2018/19 Q1,Glasgow City,18-64 years,605,3670,Number of People
2018/19,2018/19 Q1,Glasgow City,65+ years,3360,32995,Number of People
2018/19,2018/19 Q1,Highland,18+ years,1910,36665,Number of People
2018/19,2018/19 Q1,Highland,18-64 years,185,3670,Number of People
2018/19,2018/19 Q1,Highland,65+ years,1725,32995,Number of People
2018/19,2018/19 Q1,Inverclyde,18+ years,670,36665,Number of People
2018/19,2018/19 Q1,Inverclyde,18-64 years,70,3670,Number of People
2018/19,2018/19 Q1,Inverclyde,65+ years,600,32995,Number of People
2018/19,2018/19 Q1,Midlothian,18+ years,465,36665,Number of People
2018/19,2018/19 Q1,Midlothian,18-64 years,35,3670,Number of People
2018/19,2018/19 Q1,Midlothian,65+ years,430,32995,Number of People
2018/19,2018/19 Q1,Moray,18+ years,610,36665,Number of People
2018/19,2018/19 Q1,Moray,18-64 years,85,3670,Number of People
2018/19,2018/19 Q1,Moray,65+ years,525,32995,Number of People
2018/19,2018/19 Q1,North Ayrshire,18+ years,970,36665,Number of People
2018/19,2018/19 Q1,North Ayrshire,18-64 years,95,3670,Number of People
2018/19,2018/19 Q1,North Ayrshire,65+ years,875,32995,Number of People
2018/19,2018/19 Q1,North Lanarkshire,18+ years,1580,36665,Number of People
2018/19,2018/19 Q1,North Lanarkshire,18-64 years,80,3670,Number of People
2018/19,2018/19 Q1,North Lanarkshire,65+ years,1500,32995,Number of People
2018/19,2018/19 Q1,Perth and Kinross,18+ years,1275,36665,Number of People
2018/19,2018/19 Q1,Perth and Kinross,18-64 years,130,3670,Number of People
2018/19,2018/19 Q1,Perth and Kinross,65+ years,1145,32995,Number of People
2018/19,2018/19 Q1,Renfrewshire,18+ years,1220,36665,Number of People
2018/19,2018/19 Q1,Renfrewshire,18-64 years,115,3670,Number of People
2018/19,2018/19 Q1,Renfrewshire,65+ years,1105,32995,Number of People
2018/19,2018/19 Q1,Scottish Borders,18+ years,750,36665,Number of People
2018/19,2018/19 Q1,Scottish Borders,18-64 years,30,3670,Number of People
2018/19,2018/19 Q1,Scottish Borders,65+ years,720,32995,Number of People
2018/19,2018/19 Q1,Shetland Islands,18+ years,150,36665,Number of People
2018/19,2018/19 Q1,Shetland Islands,18-64 years,10,3670,Number of People
2018/19,2018/19 Q1,Shetland Islands,65+ years,140,32995,Number of People
2018/19,2018/19 Q1,South Ayrshire,18+ years,1095,36665,Number of People
2018/19,2018/19 Q1,South Ayrshire,18-64 years,65,3670,Number of People
2018/19,2018/19 Q1,South Ayrshire,65+ years,1030,32995,Number of People
2018/19,2018/19 Q1,South Lanarkshire,18+ years,2115,36665,Number of People
2018/19,2018/19 Q1,South Lanarkshire,18-64 years,225,3670,Number of People
2018/19,2018/19 Q1,South Lanarkshire,65+ years,1890,32995,Number of People
2018/19,2018/19 Q1,Stirling,18+ years,615,36665,Number of People
2018/19,2018/19 Q1,Stirling,18-64 years,85,3670,Number of People
2018/19,2018/19 Q1,Stirling,65+ years,530,32995,Number of People
