financial_year,sending_location,age_group,stay_type,nclient,nclient_scotland,rate_per_1000,scotland_rate,,
2018/19,Scotland (All Areas Submitted),18+ years,All Stays,51605,51605,11.7,11.7,,
2018/19,Scotland (All Areas Submitted),18+ years,Short Stay / Respite,5760,5760,1.3,1.3,,
2018/19,Scotland (All Areas Submitted),18+ years,Long Stay,45845,45845,10.4,10.4,,
2018/19,Scotland (All Areas Submitted),18-64 years,All Stays,5620,5620,1.7,1.7,,
2018/19,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,1410,1410,0.4,0.4,,
2018/19,Scotland (All Areas Submitted),18-64 years,Long Stay,4210,4210,1.2,1.2,,
2018/19,Scotland (All Areas Submitted),65+ years,All Stays,45980,45980,44.8,44.8,,
2018/19,Scotland (All Areas Submitted),65+ years,Short Stay / Respite,4345,4345,4.2,4.2,,
2018/19,Scotland (All Areas Submitted),65+ years,Long Stay,41635,41635,40.6,40.6,,
2018/19,Aberdeen City,18+ years,All Stays,2510,51605,13.3,11.7,,
2018/19,Aberdeen City,18+ years,Short Stay / Respite,400,5760,2.1,1.3,,
2018/19,Aberdeen City,18+ years,Long Stay,2105,45845,11.1,10.4,,
2018/19,Aberdeen City,18-64 years,All Stays,430,5620,2.8,1.7,,
2018/19,Aberdeen City,18-64 years,Short Stay / Respite,125,1410,0.8,0.4,,
2018/19,Aberdeen City,18-64 years,Long Stay,305,4210,2,1.2,,
2018/19,Aberdeen City,65+ years,All Stays,2080,45980,58.5,44.8,,
2018/19,Aberdeen City,65+ years,Short Stay / Respite,280,4345,7.9,4.2,,
2018/19,Aberdeen City,65+ years,Long Stay,1800,41635,50.7,40.6,,
2018/19,Aberdeenshire,18+ years,All Stays,2700,51605,13.1,11.7,,
2018/19,Aberdeenshire,18+ years,Short Stay / Respite,415,5760,2,1.3,,
2018/19,Aberdeenshire,18+ years,Long Stay,2280,45845,11,10.4,,
2018/19,Aberdeenshire,18-64 years,All Stays,315,5620,2,1.7,,
2018/19,Aberdeenshire,18-64 years,Short Stay / Respite,80,1410,0.5,0.4,,
2018/19,Aberdeenshire,18-64 years,Long Stay,235,4210,1.5,1.2,,
2018/19,Aberdeenshire,65+ years,All Stays,2385,45980,47.9,44.8,,
2018/19,Aberdeenshire,65+ years,Short Stay / Respite,335,4345,6.7,4.2,,
2018/19,Aberdeenshire,65+ years,Long Stay,2045,41635,41.1,40.6,,
2018/19,Angus,18+ years,All Stays,1620,51605,17.2,11.7,,
2018/19,Angus,18+ years,Short Stay / Respite,330,5760,3.5,1.3,,
2018/19,Angus,18+ years,Long Stay,1290,45845,13.7,10.4,,
2018/19,Angus,18-64 years,All Stays,145,5620,2.2,1.7,,
2018/19,Angus,18-64 years,Short Stay / Respite,50,1410,0.7,0.4,,
2018/19,Angus,18-64 years,Long Stay,100,4210,1.5,1.2,,
2018/19,Angus,65+ years,All Stays,1470,45980,53.9,44.8,,
2018/19,Angus,65+ years,Short Stay / Respite,280,4345,10.3,4.2,,
2018/19,Angus,65+ years,Long Stay,1190,41635,43.6,40.6,,
2018/19,Argyll and Bute,18+ years,All Stays,880,51605,12.3,11.7,,
2018/19,Argyll and Bute,18+ years,Short Stay / Respite,50,5760,0.7,1.3,,
2018/19,Argyll and Bute,18+ years,Long Stay,830,45845,11.6,10.4,,
2018/19,Argyll and Bute,18-64 years,All Stays,75,5620,1.5,1.7,,
2018/19,Argyll and Bute,18-64 years,Short Stay / Respite,5,1410,0.1,0.4,,
2018/19,Argyll and Bute,18-64 years,Long Stay,70,4210,1.4,1.2,,
2018/19,Argyll and Bute,65+ years,All Stays,805,45980,36.7,44.8,,
2018/19,Argyll and Bute,65+ years,Short Stay / Respite,45,4345,2,4.2,,
2018/19,Argyll and Bute,65+ years,Long Stay,760,41635,34.6,40.6,,
2018/19,City of Edinburgh,18+ years,All Stays,3885,51605,9,11.7,,
2018/19,City of Edinburgh,18+ years,Short Stay / Respite,235,5760,0.5,1.3,,
2018/19,City of Edinburgh,18+ years,Long Stay,3645,45845,8.4,10.4,,
2018/19,City of Edinburgh,18-64 years,All Stays,300,5620,0.8,1.7,,
2018/19,City of Edinburgh,18-64 years,Short Stay / Respite,30,1410,0.1,0.4,,
2018/19,City of Edinburgh,18-64 years,Long Stay,270,4210,0.8,1.2,,
2018/19,City of Edinburgh,65+ years,All Stays,3580,45980,45.9,44.8,,
2018/19,City of Edinburgh,65+ years,Short Stay / Respite,205,4345,2.6,4.2,,
2018/19,City of Edinburgh,65+ years,Long Stay,3375,41635,43.2,40.6,,
2018/19,Clackmannanshire,18+ years,All Stays,420,51605,10.2,11.7,,
2018/19,Clackmannanshire,18+ years,Short Stay / Respite,50,5760,1.2,1.3,,
2018/19,Clackmannanshire,18+ years,Long Stay,370,45845,9,10.4,,
2018/19,Clackmannanshire,18-64 years,All Stays,75,5620,2.4,1.7,,
2018/19,Clackmannanshire,18-64 years,Short Stay / Respite,5,1410,0.2,0.4,,
2018/19,Clackmannanshire,18-64 years,Long Stay,70,4210,2.3,1.2,,
2018/19,Clackmannanshire,65+ years,All Stays,345,45980,33.7,44.8,,
2018/19,Clackmannanshire,65+ years,Short Stay / Respite,45,4345,4.4,4.2,,
2018/19,Clackmannanshire,65+ years,Long Stay,300,41635,29.3,40.6,,
2018/19,Dumfries and Galloway,18+ years,All Stays,1605,51605,13.1,11.7,,
2018/19,Dumfries and Galloway,18+ years,Short Stay / Respite,155,5760,1.3,1.3,,
2018/19,Dumfries and Galloway,18+ years,Long Stay,1450,45845,11.8,10.4,,
2018/19,Dumfries and Galloway,18-64 years,All Stays,75,5620,0.9,1.7,,
2018/19,Dumfries and Galloway,18-64 years,Short Stay / Respite,5,1410,0.1,0.4,,
2018/19,Dumfries and Galloway,18-64 years,Long Stay,70,4210,0.8,1.2,,
2018/19,Dumfries and Galloway,65+ years,All Stays,1530,45980,40.4,44.8,,
2018/19,Dumfries and Galloway,65+ years,Short Stay / Respite,150,4345,4,4.2,,
2018/19,Dumfries and Galloway,65+ years,Long Stay,1380,41635,36.4,40.6,,
2018/19,Dundee City,18+ years,All Stays,1505,51605,12.3,11.7,,
2018/19,Dundee City,18+ years,Short Stay / Respite,30,5760,0.2,1.3,,
2018/19,Dundee City,18+ years,Long Stay,1475,45845,12.1,10.4,,
2018/19,Dundee City,18-64 years,All Stays,115,5620,1.2,1.7,,
2018/19,Dundee City,18-64 years,Short Stay / Respite,0,1410,0,0.4,,
2018/19,Dundee City,18-64 years,Long Stay,115,4210,1.2,1.2,,
2018/19,Dundee City,65+ years,All Stays,1385,45980,53.3,44.8,,
2018/19,Dundee City,65+ years,Short Stay / Respite,30,4345,1.2,4.2,,
2018/19,Dundee City,65+ years,Long Stay,1355,41635,52.1,40.6,,
2018/19,East Ayrshire,18+ years,All Stays,1030,51605,10.5,11.7,,
2018/19,East Ayrshire,18+ years,Short Stay / Respite,40,5760,0.4,1.3,,
2018/19,East Ayrshire,18+ years,Long Stay,990,45845,10.1,10.4,,
2018/19,East Ayrshire,18-64 years,All Stays,90,5620,1.2,1.7,,
2018/19,East Ayrshire,18-64 years,Short Stay / Respite,5,1410,0.1,0.4,,
2018/19,East Ayrshire,18-64 years,Long Stay,85,4210,1.2,1.2,,
2018/19,East Ayrshire,65+ years,All Stays,940,45980,38.3,44.8,,
2018/19,East Ayrshire,65+ years,Short Stay / Respite,35,4345,1.4,4.2,,
2018/19,East Ayrshire,65+ years,Long Stay,905,41635,36.9,40.6,,
2018/19,East Dunbartonshire,18+ years,All Stays,1300,51605,15,11.7,,
2018/19,East Dunbartonshire,18+ years,Short Stay / Respite,185,5760,2.1,1.3,,
2018/19,East Dunbartonshire,18+ years,Long Stay,1120,45845,12.9,10.4,,
2018/19,East Dunbartonshire,18-64 years,All Stays,135,5620,2.2,1.7,,
2018/19,East Dunbartonshire,18-64 years,Short Stay / Respite,85,1410,1.4,0.4,,
2018/19,East Dunbartonshire,18-64 years,Long Stay,50,4210,0.8,1.2,,
2018/19,East Dunbartonshire,65+ years,All Stays,1165,45980,48.4,44.8,,
2018/19,East Dunbartonshire,65+ years,Short Stay / Respite,100,4345,4.2,4.2,,
2018/19,East Dunbartonshire,65+ years,Long Stay,1070,41635,44.5,40.6,,
2018/19,East Lothian,18+ years,All Stays,1035,51605,12.3,11.7,,
2018/19,East Lothian,18+ years,Short Stay / Respite,130,5760,1.5,1.3,,
2018/19,East Lothian,18+ years,Long Stay,905,45845,10.7,10.4,,
2018/19,East Lothian,18-64 years,All Stays,75,5620,1.2,1.7,,
2018/19,East Lothian,18-64 years,Short Stay / Respite,15,1410,0.2,0.4,,
2018/19,East Lothian,18-64 years,Long Stay,60,4210,1,1.2,,
2018/19,East Lothian,65+ years,All Stays,960,45980,45.3,44.8,,
2018/19,East Lothian,65+ years,Short Stay / Respite,115,4345,5.4,4.2,,
2018/19,East Lothian,65+ years,Long Stay,850,41635,40.2,40.6,,
2018/19,East Renfrewshire,18+ years,All Stays,840,51605,11.4,11.7,,
2018/19,East Renfrewshire,18+ years,Short Stay / Respite,15,5760,0.2,1.3,,
2018/19,East Renfrewshire,18+ years,Long Stay,825,45845,11.2,10.4,,
2018/19,East Renfrewshire,18-64 years,All Stays,35,5620,0.6,1.7,,
2018/19,East Renfrewshire,18-64 years,Short Stay / Respite,0,1410,0,0.4,,
2018/19,East Renfrewshire,18-64 years,Long Stay,35,4210,0.6,1.2,,
2018/19,East Renfrewshire,65+ years,All Stays,800,45980,42.3,44.8,,
2018/19,East Renfrewshire,65+ years,Short Stay / Respite,15,4345,0.8,4.2,,
2018/19,East Renfrewshire,65+ years,Long Stay,790,41635,41.8,40.6,,
2018/19,Falkirk,18+ years,All Stays,1635,51605,12.7,11.7,,
2018/19,Falkirk,18+ years,Short Stay / Respite,225,5760,1.7,1.3,,
2018/19,Falkirk,18+ years,Long Stay,1410,45845,10.9,10.4,,
