financial_quarter,sending_location,age_group,stay_type,measure,value
2017/18 Q4,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",6.6
2017/18 Q4,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,35990
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,3785
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.1
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,33135
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,125
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,30
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,90
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.1
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,3835
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,765
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",0.9
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3115
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",6.8
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,3860
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,430
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",6.3
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,3530
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",33.5
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,10930
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.5
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1145
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",31
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,10120
2017/18 Q4,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",141.5
2017/18 Q4,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,17240
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",11.6
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1415
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",133.6
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,16275
2017/18 Q4,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,5
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,5
2018/19 Q1,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",7.3
2018/19 Q1,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,39640
2018/19 Q1,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7
2018/19 Q1,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,4070
2018/19 Q1,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.7
2018/19 Q1,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,36600
