financial_quarter,sending_location,age_group,deprivation,simd_percentage,nclient
2017/18 Q4,Scotland (All Areas Submitted),All Ages,1 (Most Deprived),25.1,15380
2017/18 Q4,Scotland (All Areas Submitted),All Ages,2,22.6,13850
2017/18 Q4,Scotland (All Areas Submitted),All Ages,3,20.2,12400
2017/18 Q4,Scotland (All Areas Submitted),All Ages,4,16.9,10350
2017/18 Q4,Scotland (All Areas Submitted),All Ages,5 (Least Deprived),14.1,8635
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Unknown,1.1,695
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,1 (Most Deprived),24.4,55
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,2,28.9,65
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,3,20,45
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,4,13.3,30
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,5 (Least Deprived),13.3,30
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Unknown,0,0
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,1 (Most Deprived),36.9,4270
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,2,24.8,2865
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,3,18,2080
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,4,12.2,1410
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,5 (Least Deprived),7.6,885
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Unknown,0.5,60
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,1 (Most Deprived),27.9,2645
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,2,24.5,2320
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,3,19.5,1845
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,4,15.5,1465
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,5 (Least Deprived),11.7,1110
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Unknown,0.8,80
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,1 (Most Deprived),23.3,4560
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,2,22.8,4455
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,3,20.6,4025
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,4,17.6,3445
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,5 (Least Deprived),14.6,2865
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Unknown,1.2,230
2017/18 Q4,Scotland (All Areas Submitted),85+ years,1 (Most Deprived),18.8,3850
2017/18 Q4,Scotland (All Areas Submitted),85+ years,2,20.2,4145
2017/18 Q4,Scotland (All Areas Submitted),85+ years,3,21.5,4405
2017/18 Q4,Scotland (All Areas Submitted),85+ years,4,19.5,4000
2017/18 Q4,Scotland (All Areas Submitted),85+ years,5 (Least Deprived),18.3,3750
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Unknown,1.6,325
2017/18 Q4,Scotland (All Areas Submitted),Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,2,NA,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,3,NA,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,4,NA,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Unknown,NA,0
2017/18 Q4,Aberdeen City,All Ages,1 (Most Deprived),27,550
2017/18 Q4,Aberdeen City,All Ages,2,18.4,375
2017/18 Q4,Aberdeen City,All Ages,3,22.1,450
2017/18 Q4,Aberdeen City,All Ages,4,14.5,295
2017/18 Q4,Aberdeen City,All Ages,5 (Least Deprived),17.9,365
2017/18 Q4,Aberdeen City,All Ages,Unknown,0,0
2017/18 Q4,Aberdeen City,0-17 years,1 (Most Deprived),NA,0
2017/18 Q4,Aberdeen City,0-17 years,2,NA,0
2017/18 Q4,Aberdeen City,0-17 years,3,NA,0
2017/18 Q4,Aberdeen City,0-17 years,4,NA,0
2017/18 Q4,Aberdeen City,0-17 years,5 (Least Deprived),NA,0
2017/18 Q4,Aberdeen City,0-17 years,Unknown,NA,0
2017/18 Q4,Aberdeen City,18-64 years,1 (Most Deprived),40.3,145
2017/18 Q4,Aberdeen City,18-64 years,2,25,90
2017/18 Q4,Aberdeen City,18-64 years,3,22.2,80
2017/18 Q4,Aberdeen City,18-64 years,4,6.9,25
2017/18 Q4,Aberdeen City,18-64 years,5 (Least Deprived),5.6,20
2017/18 Q4,Aberdeen City,18-64 years,Unknown,0,0
2017/18 Q4,Aberdeen City,65-74 years,1 (Most Deprived),32.1,90
2017/18 Q4,Aberdeen City,65-74 years,2,19.6,55
2017/18 Q4,Aberdeen City,65-74 years,3,23.2,65
