financial_quarter,sending_location,age_group,measure,numerator,rate,scotland_rate
2017/18 Q4,Scotland (All Areas Submitted),All Ages,A&E Attendances,10265,167.4,167.4
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Emergency Admissions,10890,177.6,177.6
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Emergency Admissions Bed Days,278520,4542.8,4542.8
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,A&E Attendances,15,66.7,66.7
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Emergency Admissions,15,66.7,66.7
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Emergency Admissions Bed Days,70,311.1,311.1
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,A&E Attendances,1440,124.5,124.5
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Emergency Admissions,1155,99.8,99.8
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Emergency Admissions Bed Days,28100,2428.7,2428.7
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,A&E Attendances,1700,179.6,179.6
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Emergency Admissions,1805,190.7,190.7
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Emergency Admissions Bed Days,41680,4403.6,4403.6
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,A&E Attendances,3475,177.5,177.5
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Emergency Admissions,3840,196.1,196.1
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Emergency Admissions Bed Days,98655,5038.6,5038.6
2017/18 Q4,Scotland (All Areas Submitted),85+ years,A&E Attendances,3630,177.3,177.3
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Emergency Admissions,4075,199,199
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Emergency Admissions Bed Days,110015,5373.1,5373.1
2017/18 Q4,Scotland (All Areas Submitted),Unknown,A&E Attendances,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Aberdeen City,All Ages,A&E Attendances,270,132.7,167.4
2017/18 Q4,Aberdeen City,All Ages,Emergency Admissions,400,196.6,177.6
2017/18 Q4,Aberdeen City,All Ages,Emergency Admissions Bed Days,8765,4307.1,4542.8
2017/18 Q4,Aberdeen City,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Aberdeen City,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Aberdeen City,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Aberdeen City,18-64 years,A&E Attendances,35,97.2,124.5
2017/18 Q4,Aberdeen City,18-64 years,Emergency Admissions,40,111.1,99.8
2017/18 Q4,Aberdeen City,18-64 years,Emergency Admissions Bed Days,690,1916.7,2428.7
2017/18 Q4,Aberdeen City,65-74 years,A&E Attendances,35,127.3,179.6
2017/18 Q4,Aberdeen City,65-74 years,Emergency Admissions,65,236.4,190.7
