time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,6450,11.4
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,9090,16.1
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,19900,35.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,10+ hours,4,21085,37.3
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,15,7.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,35,17.9
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,75,38.5
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,10+ hours,4,70,35.9
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1035,9.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1315,12.3
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,2980,27.9
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5345,50.1
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1105,12.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,1560,18
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,2960,34.1
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3055,35.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2210,12.3
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,3245,18
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,6835,38
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,10+ hours,4,5720,31.8
