time_period,financial_quarter,sending_location,age_group,measure,value,scotland_value
Financial Quarter,2017/18 Q4,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.5,12.5
Financial Quarter,2017/18 Q4,Scotland (Estimated),All Ages,Number of People,67975,67975
Financial Quarter,2017/18 Q4,Scotland (Estimated),All Ages,Number of Hours,8297750,8347595
Financial Quarter,2017/18 Q4,Scotland (Estimated),0-17 years,"Rate per 1,000 Population",2.5,2.5
Financial Quarter,2017/18 Q4,Scotland (Estimated),0-17 years,Number of People,2560,2560
Financial Quarter,2017/18 Q4,Scotland (Estimated),0-17 years,Number of Hours,27180,77010
Financial Quarter,2017/18 Q4,Scotland (Estimated),18-64 years,"Rate per 1,000 Population",4,4
Financial Quarter,2017/18 Q4,Scotland (Estimated),18-64 years,Number of People,13585,13585
Financial Quarter,2017/18 Q4,Scotland (Estimated),18-64 years,Number of Hours,3020800,3070630
Financial Quarter,2017/18 Q4,Scotland (Estimated),65-74 years,"Rate per 1,000 Population",20.2,20.2
Financial Quarter,2017/18 Q4,Scotland (Estimated),65-74 years,Number of People,11395,11395
Financial Quarter,2017/18 Q4,Scotland (Estimated),65-74 years,Number of Hours,1077665,1127500
Financial Quarter,2017/18 Q4,Scotland (Estimated),75-84 years,"Rate per 1,000 Population",64.7,64.7
Financial Quarter,2017/18 Q4,Scotland (Estimated),75-84 years,Number of People,21100,21100
Financial Quarter,2017/18 Q4,Scotland (Estimated),75-84 years,Number of Hours,1702205,1752045
Financial Quarter,2017/18 Q4,Scotland (Estimated),85+ years,"Rate per 1,000 Population",181.1,181.1
Financial Quarter,2017/18 Q4,Scotland (Estimated),85+ years,Number of People,22065,22065
Financial Quarter,2017/18 Q4,Scotland (Estimated),85+ years,Number of Hours,1884090,1933935
Financial Quarter,2017/18 Q4,Scotland (Estimated),Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Scotland (Estimated),Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Scotland (Estimated),Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,"Rate per 1,000 Population",8.9,12.5
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,Number of People,2035,67975
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,Number of Hours,325055,8347595
Financial Quarter,2017/18 Q4,Aberdeen City,0-17 years,"Rate per 1,000 Population",0.1,2.5
Financial Quarter,2017/18 Q4,Aberdeen City,0-17 years,Number of People,5,2560
Financial Quarter,2017/18 Q4,Aberdeen City,0-17 years,Number of Hours,915,77010
Financial Quarter,2017/18 Q4,Aberdeen City,18-64 years,"Rate per 1,000 Population",2.3,4
Financial Quarter,2017/18 Q4,Aberdeen City,18-64 years,Number of People,360,13585
Financial Quarter,2017/18 Q4,Aberdeen City,18-64 years,Number of Hours,152255,3070630
Financial Quarter,2017/18 Q4,Aberdeen City,65-74 years,"Rate per 1,000 Population",14.4,20.2
Financial Quarter,2017/18 Q4,Aberdeen City,65-74 years,Number of People,275,11395
Financial Quarter,2017/18 Q4,Aberdeen City,65-74 years,Number of Hours,35090,1127500
Financial Quarter,2017/18 Q4,Aberdeen City,75-84 years,"Rate per 1,000 Population",55.2,64.7
Financial Quarter,2017/18 Q4,Aberdeen City,75-84 years,Number of People,635,21100
Financial Quarter,2017/18 Q4,Aberdeen City,75-84 years,Number of Hours,64820,1752045
Financial Quarter,2017/18 Q4,Aberdeen City,85+ years,"Rate per 1,000 Population",161.3,181.1
Financial Quarter,2017/18 Q4,Aberdeen City,85+ years,Number of People,760,22065
Financial Quarter,2017/18 Q4,Aberdeen City,85+ years,Number of Hours,71980,1933935
Financial Quarter,2017/18 Q4,Aberdeen City,Unknown,"Rate per 1,000 Population",0,0
Financial Quarter,2017/18 Q4,Aberdeen City,Unknown,Number of People,0,0
Financial Quarter,2017/18 Q4,Aberdeen City,Unknown,Number of Hours,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.7,12.5
