financial_year,sending_location,iorn_group,hours_order,level_of_service,nclient,propn_iorn
2017/18,Clackmannanshire,A (Most Independent),1,0 - <2 hours,10,16.7
2017/18,Clackmannanshire,B,1,0 - <2 hours,25,13.5
2017/18,Clackmannanshire,C,1,0 - <2 hours,0,0
2017/18,Clackmannanshire,D,1,0 - <2 hours,0,0
2017/18,Clackmannanshire,E,1,0 - <2 hours,0,0
2017/18,Clackmannanshire,F,1,0 - <2 hours,0,0
2017/18,Clackmannanshire,G,1,0 - <2 hours,0,NA
2017/18,Clackmannanshire,H,1,0 - <2 hours,0,0
2017/18,Clackmannanshire,I (Least Independent),1,0 - <2 hours,0,0
2017/18,Clackmannanshire,A (Most Independent),2,2 - <4 hours,15,25
2017/18,Clackmannanshire,B,2,2 - <4 hours,35,18.9
2017/18,Clackmannanshire,C,2,2 - <4 hours,5,14.3
2017/18,Clackmannanshire,D,2,2 - <4 hours,10,18.2
2017/18,Clackmannanshire,E,2,2 - <4 hours,0,0
2017/18,Clackmannanshire,F,2,2 - <4 hours,5,11.1
2017/18,Clackmannanshire,G,2,2 - <4 hours,0,NA
2017/18,Clackmannanshire,H,2,2 - <4 hours,0,0
2017/18,Clackmannanshire,I (Least Independent),2,2 - <4 hours,0,0
2017/18,Clackmannanshire,A (Most Independent),3,4 - <10 hours,25,41.7
2017/18,Clackmannanshire,B,3,4 - <10 hours,90,48.6
2017/18,Clackmannanshire,C,3,4 - <10 hours,15,42.9
2017/18,Clackmannanshire,D,3,4 - <10 hours,20,36.4
2017/18,Clackmannanshire,E,3,4 - <10 hours,5,50
2017/18,Clackmannanshire,F,3,4 - <10 hours,5,11.1
2017/18,Clackmannanshire,G,3,4 - <10 hours,0,NA
2017/18,Clackmannanshire,H,3,4 - <10 hours,0,0
2017/18,Clackmannanshire,I (Least Independent),3,4 - <10 hours,5,33.3
2017/18,Clackmannanshire,A (Most Independent),4,10+ hours,10,16.7
2017/18,Clackmannanshire,B,4,10+ hours,35,18.9
2017/18,Clackmannanshire,C,4,10+ hours,15,42.9
2017/18,Clackmannanshire,D,4,10+ hours,25,45.5
2017/18,Clackmannanshire,E,4,10+ hours,5,50
2017/18,Clackmannanshire,F,4,10+ hours,35,77.8
2017/18,Clackmannanshire,G,4,10+ hours,0,NA
2017/18,Clackmannanshire,H,4,10+ hours,5,100
2017/18,Clackmannanshire,I (Least Independent),4,10+ hours,10,66.7
2017/18,East Dunbartonshire,A (Most Independent),1,0 - <2 hours,0,0
2017/18,East Dunbartonshire,B,1,0 - <2 hours,0,0
2017/18,East Dunbartonshire,C,1,0 - <2 hours,0,NA
2017/18,East Dunbartonshire,D,1,0 - <2 hours,0,NA
2017/18,East Dunbartonshire,E,1,0 - <2 hours,0,0
2017/18,East Dunbartonshire,F,1,0 - <2 hours,0,0
2017/18,East Dunbartonshire,G,1,0 - <2 hours,0,NA
2017/18,East Dunbartonshire,H,1,0 - <2 hours,0,0
2017/18,East Dunbartonshire,I (Least Independent),1,0 - <2 hours,0,0
2017/18,East Dunbartonshire,A (Most Independent),2,2 - <4 hours,5,50
