financial_quarter,sending_location,locality,age_group,measure,value
2017/18 Q4,Aberdeen City,Aberdeen Central,All Ages,"Rate per 1,000 Population",6.6
2017/18 Q4,Aberdeen City,Aberdeen Central,All Ages,Number of People,540
2017/18 Q4,Aberdeen City,Aberdeen Central,All Ages,Number of Hours,104960
2017/18 Q4,Aberdeen City,Aberdeen Central,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Aberdeen City,Aberdeen Central,0-17 years,Number of People,0
2017/18 Q4,Aberdeen City,Aberdeen Central,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeen City,Aberdeen Central,18-64 years,"Rate per 1,000 Population",2.4
2017/18 Q4,Aberdeen City,Aberdeen Central,18-64 years,Number of People,145
2017/18 Q4,Aberdeen City,Aberdeen Central,18-64 years,Number of Hours,63175
2017/18 Q4,Aberdeen City,Aberdeen Central,65-74 years,"Rate per 1,000 Population",16.8
2017/18 Q4,Aberdeen City,Aberdeen Central,65-74 years,Number of People,85
2017/18 Q4,Aberdeen City,Aberdeen Central,65-74 years,Number of Hours,10550
2017/18 Q4,Aberdeen City,Aberdeen Central,75-84 years,"Rate per 1,000 Population",48
2017/18 Q4,Aberdeen City,Aberdeen Central,75-84 years,Number of People,135
2017/18 Q4,Aberdeen City,Aberdeen Central,75-84 years,Number of Hours,14170
2017/18 Q4,Aberdeen City,Aberdeen Central,85+ years,"Rate per 1,000 Population",149.7
2017/18 Q4,Aberdeen City,Aberdeen Central,85+ years,Number of People,175
2017/18 Q4,Aberdeen City,Aberdeen Central,85+ years,Number of Hours,17060
2017/18 Q4,Aberdeen City,Aberdeen North,All Ages,"Rate per 1,000 Population",10.4
2017/18 Q4,Aberdeen City,Aberdeen North,All Ages,Number of People,730
2017/18 Q4,Aberdeen City,Aberdeen North,All Ages,Number of Hours,96270
2017/18 Q4,Aberdeen City,Aberdeen North,0-17 years,"Rate per 1,000 Population",0.1
2017/18 Q4,Aberdeen City,Aberdeen North,0-17 years,Number of People,0
2017/18 Q4,Aberdeen City,Aberdeen North,0-17 years,Number of Hours,205
2017/18 Q4,Aberdeen City,Aberdeen North,18-64 years,"Rate per 1,000 Population",2.3
2017/18 Q4,Aberdeen City,Aberdeen North,18-64 years,Number of People,100
2017/18 Q4,Aberdeen City,Aberdeen North,18-64 years,Number of Hours,30370
2017/18 Q4,Aberdeen City,Aberdeen North,65-74 years,"Rate per 1,000 Population",15.5
2017/18 Q4,Aberdeen City,Aberdeen North,65-74 years,Number of People,115
2017/18 Q4,Aberdeen City,Aberdeen North,65-74 years,Number of Hours,16415
2017/18 Q4,Aberdeen City,Aberdeen North,75-84 years,"Rate per 1,000 Population",57.4
2017/18 Q4,Aberdeen City,Aberdeen North,75-84 years,Number of People,240
2017/18 Q4,Aberdeen City,Aberdeen North,75-84 years,Number of Hours,22585
2017/18 Q4,Aberdeen City,Aberdeen North,85+ years,"Rate per 1,000 Population",189.6
2017/18 Q4,Aberdeen City,Aberdeen North,85+ years,Number of People,275
2017/18 Q4,Aberdeen City,Aberdeen North,85+ years,Number of Hours,26695
2017/18 Q4,Aberdeen City,Aberdeen South,All Ages,"Rate per 1,000 Population",8.9
2017/18 Q4,Aberdeen City,Aberdeen South,All Ages,Number of People,685
2017/18 Q4,Aberdeen City,Aberdeen South,All Ages,Number of Hours,106895
2017/18 Q4,Aberdeen City,Aberdeen South,0-17 years,"Rate per 1,000 Population",0.2
2017/18 Q4,Aberdeen City,Aberdeen South,0-17 years,Number of People,5
