time_period,financial_quarter,sending_location,age_group,nclient,percentage,scotland_percentage
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,57260,93.4,93.4
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,180,80,80
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,8885,76.8,76.8
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,9025,95.4,95.4
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,19120,97.7,97.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,20050,97.9,97.9
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,0,0,0
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,2030,99.8,93.4
Financial Quarter,2017/18 Q4,Aberdeen City,0-17 years,5,100,80
Financial Quarter,2017/18 Q4,Aberdeen City,18-64 years,355,98.6,76.8
Financial Quarter,2017/18 Q4,Aberdeen City,65-74 years,275,100,95.4
Financial Quarter,2017/18 Q4,Aberdeen City,75-84 years,635,100,97.7
Financial Quarter,2017/18 Q4,Aberdeen City,85+ years,760,100,97.9
Financial Quarter,2017/18 Q4,Aberdeen City,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,2245,88.6,93.4
Financial Quarter,2017/18 Q4,Aberdeenshire,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Aberdeenshire,18-64 years,45,15,76.8
Financial Quarter,2017/18 Q4,Aberdeenshire,65-74 years,365,98.6,95.4
Financial Quarter,2017/18 Q4,Aberdeenshire,75-84 years,865,97.7,97.7
Financial Quarter,2017/18 Q4,Aberdeenshire,85+ years,970,99,97.9
Financial Quarter,2017/18 Q4,Aberdeenshire,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Angus,All Ages,1045,90.9,93.4
Financial Quarter,2017/18 Q4,Angus,0-17 years,10,100,80
Financial Quarter,2017/18 Q4,Angus,18-64 years,215,81.1,76.8
Financial Quarter,2017/18 Q4,Angus,65-74 years,145,90.6,95.4
Financial Quarter,2017/18 Q4,Angus,75-84 years,295,95.2,97.7
Financial Quarter,2017/18 Q4,Angus,85+ years,380,93.8,97.9
Financial Quarter,2017/18 Q4,Angus,Unknown,0,0,0
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,1455,100,93.4
Financial Quarter,2017/18 Q4,Argyll and Bute,0-17 years,0,0,80
Financial Quarter,2017/18 Q4,Argyll and Bute,18-64 years,190,100,76.8
Financial Quarter,2017/18 Q4,Argyll and Bute,65-74 years,205,100,95.4
Financial Quarter,2017/18 Q4,Argyll and Bute,75-84 years,480,100,97.7
Financial Quarter,2017/18 Q4,Argyll and Bute,85+ years,575,100,97.9
Financial Quarter,2017/18 Q4,Argyll and Bute,Unknown,0,0,0
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,4525,85.5,93.4
Financial Quarter,2017/18 Q4,City of Edinburgh,0-17 years,0,NA,80
Financial Quarter,2017/18 Q4,City of Edinburgh,18-64 years,1055,66.6,76.8
Financial Quarter,2017/18 Q4,City of Edinburgh,65-74 years,625,90.6,95.4
Financial Quarter,2017/18 Q4,City of Edinburgh,75-84 years,1220,94.2,97.7
