financial_quarter,sending_location,age_group,referral_source,percentage,numerator,scotland_percentage
2017/18 Q4,Scotland (All Areas Submitted),All Ages,999 Emergency Services,79,12975,79
2017/18 Q4,Scotland (All Areas Submitted),All Ages,GP,3.2,525,3.2
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Care Home,0,5,0
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Self Referral,13,2130,13
2017/18 Q4,Scotland (All Areas Submitted),All Ages,Other/Unknown,4.8,780,4.8
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,999 Emergency Services,33.3,10,33.3
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,GP,16.7,5,16.7
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Care Home,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Self Referral,33.3,10,33.3
2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Other/Unknown,16.7,5,16.7
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,999 Emergency Services,62.2,1825,62.2
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,GP,3.7,110,3.7
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Care Home,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Self Referral,25.2,740,25.2
2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Other/Unknown,8.9,260,8.9
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,999 Emergency Services,81.5,2330,81.5
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,GP,3,85,3
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Care Home,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Self Referral,11.7,335,11.7
2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Other/Unknown,3.8,110,3.8
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,999 Emergency Services,81.6,4320,81.6
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,GP,3.1,165,3.1
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Care Home,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Self Referral,11.1,590,11.1
2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Other/Unknown,4.2,220,4.2
2017/18 Q4,Scotland (All Areas Submitted),85+ years,999 Emergency Services,84.8,4490,84.8
2017/18 Q4,Scotland (All Areas Submitted),85+ years,GP,3.1,165,3.1
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Care Home,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Self Referral,8.6,455,8.6
2017/18 Q4,Scotland (All Areas Submitted),85+ years,Other/Unknown,3.5,185,3.5
2017/18 Q4,Scotland (All Areas Submitted),Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,GP,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Care Home,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Self Referral,0,0,0
2017/18 Q4,Scotland (All Areas Submitted),Unknown,Other/Unknown,0,0,0
2017/18 Q4,Aberdeen City,All Ages,999 Emergency Services,88.9,440,79
2017/18 Q4,Aberdeen City,All Ages,GP,1,5,3.2
2017/18 Q4,Aberdeen City,All Ages,Care Home,0,0,0
2017/18 Q4,Aberdeen City,All Ages,Self Referral,9.1,45,13
2017/18 Q4,Aberdeen City,All Ages,Other/Unknown,1,5,4.8
2017/18 Q4,Aberdeen City,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Aberdeen City,0-17 years,GP,0,0,16.7
2017/18 Q4,Aberdeen City,0-17 years,Care Home,0,0,0
2017/18 Q4,Aberdeen City,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Aberdeen City,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Aberdeen City,18-64 years,999 Emergency Services,85.7,60,62.2
2017/18 Q4,Aberdeen City,18-64 years,GP,0,0,3.7
2017/18 Q4,Aberdeen City,18-64 years,Care Home,0,0,0
2017/18 Q4,Aberdeen City,18-64 years,Self Referral,14.3,10,25.2
2017/18 Q4,Aberdeen City,18-64 years,Other/Unknown,0,0,8.9
2017/18 Q4,Aberdeen City,65-74 years,999 Emergency Services,93.3,70,81.5
2017/18 Q4,Aberdeen City,65-74 years,GP,0,0,3
2017/18 Q4,Aberdeen City,65-74 years,Care Home,0,0,0
2017/18 Q4,Aberdeen City,65-74 years,Self Referral,6.7,5,11.7
2017/18 Q4,Aberdeen City,65-74 years,Other/Unknown,0,0,3.8
2017/18 Q4,Aberdeen City,75-84 years,999 Emergency Services,94.1,160,81.6
2017/18 Q4,Aberdeen City,75-84 years,GP,0,0,3.1
2017/18 Q4,Aberdeen City,75-84 years,Care Home,0,0,0
2017/18 Q4,Aberdeen City,75-84 years,Self Referral,5.9,10,11.1
2017/18 Q4,Aberdeen City,75-84 years,Other/Unknown,0,0,4.2
2017/18 Q4,Aberdeen City,85+ years,999 Emergency Services,86.1,155,84.8
2017/18 Q4,Aberdeen City,85+ years,GP,2.8,5,3.1
2017/18 Q4,Aberdeen City,85+ years,Care Home,0,0,0
2017/18 Q4,Aberdeen City,85+ years,Self Referral,11.1,20,8.6
2017/18 Q4,Aberdeen City,85+ years,Other/Unknown,0,0,3.5
2017/18 Q4,Aberdeen City,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Aberdeen City,Unknown,GP,0,0,0
2017/18 Q4,Aberdeen City,Unknown,Care Home,0,0,0
2017/18 Q4,Aberdeen City,Unknown,Self Referral,0,0,0
2017/18 Q4,Aberdeen City,Unknown,Other/Unknown,0,0,0
2017/18 Q4,Aberdeenshire,All Ages,999 Emergency Services,89.3,250,79
2017/18 Q4,Aberdeenshire,All Ages,GP,0,0,3.2
2017/18 Q4,Aberdeenshire,All Ages,Care Home,0,0,0
2017/18 Q4,Aberdeenshire,All Ages,Self Referral,7.1,20,13
2017/18 Q4,Aberdeenshire,All Ages,Other/Unknown,3.6,10,4.8
2017/18 Q4,Aberdeenshire,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Aberdeenshire,0-17 years,GP,0,0,16.7
