time_period,financial_quarter,sending_location,age_group,hc_service_provider,nclient,percentage
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,28750,46.9
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,Other,205,0.3
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,Private only,31355,51.1
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),All Ages,Third Sector,6250,10.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,70,31.1
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Private only,105,46.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),0-17 years,Third Sector,55,24.4
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,2855,24.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Other,95,0.8
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Private only,5415,46.8
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),18-64 years,Third Sector,3895,33.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,4665,49.3
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Other,40,0.4
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Private only,4845,51.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),65-74 years,Third Sector,750,7.9
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,10475,53.5
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Other,30,0.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Private only,10045,51.3
