time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2017/18 Q4,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.5
Financial Quarter,2017/18 Q4,Scotland (Estimated),All Ages,Number of People,67975
Financial Quarter,2017/18 Q4,Scotland (Estimated),All Ages,Number of Hours,8297750
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,"Rate per 1,000 Population",8.9
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,Number of People,2035
Financial Quarter,2017/18 Q4,Aberdeen City,All Ages,Number of Hours,325055
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,"Rate per 1,000 Population",9.7
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,Number of People,2535
Financial Quarter,2017/18 Q4,Aberdeenshire,All Ages,Number of Hours,233160
Financial Quarter,2017/18 Q4,Angus,All Ages,"Rate per 1,000 Population",9.9
Financial Quarter,2017/18 Q4,Angus,All Ages,Number of People,1150
Financial Quarter,2017/18 Q4,Angus,All Ages,Number of Hours,90520
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,"Rate per 1,000 Population",16.8
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,Number of People,1455
Financial Quarter,2017/18 Q4,Argyll and Bute,All Ages,Number of Hours,184510
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,"Rate per 1,000 Population",10.3
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,Number of People,5295
Financial Quarter,2017/18 Q4,City of Edinburgh,All Ages,Number of Hours,1192495
Financial Quarter,2017/18 Q4,Clackmannanshire,All Ages,"Rate per 1,000 Population",16.7
Financial Quarter,2017/18 Q4,Clackmannanshire,All Ages,Number of People,860
Financial Quarter,2017/18 Q4,Clackmannanshire,All Ages,Number of Hours,133285
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.5
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Number of People,390
Financial Quarter,2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Number of Hours,21610
Financial Quarter,2017/18 Q4,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",16.3
Financial Quarter,2017/18 Q4,Dumfries and Galloway,All Ages,Number of People,2425
Financial Quarter,2017/18 Q4,Dumfries and Galloway,All Ages,Number of Hours,429210
Financial Quarter,2017/18 Q4,Dundee City,All Ages,"Rate per 1,000 Population",14.3
Financial Quarter,2017/18 Q4,Dundee City,All Ages,Number of People,2130
Financial Quarter,2017/18 Q4,Dundee City,All Ages,Number of Hours,263020
Financial Quarter,2017/18 Q4,East Ayrshire,All Ages,"Rate per 1,000 Population",16.6
Financial Quarter,2017/18 Q4,East Ayrshire,All Ages,Number of People,2025
Financial Quarter,2017/18 Q4,East Ayrshire,All Ages,Number of Hours,262980
Financial Quarter,2017/18 Q4,East Dunbartonshire,All Ages,"Rate per 1,000 Population",14.4
Financial Quarter,2017/18 Q4,East Dunbartonshire,All Ages,Number of People,1555
Financial Quarter,2017/18 Q4,East Dunbartonshire,All Ages,Number of Hours,162980
Financial Quarter,2017/18 Q4,East Lothian,All Ages,"Rate per 1,000 Population",13.8
Financial Quarter,2017/18 Q4,East Lothian,All Ages,Number of People,1450
Financial Quarter,2017/18 Q4,East Lothian,All Ages,Number of Hours,258600
Financial Quarter,2017/18 Q4,East Renfrewshire,All Ages,"Rate per 1,000 Population",12.2
Financial Quarter,2017/18 Q4,East Renfrewshire,All Ages,Number of People,1160
Financial Quarter,2017/18 Q4,East Renfrewshire,All Ages,Number of Hours,106350
Financial Quarter,2017/18 Q4,Falkirk,All Ages,"Rate per 1,000 Population",16.8
Financial Quarter,2017/18 Q4,Falkirk,All Ages,Number of People,2690
Financial Quarter,2017/18 Q4,Falkirk,All Ages,Number of Hours,316480
Financial Quarter,2017/18 Q4,Fife,All Ages,"Rate per 1,000 Population",10.6
Financial Quarter,2017/18 Q4,Fife,All Ages,Number of People,3950
Financial Quarter,2017/18 Q4,Fife,All Ages,Number of Hours,723675
Financial Quarter,2017/18 Q4,Glasgow City,All Ages,"Rate per 1,000 Population",10.7
Financial Quarter,2017/18 Q4,Glasgow City,All Ages,Number of People,6665
Financial Quarter,2017/18 Q4,Glasgow City,All Ages,Number of Hours,585810
Financial Quarter,2017/18 Q4,Highland,All Ages,"Rate per 1,000 Population",9.2
Financial Quarter,2017/18 Q4,Highland,All Ages,Number of People,2170
Financial Quarter,2017/18 Q4,Highland,All Ages,Number of Hours,202950
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,"Rate per 1,000 Population",17.9
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,Number of People,1410
Financial Quarter,2017/18 Q4,Inverclyde,All Ages,Number of Hours,110695
Financial Quarter,2017/18 Q4,Midlothian,All Ages,"Rate per 1,000 Population",12.4
Financial Quarter,2017/18 Q4,Midlothian,All Ages,Number of People,1115
Financial Quarter,2017/18 Q4,Moray,All Ages,"Rate per 1,000 Population",13.8
Financial Quarter,2017/18 Q4,Moray,All Ages,Number of People,1320
Financial Quarter,2017/18 Q4,North Ayrshire,All Ages,"Rate per 1,000 Population",17.3
Financial Quarter,2017/18 Q4,North Ayrshire,All Ages,Number of People,2350
Financial Quarter,2017/18 Q4,North Lanarkshire,All Ages,"Rate per 1,000 Population",12
Financial Quarter,2017/18 Q4,North Lanarkshire,All Ages,Number of People,4095
Financial Quarter,2017/18 Q4,North Lanarkshire,All Ages,Number of Hours,383565
Financial Quarter,2017/18 Q4,Orkney Islands,All Ages,"Rate per 1,000 Population",10
Financial Quarter,2017/18 Q4,Orkney Islands,All Ages,Number of People,220
Financial Quarter,2017/18 Q4,Orkney Islands,All Ages,Number of Hours,20400
Financial Quarter,2017/18 Q4,Perth and Kinross,All Ages,"Rate per 1,000 Population",13.9
Financial Quarter,2017/18 Q4,Perth and Kinross,All Ages,Number of People,2100
Financial Quarter,2017/18 Q4,Perth and Kinross,All Ages,Number of Hours,350355
Financial Quarter,2017/18 Q4,Renfrewshire,All Ages,"Rate per 1,000 Population",14.2
Financial Quarter,2017/18 Q4,Renfrewshire,All Ages,Number of People,2505
Financial Quarter,2017/18 Q4,Renfrewshire,All Ages,Number of Hours,428920
