financial_year,sending_location,age_group,sex,measure,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",126210,618.8
2017/18,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",116670,616.9
2017/18,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",77010,377.6
2017/18,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",71775,379.5
2017/18,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",610,3
2017/18,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",580,3.1
2017/18,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",975,4.8
2017/18,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",905,4.8
2017/18,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",1905,9.3
2017/18,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1785,9.4
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",10,0
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",10,0.1
2017/18,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",21005,103
2017/18,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",19860,105
2017/18,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",21865,107.2
2017/18,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",20425,108
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",140,0.7
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",135,0.7
2017/18,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",16990,83.3
2017/18,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",16080,85
2017/18,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",13145,64.5
2017/18,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",12320,65.1
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",75,0.4
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",70,0.4
2017/18,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",40350,197.8
2017/18,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",37725,199.5
2017/18,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",21695,106.4
2017/18,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",20185,106.7
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",180,0.9
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",170,0.9
2017/18,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",46765,229.3
2017/18,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",42100,222.6
2017/18,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",18340,89.9
2017/18,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",17065,90.2
2017/18,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",185,0.9
2017/18,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",200,1.1
2017/18,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",120,0.6
2017/18,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",65,0.3
2017/18,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",25,0.1
2017/18,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",148150,615.7
2018/19,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",135670,614.2
2018/19,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",91255,379.2
2018/19,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",84025,380.4
2018/19,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",1070,4.4
2018/19,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",1035,4.7
2018/19,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",1220,5.1
2018/19,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1055,4.8
2018/19,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",2340,9.7
2018/19,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",2000,9.1
2018/19,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",15,0.1
2018/19,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",15,0.1
2018/19,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",24840,103.2
2018/19,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",23345,105.7
2018/19,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",26230,109
2018/19,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",24265,109.9
2018/19,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",265,1.1
2018/19,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",255,1.2
2018/19,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",19885,82.6
2018/19,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",18760,84.9
2018/19,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",15615,64.9
2018/19,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",14595,66.1
2018/19,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",155,0.6
2018/19,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",150,0.7
2018/19,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",46855,194.7
2018/19,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",43525,197.1
2018/19,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",25480,105.9
2018/19,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",23525,106.5
2018/19,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",325,1.4
2018/19,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",315,1.4
2018/19,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",55280,229.7
2018/19,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",48985,221.8
2018/19,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",21545,89.5
2018/19,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",19645,88.9
2018/19,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",310,1.3
2018/19,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",300,1.4
2018/19,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",65,0.3
2018/19,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",35,0.1
2018/19,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0
2018/19,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",138790,615.2
2019/20,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",126220,613.1
2019/20,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",85530,379.1
2019/20,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",78500,381.3
2019/20,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",1090,4.8
2019/20,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",960,4.7
2019/20,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",900,4
2019/20,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",840,4.1
2019/20,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",1685,7.5
2019/20,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1615,7.8
2019/20,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",15,0.1
2019/20,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",15,0.1
2019/20,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",23360,103.5
2019/20,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",22040,107.1
2019/20,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",24285,107.6
2019/20,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",22575,109.7
2019/20,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",235,1
2019/20,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",230,1.1
2019/20,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",18425,81.7
2019/20,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",17240,83.7
2019/20,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",14470,64.1
2019/20,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",13400,65.1
2019/20,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",165,0.7
2019/20,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",150,0.7
2019/20,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",43615,193.3
2019/20,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",40200,195.3
2019/20,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",24260,107.5
2019/20,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",22235,108
2019/20,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",335,1.5
2019/20,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",295,1.4
2019/20,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",52445,232.4
2019/20,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",45900,223
2019/20,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",20800,92.2
2019/20,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",18675,90.7
2019/20,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",340,1.5
2019/20,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",270,1.3
2019/20,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",50,0.2
2019/20,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",30,0.1
2019/20,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",136140,608
2020/21,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",121320,610
2020/21,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",86055,384.3
2020/21,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",76305,383.7
2020/21,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",965,4.3
2020/21,Scotland (All Areas Submitted),All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",815,4.1
2020/21,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",950,4.2
2020/21,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",810,4.1
2020/21,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",2055,9.2
2020/21,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1730,8.7
2020/21,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",20,0.1
2020/21,Scotland (All Areas Submitted),0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",20,0.1
2020/21,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",22710,101.4
2020/21,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",20635,103.8
