financial_year,sending_location,age_group,client_group,measure,denominator,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients",196021,16240,82.8
2017/18,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",181746,13495,74.3
2017/18,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",196021,89415,456.2
2017/18,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",181746,81585,448.9
2017/18,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",196021,14395,73.4
2017/18,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",181746,13590,74.8
2017/18,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients",196021,12975,66.2
2017/18,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",181746,11695,64.3
2017/18,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",196021,75030,382.8
2017/18,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",181746,70950,390.4
2017/18,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients",196021,34790,177.5
2017/18,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",181746,33015,181.7
2017/18,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",196021,17785,90.7
2017/18,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",181746,17010,93.6
2017/18,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients",2812,0,0
2017/18,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2617,0,0
2017/18,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",2812,40,14.2
2017/18,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",2617,35,13.4
2017/18,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",2812,445,158.3
2017/18,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2617,420,160.5
2017/18,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",2812,75,26.7
2017/18,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",2617,70,26.7
2017/18,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",2812,525,186.7
2017/18,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",2617,505,193
2017/18,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients",2812,1505,535.2
2017/18,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",2617,1360,519.7
2017/18,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",2812,665,236.5
2017/18,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",2617,650,248.4
2017/18,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients",41575,385,9.3
2017/18,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",39138,330,8.4
2017/18,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",41575,2915,70.1
2017/18,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",39138,2695,68.9
2017/18,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",41575,11975,288
2017/18,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",39138,11370,290.5
2017/18,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",41575,6760,162.6
2017/18,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",39138,6345,162.1
2017/18,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",41575,16000,384.8
2017/18,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",39138,15085,385.4
2017/18,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients",41575,10275,247.1
2017/18,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",39138,9720,248.4
2017/18,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",41575,5320,128
2017/18,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",39138,5095,130.2
2017/18,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients",28721,1800,62.7
2017/18,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",27042,1545,57.1
2017/18,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",28721,13355,465
2017/18,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",27042,12530,463.4
2017/18,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",28721,1305,45.4
2017/18,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",27042,1215,44.9
2017/18,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",28721,2350,81.8
2017/18,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",27042,2110,78
2017/18,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",28721,12185,424.3
2017/18,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",27042,11675,431.7
2017/18,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients",28721,5245,182.6
2017/18,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",27042,4965,183.6
2017/18,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",28721,2385,83
