financial_year,sending_location,age_group,living_alone,measure,nclient,percentage
2017/18,Scotland (All Areas Submitted),All Ages,Living Alone,Percentage of Social Care Clients,39755,19.5
2017/18,Scotland (All Areas Submitted),All Ages,Living Alone,Percentage of Social Care Clients (adjusted),38315,20.3
2017/18,Scotland (All Areas Submitted),All Ages,Not Living Alone,Percentage of Social Care Clients,67405,33.1
2017/18,Scotland (All Areas Submitted),All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),60640,32.1
2017/18,Scotland (All Areas Submitted),All Ages,Unknown,Percentage of Social Care Clients,96785,47.5
2017/18,Scotland (All Areas Submitted),All Ages,Unknown,Percentage of Social Care Clients (adjusted),90175,47.7
2017/18,Scotland (All Areas Submitted),0-17 years,Living Alone,Percentage of Social Care Clients,30,1
2017/18,Scotland (All Areas Submitted),0-17 years,Living Alone,Percentage of Social Care Clients (adjusted),30,1.1
2017/18,Scotland (All Areas Submitted),0-17 years,Not Living Alone,Percentage of Social Care Clients,1140,39.4
2017/18,Scotland (All Areas Submitted),0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1115,41.4
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown,Percentage of Social Care Clients,1720,59.5
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown,Percentage of Social Care Clients (adjusted),1550,57.5
2017/18,Scotland (All Areas Submitted),18-64 years,Living Alone,Percentage of Social Care Clients,5915,13.8
2017/18,Scotland (All Areas Submitted),18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),5805,14.4
2017/18,Scotland (All Areas Submitted),18-64 years,Not Living Alone,Percentage of Social Care Clients,13950,32.4
2017/18,Scotland (All Areas Submitted),18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),13030,32.2
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown,Percentage of Social Care Clients,23145,53.8
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown,Percentage of Social Care Clients (adjusted),21585,53.4
2017/18,Scotland (All Areas Submitted),65-74 years,Living Alone,Percentage of Social Care Clients,5555,18.4
2017/18,Scotland (All Areas Submitted),65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),5425,19.1
2017/18,Scotland (All Areas Submitted),65-74 years,Not Living Alone,Percentage of Social Care Clients,10240,33.9
2017/18,Scotland (All Areas Submitted),65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),9410,33.1
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown,Percentage of Social Care Clients,14410,47.7
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown,Percentage of Social Care Clients (adjusted),13635,47.9
2017/18,Scotland (All Areas Submitted),75-84 years,Living Alone,Percentage of Social Care Clients,12410,19.9
2017/18,Scotland (All Areas Submitted),75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),12020,20.7
2017/18,Scotland (All Areas Submitted),75-84 years,Not Living Alone,Percentage of Social Care Clients,21420,34.4
2017/18,Scotland (All Areas Submitted),75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),19395,33.4
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown,Percentage of Social Care Clients,28400,45.6
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown,Percentage of Social Care Clients (adjusted),26665,45.9
2017/18,Scotland (All Areas Submitted),85+ years,Living Alone,Percentage of Social Care Clients,15785,24.2
2017/18,Scotland (All Areas Submitted),85+ years,Living Alone,Percentage of Social Care Clients (adjusted),15035,25.3
2017/18,Scotland (All Areas Submitted),85+ years,Not Living Alone,Percentage of Social Care Clients,20605,31.6
2017/18,Scotland (All Areas Submitted),85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),17690,29.7
2017/18,Scotland (All Areas Submitted),85+ years,Unknown,Percentage of Social Care Clients,28895,44.3
2017/18,Scotland (All Areas Submitted),85+ years,Unknown,Percentage of Social Care Clients (adjusted),26745,45
2017/18,Scotland (All Areas Submitted),Unknown,Living Alone,Percentage of Social Care Clients,60,18.5
2017/18,Scotland (All Areas Submitted),Unknown,Not Living Alone,Percentage of Social Care Clients,50,15.4
2017/18,Scotland (All Areas Submitted),Unknown,Unknown,Percentage of Social Care Clients,215,66.2
2017/18,Aberdeen City,All Ages,Living Alone,Percentage of Social Care Clients,2875,27.2
2017/18,Aberdeen City,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),2855,27.6
2017/18,Aberdeen City,All Ages,Not Living Alone,Percentage of Social Care Clients,2580,24.4
2017/18,Aberdeen City,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),2555,24.7
2017/18,Aberdeen City,All Ages,Unknown,Percentage of Social Care Clients,5120,48.4
2017/18,Aberdeen City,All Ages,Unknown,Percentage of Social Care Clients (adjusted),4920,47.6
2017/18,Aberdeen City,0-17 years,Not Living Alone,Percentage of Social Care Clients,50,16.1
2017/18,Aberdeen City,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),45,18
2017/18,Aberdeen City,0-17 years,Unknown,Percentage of Social Care Clients,260,83.9
2017/18,Aberdeen City,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),205,82
2017/18,Aberdeen City,18-64 years,Living Alone,Percentage of Social Care Clients,535,17
2017/18,Aberdeen City,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),525,17.4
2017/18,Aberdeen City,18-64 years,Not Living Alone,Percentage of Social Care Clients,595,18.9
2017/18,Aberdeen City,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),585,19.4
2017/18,Aberdeen City,18-64 years,Unknown,Percentage of Social Care Clients,2025,64.2
2017/18,Aberdeen City,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),1900,63.1
2017/18,Aberdeen City,65-74 years,Living Alone,Percentage of Social Care Clients,425,29.3
2017/18,Aberdeen City,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),420,29.3
2017/18,Aberdeen City,65-74 years,Not Living Alone,Percentage of Social Care Clients,410,28.3
2017/18,Aberdeen City,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),405,28.2
2017/18,Aberdeen City,65-74 years,Unknown,Percentage of Social Care Clients,615,42.4
