financial_year,sending_location,measure,rate,nclient,scot_nclient,scotland_rate
2017/18,Scotland (Estimated),"Rate per 1,000 Population",42.4,230115,230115,42.4
2017/18,Scotland (Estimated),"Rate per 1,000 Population (adjusted)",42.4,230115,230115,42.4
2017/18,Aberdeen City,"Rate per 1,000 Population",46.3,10585,230115,42.4
2017/18,Aberdeen City,"Rate per 1,000 Population (adjusted)",46.3,10585,230115,42.4
2017/18,Aberdeenshire,"Rate per 1,000 Population",34.6,9070,230115,42.4
2017/18,Aberdeenshire,"Rate per 1,000 Population (adjusted)",17,4460,230115,42.4
2017/18,Angus,"Rate per 1,000 Population",50.2,5835,230115,42.4
2017/18,Angus,"Rate per 1,000 Population (adjusted)",50.2,5835,230115,42.4
2017/18,Argyll and Bute,"Rate per 1,000 Population",38.8,3370,230115,42.4
2017/18,Argyll and Bute,"Rate per 1,000 Population (adjusted)",38.8,3370,230115,42.4
2017/18,City of Edinburgh,"Rate per 1,000 Population",33.5,17200,230115,42.4
2017/18,City of Edinburgh,"Rate per 1,000 Population (adjusted)",33.5,17200,230115,42.4
2017/18,Clackmannanshire,"Rate per 1,000 Population",53.8,2770,230115,42.4
2017/18,Clackmannanshire,"Rate per 1,000 Population (adjusted)",53.8,2770,230115,42.4
2017/18,Comhairle nan Eilean Siar,"Rate per 1,000 Population",65.9,1775,230115,42.4
2017/18,Comhairle nan Eilean Siar,"Rate per 1,000 Population (adjusted)",65.9,1775,230115,42.4
2017/18,Dumfries and Galloway,"Rate per 1,000 Population",47.4,7070,230115,42.4
2017/18,Dumfries and Galloway,"Rate per 1,000 Population (adjusted)",47.4,7070,230115,42.4
2017/18,Dundee City,"Rate per 1,000 Population",73.9,10985,230115,42.4
2017/18,Dundee City,"Rate per 1,000 Population (adjusted)",73.9,10985,230115,42.4
2017/18,East Ayrshire,"Rate per 1,000 Population",42.3,5160,230115,42.4
2017/18,East Ayrshire,"Rate per 1,000 Population (adjusted)",42.3,5160,230115,42.4
2017/18,East Dunbartonshire,"Rate per 1,000 Population",56.8,6145,230115,42.4
2017/18,East Dunbartonshire,"Rate per 1,000 Population (adjusted)",56.8,6145,230115,42.4
2017/18,East Lothian,"Rate per 1,000 Population",54.6,5725,230115,42.4
2017/18,East Lothian,"Rate per 1,000 Population (adjusted)",54.6,5725,230115,42.4
2017/18,East Renfrewshire,"Rate per 1,000 Population",67.2,6365,230115,42.4
2017/18,East Renfrewshire,"Rate per 1,000 Population (adjusted)",67.2,6365,230115,42.4
2017/18,Falkirk,"Rate per 1,000 Population",50.5,8085,230115,42.4
2017/18,Falkirk,"Rate per 1,000 Population (adjusted)",50.5,8085,230115,42.4
2017/18,Fife,"Rate per 1,000 Population",42.8,15880,230115,42.4
2017/18,Fife,"Rate per 1,000 Population (adjusted)",42.8,15880,230115,42.4
2017/18,Glasgow City,"Rate per 1,000 Population",31.2,19370,230115,42.4
2017/18,Glasgow City,"Rate per 1,000 Population (adjusted)",31.2,19370,230115,42.4
2017/18,Highland,"Rate per 1,000 Population",35.6,8375,230115,42.4
2017/18,Highland,"Rate per 1,000 Population (adjusted)",35.6,8375,230115,42.4
2017/18,Inverclyde,"Rate per 1,000 Population",62.3,4910,230115,42.4
2017/18,Inverclyde,"Rate per 1,000 Population (adjusted)",62.3,4910,230115,42.4
2017/18,Midlothian,"Rate per 1,000 Population",43.3,3900,230115,42.4
2017/18,Midlothian,"Rate per 1,000 Population (adjusted)",43.3,3900,230115,42.4
2017/18,Moray,"Rate per 1,000 Population",34.7,3325,230115,42.4
2017/18,Moray,"Rate per 1,000 Population (adjusted)",34.7,3325,230115,42.4
2017/18,North Ayrshire,"Rate per 1,000 Population",52.5,7135,230115,42.4
2017/18,North Ayrshire,"Rate per 1,000 Population (adjusted)",52.5,7135,230115,42.4
