financial_year,sending_location,age_group,client_group,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Dementia,6700,74.92311993290467
2017/18,Scotland (All Areas Submitted),0-17 years,Dementia,0,0
2017/18,Scotland (All Areas Submitted),18-64 years,Dementia,185,8.47651775486827
2017/18,Scotland (All Areas Submitted),65-74 years,Dementia,800,68.4931506849315
2017/18,Scotland (All Areas Submitted),75-84 years,Dementia,2780,116.56184486373165
2017/18,Scotland (All Areas Submitted),85+ years,Dementia,2935,109.82226379794201
2017/18,Scotland (All Areas Submitted),Unknown,Dementia,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Elderly / Frail,42640,476.82415431926194
2017/18,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,20,12.269938650306749
2017/18,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,1600,73.31042382588775
2017/18,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,6310,540.2397260273972
2017/18,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,15605,654.2976939203354
2017/18,Scotland (All Areas Submitted),85+ years,Elderly / Frail,19100,714.6866230121609
2017/18,Scotland (All Areas Submitted),Unknown,Elderly / Frail,10,285.7142857142857
2017/18,Scotland (All Areas Submitted),All Ages,Learning Disability,8990,100.53117137265866
2017/18,Scotland (All Areas Submitted),0-17 years,Learning Disability,310,190.1840490797546
2017/18,Scotland (All Areas Submitted),18-64 years,Learning Disability,7695,352.5773195876289
2017/18,Scotland (All Areas Submitted),65-74 years,Learning Disability,710,60.78767123287671
2017/18,Scotland (All Areas Submitted),75-84 years,Learning Disability,230,9.643605870020965
2017/18,Scotland (All Areas Submitted),85+ years,Learning Disability,45,1.6838166510757717
2017/18,Scotland (All Areas Submitted),Unknown,Learning Disability,5,142.85714285714286
2017/18,Scotland (All Areas Submitted),All Ages,Mental Health,6045,67.59854626782219
2017/18,Scotland (All Areas Submitted),0-17 years,Mental Health,40,24.539877300613497
2017/18,Scotland (All Areas Submitted),18-64 years,Mental Health,3525,161.51202749140896
2017/18,Scotland (All Areas Submitted),65-74 years,Mental Health,1045,89.46917808219177
2017/18,Scotland (All Areas Submitted),75-84 years,Mental Health,915,38.36477987421384
2017/18,Scotland (All Areas Submitted),85+ years,Mental Health,520,19.457436856875585
2017/18,Scotland (All Areas Submitted),Unknown,Mental Health,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,31420,351.35588481968125
2017/18,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,375,230.06134969325154
2017/18,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,8370,383.50515463917526
2017/18,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,4705,402.8253424657534
2017/18,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,8405,352.41090146750525
