financial_year,sending_location,implementation_rate,nclient,sdsclient,scotland_rate,scotland_nclient
2017/18,Scotland (Estimated),77.1,121735,93900,77.1,121735
2018/19,Scotland (Estimated),81.3,126530,102905,81.3,126530
2019/20,Scotland (Estimated),81.5,121705,99245,81.5,121705
2020/21,Scotland (Estimated),84.4,125335,105790,84.4,125335
2017/18,Aberdeen City,31.7,2965,940,77.1,121735
2018/19,Aberdeen City,36.2,2845,1030,81.3,126530
2019/20,Aberdeen City,36.2,2845,1030,81.5,121705
2020/21,Aberdeen City,36.2,2845,1030,84.4,125335
2017/18,Aberdeenshire,74.5,6000,4470,77.1,121735
2018/19,Aberdeenshire,75.2,5960,4480,81.3,126530
2019/20,Aberdeenshire,69.5,5670,3940,81.5,121705
2020/21,Aberdeenshire,69.5,5670,3940,84.4,125335
2017/18,Angus,90.6,2825,2560,77.1,121735
2018/19,Angus,91.1,2350,2140,81.3,126530
2019/20,Angus,92.1,2845,2620,81.5,121705
2020/21,Angus,89.3,2760,2465,84.4,125335
2017/18,Argyll and Bute,100,1645,1645,77.1,121735
2018/19,Argyll and Bute,100,2120,2120,81.3,126530
2019/20,Argyll and Bute,100,2160,2160,81.5,121705
2020/21,Argyll and Bute,99.6,2250,2240,84.4,125335
2017/18,City of Edinburgh,95.5,5595,5345,77.1,121735
2018/19,City of Edinburgh,96.7,6245,6040,81.3,126530
2019/20,City of Edinburgh,96.2,6665,6415,81.5,121705
2020/21,City of Edinburgh,100,8745,8745,84.4,125335
2017/18,Clackmannanshire,99.6,2575,2565,77.1,121735
2018/19,Clackmannanshire,99.6,2540,2530,81.3,126530
2019/20,Clackmannanshire,99.8,2570,2565,81.5,121705
2020/21,Clackmannanshire,99.8,2535,2530,84.4,125335
2017/18,Comhairle nan Eilean Siar,95.2,210,200,77.1,121735
2018/19,Comhairle nan Eilean Siar,99.2,620,615,81.3,126530
2019/20,Comhairle nan Eilean Siar,90.9,110,100,81.5,121705
2020/21,Comhairle nan Eilean Siar,100,680,680,84.4,125335
2017/18,Dumfries and Galloway,99.9,7035,7030,77.1,121735
2018/19,Dumfries and Galloway,99.9,6990,6985,81.3,126530
2019/20,Dumfries and Galloway,99.9,7225,7220,81.5,121705
2020/21,Dumfries and Galloway,99.6,7050,7025,84.4,125335
2017/18,Dundee City,76.2,9285,7075,77.1,121735
2018/19,Dundee City,78.8,9725,7665,81.3,126530
2019/20,Dundee City,90.8,3415,3100,81.5,121705
2020/21,Dundee City,95.9,3315,3180,84.4,125335
2017/18,East Ayrshire,67.5,2525,1705,77.1,121735
2018/19,East Ayrshire,79.1,2605,2060,81.3,126530
2019/20,East Ayrshire,81.7,2320,1895,81.5,121705
2020/21,East Ayrshire,100,3155,3155,84.4,125335
2017/18,East Dunbartonshire,79.3,2345,1860,77.1,121735
2018/19,East Dunbartonshire,87.9,2235,1965,81.3,126530
2019/20,East Dunbartonshire,91,2290,2085,81.5,121705
2020/21,East Dunbartonshire,94.4,2410,2275,84.4,125335
2017/18,East Lothian,70.3,1315,925,77.1,121735
2018/19,East Lothian,76,1315,1000,81.3,126530
2019/20,East Lothian,75.8,1320,1000,81.5,121705
2020/21,East Lothian,75.8,1320,1000,84.4,125335
2017/18,East Renfrewshire,53.4,1920,1025,77.1,121735
2018/19,East Renfrewshire,63.7,1655,1055,81.3,126530
2019/20,East Renfrewshire,65.3,1785,1165,81.5,121705
2020/21,East Renfrewshire,62.8,1840,1155,84.4,125335
2017/18,Falkirk,97.2,4140,4025,77.1,121735
2018/19,Falkirk,96.5,4445,4290,81.3,126530
2019/20,Falkirk,97.2,4620,4490,81.5,121705
2020/21,Falkirk,100,4455,4455,84.4,125335
2017/18,Fife,58.6,7835,4595,77.1,121735
2018/19,Fife,96.9,9720,9415,81.3,126530
2019/20,Fife,93.5,9550,8925,81.5,121705
2020/21,Fife,99.9,9430,9420,84.4,125335
2017/18,Glasgow City,40.9,9010,3685,77.1,121735
2018/19,Glasgow City,41.4,9320,3860,81.3,126530
2019/20,Glasgow City,41.7,9500,3965,81.5,121705
2020/21,Glasgow City,44.8,9220,4130,84.4,125335
2017/18,Highland,99.9,8300,8290,77.1,121735
2018/19,Highland,100,7945,7945,81.3,126530
2019/20,Highland,100,8195,8195,81.5,121705
2020/21,Highland,100,8140,8140,84.4,125335
2017/18,Inverclyde,100,2515,2515,77.1,121735
2018/19,Inverclyde,100,2490,2490,81.3,126530
2019/20,Inverclyde,100,2540,2540,81.5,121705
2020/21,Inverclyde,100,2540,2540,84.4,125335
2017/18,Midlothian,98.6,2465,2430,77.1,121735
2018/19,Midlothian,97.9,2145,2100,81.3,126530
2019/20,Midlothian,99.8,2885,2880,81.5,121705
2020/21,Midlothian,100,3480,3480,84.4,125335
2017/18,Moray,69.9,1725,1205,77.1,121735
2018/19,Moray,61,1665,1015,81.3,126530
2019/20,Moray,66.8,1505,1005,81.5,121705
2020/21,Moray,99.2,1780,1765,84.4,125335
2017/18,North Ayrshire,100,7130,7130,77.1,121735
2018/19,North Ayrshire,100,7275,7275,81.3,126530
2019/20,North Ayrshire,100,7210,7210,81.5,121705
2020/21,North Ayrshire,100,7010,7010,84.4,125335
2017/18,North Lanarkshire,23.7,5315,1260,77.1,121735
2018/19,North Lanarkshire,26.2,5310,1390,81.3,126530
2019/20,North Lanarkshire,27.6,5485,1515,81.5,121705
2020/21,North Lanarkshire,28.9,5250,1515,84.4,125335
2017/18,Orkney Islands,92,125,115,77.1,121735
2018/19,Orkney Islands,92,125,115,81.3,126530
2019/20,Orkney Islands,100,125,125,81.5,121705
2020/21,Orkney Islands,100,125,125,84.4,125335
2017/18,Perth and Kinross,99.9,4650,4645,77.1,121735
2018/19,Perth and Kinross,99.9,4905,4900,81.3,126530
2019/20,Perth and Kinross,100,5350,5350,81.5,121705
2020/21,Perth and Kinross,98.4,5495,5405,84.4,125335
2017/18,Renfrewshire,91.8,4010,3680,77.1,121735
2018/19,Renfrewshire,92.6,3770,3490,81.3,126530
2019/20,Renfrewshire,89.7,3870,3470,81.5,121705
2020/21,Renfrewshire,96,3985,3825,84.4,125335
2017/18,Scottish Borders,97.7,2415,2360,77.1,121735
2018/19,Scottish Borders,97.7,2660,2600,81.3,126530
2019/20,Scottish Borders,99.2,2995,2970,81.5,121705
2020/21,Scottish Borders,99.8,3010,3005,84.4,125335
2017/18,Shetland Islands,13,345,45,77.1,121735
2018/19,Shetland Islands,19,315,60,81.3,126530
2019/20,Shetland Islands,19,395,75,81.5,121705
2020/21,Shetland Islands,24.7,465,115,84.4,125335
2017/18,South Ayrshire,96.4,3235,3120,77.1,121735
2018/19,South Ayrshire,99.9,4060,4055,81.3,126530
2019/20,South Ayrshire,99.9,4060,4055,81.5,121705
2020/21,South Ayrshire,99.9,4060,4055,84.4,125335
2017/18,South Lanarkshire,50.9,5065,2580,77.1,121735
2018/19,South Lanarkshire,39.7,4885,1940,81.3,126530
2019/20,South Lanarkshire,31.6,4220,1335,81.5,121705
2020/21,South Lanarkshire,41.9,4495,1885,84.4,125335
2017/18,Stirling,93,2065,1920,77.1,121735
2018/19,Stirling,89.8,2100,1885,81.3,126530
2019/20,Stirling,92.4,2110,1950,81.5,121705
2020/21,Stirling,94.6,2125,2010,84.4,125335
2017/18,West Dunbartonshire,9.7,1290,125,77.1,121735
2018/19,West Dunbartonshire,65.9,2420,1595,81.3,126530
2019/20,West Dunbartonshire,59.7,2330,1390,81.5,121705
2020/21,West Dunbartonshire,44.8,1910,855,84.4,125335
2017/18,West Lothian,73.3,3855,2825,77.1,121735
2018/19,West Lothian,73.9,3775,2790,81.3,126530
2019/20,West Lothian,70.4,3535,2490,81.5,121705
2020/21,West Lothian,69.7,3780,2635,84.4,125335
