financial_year,sending_location,age_group,option_type,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Any SDS,89425,17.32035638194848
2017/18,Scotland (All Areas Submitted),0-17 years,Any SDS,1630,1.6711469809653283
2017/18,Scotland (All Areas Submitted),18-64 years,Any SDS,21825,6.769832818474494
2017/18,Scotland (All Areas Submitted),65-74 years,Any SDS,11680,21.781576292395282
2017/18,Scotland (All Areas Submitted),75-84 years,Any SDS,23850,76.64694520948558
2017/18,Scotland (All Areas Submitted),85+ years,Any SDS,26725,229.67317228280953
2017/18,Scotland (All Areas Submitted),Unknown,Any SDS,35,NA
2017/18,Scotland (All Areas Submitted),All Ages,Option 1,8535,1.653108657757118
2017/18,Scotland (All Areas Submitted),0-17 years,Option 1,1025,1.0508746352696081
2017/18,Scotland (All Areas Submitted),18-64 years,Option 1,3740,1.1600996444945983
2017/18,Scotland (All Areas Submitted),65-74 years,Option 1,790,1.4732401773109822
2017/18,Scotland (All Areas Submitted),75-84 years,Option 1,1035,3.326188188336167
2017/18,Scotland (All Areas Submitted),85+ years,Option 1,1295,11.129158394994885
2017/18,Scotland (All Areas Submitted),Unknown,Option 1,5,NA
2017/18,Scotland (All Areas Submitted),All Ages,Option 2,7425,1.4381173736199884
2017/18,Scotland (All Areas Submitted),0-17 years,Option 2,180,0.18454383838880925
2017/18,Scotland (All Areas Submitted),18-64 years,Option 2,2335,0.7242868101323228
2017/18,Scotland (All Areas Submitted),65-74 years,Option 2,725,1.3520242133550153
2017/18,Scotland (All Areas Submitted),75-84 years,Option 2,1255,4.03320403513226
2017/18,Scotland (All Areas Submitted),85+ years,Option 2,1375,11.816673971519666
2017/18,Scotland (All Areas Submitted),Unknown,Option 2,5,NA
2017/18,Scotland (All Areas Submitted),All Ages,Option 3,77775,15.063916327716445
2017/18,Scotland (All Areas Submitted),0-17 years,Option 3,615,0.630524781161765
2017/18,Scotland (All Areas Submitted),18-64 years,Option 3,17385,5.392602224475558
2017/18,Scotland (All Areas Submitted),65-74 years,Option 3,10655,19.87009378385888
2017/18,Scotland (All Areas Submitted),75-84 years,Option 3,22445,72.13168491517416
2017/18,Scotland (All Areas Submitted),85+ years,Option 3,25050,215.27831489932194
2017/18,Scotland (All Areas Submitted),Unknown,Option 3,30,NA
2017/18,Scotland (All Areas Submitted),All Ages,Option 4,4190,0.811543676157273
2017/18,Scotland (All Areas Submitted),0-17 years,Option 4,185,0.18967005612183171
2017/18,Scotland (All Areas Submitted),18-64 years,Option 4,1610,0.4994011838599741
2017/18,Scotland (All Areas Submitted),65-74 years,Option 4,505,0.9417547968886659
2017/18,Scotland (All Areas Submitted),75-84 years,Option 4,890,2.8602004711296507
2017/18,Scotland (All Areas Submitted),85+ years,Option 4,995,8.55097498302696
2017/18,Scotland (All Areas Submitted),Unknown,Option 4,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Any SDS,102785,18.978343436283097
2018/19,Scotland (All Areas Submitted),0-17 years,Any SDS,1690,1.6490861720709205
2018/19,Scotland (All Areas Submitted),18-64 years,Any SDS,26880,7.975740456112657
2018/19,Scotland (All Areas Submitted),65-74 years,Any SDS,13900,24.450780929798114
2018/19,Scotland (All Areas Submitted),75-84 years,Any SDS,28305,85.87655984053447
2018/19,Scotland (All Areas Submitted),85+ years,Any SDS,31940,260.1189021907321
2018/19,Scotland (All Areas Submitted),Unknown,Any SDS,70,NA
2018/19,Scotland (All Areas Submitted),All Ages,Option 1,9210,1.700545245397357
2018/19,Scotland (All Areas Submitted),0-17 years,Option 1,1040,1.014822259735951
2018/19,Scotland (All Areas Submitted),18-64 years,Option 1,4515,1.339675154737673
2018/19,Scotland (All Areas Submitted),65-74 years,Option 1,905,1.5919393339185104
2018/19,Scotland (All Areas Submitted),75-84 years,Option 1,1220,3.70144508056711
2018/19,Scotland (All Areas Submitted),85+ years,Option 1,1520,12.378858213209545
2018/19,Scotland (All Areas Submitted),Unknown,Option 1,10,NA
2018/19,Scotland (All Areas Submitted),All Ages,Option 2,6995,1.2915650370851806
2018/19,Scotland (All Areas Submitted),0-17 years,Option 2,205,0.20003708004410573
2018/19,Scotland (All Areas Submitted),18-64 years,Option 2,3200,0.949492911441983
2018/19,Scotland (All Areas Submitted),65-74 years,Option 2,910,1.6007345788572866
2018/19,Scotland (All Areas Submitted),75-84 years,Option 2,1275,3.8683135063303813
2018/19,Scotland (All Areas Submitted),85+ years,Option 2,1400,11.401579933219319
2018/19,Scotland (All Areas Submitted),Unknown,Option 2,5,NA
2018/19,Scotland (All Areas Submitted),All Ages,Option 3,91560,16.905746218087078
2018/19,Scotland (All Areas Submitted),0-17 years,Option 3,595,0.5805954274450874
2018/19,Scotland (All Areas Submitted),18-64 years,Option 3,21360,6.337865183875237
2018/19,Scotland (All Areas Submitted),65-74 years,Option 3,12665,22.278355429920367
2018/19,Scotland (All Areas Submitted),75-84 years,Option 3,26755,81.17390420538773
2018/19,Scotland (All Areas Submitted),85+ years,Option 3,30130,245.37828813421288
2018/19,Scotland (All Areas Submitted),Unknown,Option 3,55,NA
2018/19,Scotland (All Areas Submitted),All Ages,Option 4,5005,0.9241290937257082
2018/19,Scotland (All Areas Submitted),0-17 years,Option 4,145,0.14148964198241623
2018/19,Scotland (All Areas Submitted),18-64 years,Option 4,2160,0.6409077152233386
2018/19,Scotland (All Areas Submitted),65-74 years,Option 4,595,1.0466341477143797
2018/19,Scotland (All Areas Submitted),75-84 years,Option 4,970,2.942952236188604
2018/19,Scotland (All Areas Submitted),85+ years,Option 4,1130,9.202703803241306
2018/19,Scotland (All Areas Submitted),Unknown,Option 4,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Any SDS,94160,18.38337218519256
2019/20,Scotland (All Areas Submitted),0-17 years,Any SDS,1625,1.6745671887881286
2019/20,Scotland (All Areas Submitted),18-64 years,Any SDS,24580,7.748135782139317
2019/20,Scotland (All Areas Submitted),65-74 years,Any SDS,12640,23.28001399747677
2019/20,Scotland (All Areas Submitted),75-84 years,Any SDS,25845,81.36825866574316
2019/20,Scotland (All Areas Submitted),85+ years,Any SDS,29420,247.937366739986
2019/20,Scotland (All Areas Submitted),Unknown,Any SDS,45,NA
2019/20,Scotland (All Areas Submitted),All Ages,Option 1,9020,1.7610239710114368
2019/20,Scotland (All Areas Submitted),0-17 years,Option 1,1035,1.0665704863973617
2019/20,Scotland (All Areas Submitted),18-64 years,Option 1,4290,1.3522987186890836
2019/20,Scotland (All Areas Submitted),65-74 years,Option 1,910,1.6760136659575842
2019/20,Scotland (All Areas Submitted),75-84 years,Option 1,1190,3.746497497087806
2019/20,Scotland (All Areas Submitted),85+ years,Option 1,1585,13.35760456433983
2019/20,Scotland (All Areas Submitted),Unknown,Option 1,10,NA
2019/20,Scotland (All Areas Submitted),All Ages,Option 2,8890,1.7356433594558398
2019/20,Scotland (All Areas Submitted),0-17 years,Option 2,215,0.221558120362737
2019/20,Scotland (All Areas Submitted),18-64 years,Option 2,4505,1.4200712651968115
2019/20,Scotland (All Areas Submitted),65-74 years,Option 2,1090,2.0075328526305127
2019/20,Scotland (All Areas Submitted),75-84 years,Option 2,1515,4.7697005950319555
2019/20,Scotland (All Areas Submitted),85+ years,Option 2,1560,13.146916795186206
2019/20,Scotland (All Areas Submitted),Unknown,Option 2,5,NA
2019/20,Scotland (All Areas Submitted),All Ages,Option 3,81535,15.91852433219706
2019/20,Scotland (All Areas Submitted),0-17 years,Option 3,490,0.5049464138499588
2019/20,Scotland (All Areas Submitted),18-64 years,Option 3,18045,5.688165589450936
2019/20,Scotland (All Areas Submitted),65-74 years,Option 3,11235,20.69232256816863
2019/20,Scotland (All Areas Submitted),75-84 years,Option 3,24185,76.1420520731669
2019/20,Scotland (All Areas Submitted),85+ years,Option 3,27550,232.17792160729485
2019/20,Scotland (All Areas Submitted),Unknown,Option 3,35,NA
2019/20,Scotland (All Areas Submitted),All Ages,Option 4,5335,1.0415812511470084
2019/20,Scotland (All Areas Submitted),0-17 years,Option 4,115,0.11850783182192909
2019/20,Scotland (All Areas Submitted),18-64 years,Option 4,2255,0.7108236854647746
2019/20,Scotland (All Areas Submitted),65-74 years,Option 4,610,1.1234816881693694
2019/20,Scotland (All Areas Submitted),75-84 years,Option 4,1070,3.368699430154582
2019/20,Scotland (All Areas Submitted),85+ years,Option 4,1285,10.829351334496328
2019/20,Scotland (All Areas Submitted),Unknown,Option 4,0,0
2020/21,Scotland (All Areas Submitted),All Ages,Any SDS,93095,19.991796695485604
2020/21,Scotland (All Areas Submitted),0-17 years,Any SDS,1585,1.8145599835144077
2020/21,Scotland (All Areas Submitted),18-64 years,Any SDS,24835,8.596721511222988
2020/21,Scotland (All Areas Submitted),65-74 years,Any SDS,12650,25.505009264467795
2020/21,Scotland (All Areas Submitted),75-84 years,Any SDS,24920,86.04199899180321
2020/21,Scotland (All Areas Submitted),85+ years,Any SDS,29000,266.8605239668357
2020/21,Scotland (All Areas Submitted),Unknown,Any SDS,100,NA
2020/21,Scotland (All Areas Submitted),All Ages,Option 1,8450,1.8146053179746857
2020/21,Scotland (All Areas Submitted),0-17 years,Option 1,1095,1.2535919129011208
2020/21,Scotland (All Areas Submitted),18-64 years,Option 1,3875,1.3413447093210822
2020/21,Scotland (All Areas Submitted),65-74 years,Option 1,850,1.7137753260709583
2020/21,Scotland (All Areas Submitted),75-84 years,Option 1,1140,3.9361107082927633
2020/21,Scotland (All Areas Submitted),85+ years,Option 1,1470,13.527067939008568
2020/21,Scotland (All Areas Submitted),Unknown,Option 1,25,NA
2020/21,Scotland (All Areas Submitted),All Ages,Option 2,8225,1.7662874248925196
2020/21,Scotland (All Areas Submitted),0-17 years,Option 2,220,0.25186321537739415
2020/21,Scotland (All Areas Submitted),18-64 years,Option 2,4340,1.5023060744396122
2020/21,Scotland (All Areas Submitted),65-74 years,Option 2,1060,2.137178641923783
2020/21,Scotland (All Areas Submitted),75-84 years,Option 2,1270,4.384965438185799
2020/21,Scotland (All Areas Submitted),85+ years,Option 2,1335,12.28478618950778
2020/21,Scotland (All Areas Submitted),Unknown,Option 2,5,NA
2020/21,Scotland (All Areas Submitted),All Ages,Option 3,81075,17.41054747394055
2020/21,Scotland (All Areas Submitted),0-17 years,Option 3,380,0.43503646292458986
2020/21,Scotland (All Areas Submitted),18-64 years,Option 3,18640,6.452300743676122
2020/21,Scotland (All Areas Submitted),65-74 years,Option 3,11315,22.813373899403405
2020/21,Scotland (All Areas Submitted),75-84 years,Option 3,23405,80.81111502420363
2020/21,Scotland (All Areas Submitted),85+ years,Option 3,27260,250.84889252882553
2020/21,Scotland (All Areas Submitted),Unknown,Option 3,75,NA
2020/21,Scotland (All Areas Submitted),All Ages,Option 4,4770,1.0243393333419233
2020/21,Scotland (All Areas Submitted),0-17 years,Option 4,100,0.11448327971699733
2020/21,Scotland (All Areas Submitted),18-64 years,Option 4,2040,0.7061530856812923
2020/21,Scotland (All Areas Submitted),65-74 years,Option 4,595,1.1996427282496707
