financial_year,sending_location,age_group,sds_option,nclients,percentage
2017/18,Scotland (All Areas Submitted),All Ages,Option 1 Only,5645,7
2017/18,Scotland (All Areas Submitted),0-17 years,Option 1 Only,870,54
2017/18,Scotland (All Areas Submitted),18-64 years,Option 1 Only,2685,12
2017/18,Scotland (All Areas Submitted),65-74 years,Option 1 Only,550,5
2017/18,Scotland (All Areas Submitted),75-84 years,Option 1 Only,670,3
2017/18,Scotland (All Areas Submitted),85+ years,Option 1 Only,870,3
2017/18,Scotland (All Areas Submitted),Unknown,Option 1 Only,5,12
2017/18,Scotland (All Areas Submitted),All Ages,Option 2 Only,3680,4
2017/18,Scotland (All Areas Submitted),0-17 years,Option 2 Only,115,7
2017/18,Scotland (All Areas Submitted),18-64 years,Option 2 Only,1640,8
2017/18,Scotland (All Areas Submitted),65-74 years,Option 2 Only,445,4
2017/18,Scotland (All Areas Submitted),75-84 years,Option 2 Only,705,3
2017/18,Scotland (All Areas Submitted),85+ years,Option 2 Only,770,3
2017/18,Scotland (All Areas Submitted),Unknown,Option 2 Only,5,12
2017/18,Scotland (All Areas Submitted),All Ages,Option 3 Only,72235,84
2017/18,Scotland (All Areas Submitted),0-17 years,Option 3 Only,455,28
2017/18,Scotland (All Areas Submitted),18-64 years,Option 3 Only,15890,73
2017/18,Scotland (All Areas Submitted),65-74 years,Option 3 Only,10180,87
2017/18,Scotland (All Areas Submitted),75-84 years,Option 3 Only,21585,91
2017/18,Scotland (All Areas Submitted),85+ years,Option 3 Only,24095,90
2017/18,Scotland (All Areas Submitted),Unknown,Option 3 Only,30,75
2017/18,Scotland (All Areas Submitted),All Ages,Option 4 Only,4190,5
2017/18,Scotland (All Areas Submitted),0-17 years,Option 4 Only,185,11
2017/18,Scotland (All Areas Submitted),18-64 years,Option 4 Only,1610,7
2017/18,Scotland (All Areas Submitted),65-74 years,Option 4 Only,505,4
2017/18,Scotland (All Areas Submitted),75-84 years,Option 4 Only,890,4
2017/18,Scotland (All Areas Submitted),85+ years,Option 4 Only,995,4
2017/18,Scotland (All Areas Submitted),Unknown,Option 4 Only,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Option 1 Only,6485,6
2018/19,Scotland (All Areas Submitted),0-17 years,Option 1 Only,915,54
2018/19,Scotland (All Areas Submitted),18-64 years,Option 1 Only,3245,12
2018/19,Scotland (All Areas Submitted),65-74 years,Option 1 Only,620,4
2018/19,Scotland (All Areas Submitted),75-84 years,Option 1 Only,745,3
2018/19,Scotland (All Areas Submitted),85+ years,Option 1 Only,955,3
2018/19,Scotland (All Areas Submitted),Unknown,Option 1 Only,10,14
2018/19,Scotland (All Areas Submitted),All Ages,Option 2 Only,4435,4
2018/19,Scotland (All Areas Submitted),0-17 years,Option 2 Only,160,9
2018/19,Scotland (All Areas Submitted),18-64 years,Option 2 Only,2135,8
2018/19,Scotland (All Areas Submitted),65-74 years,Option 2 Only,575,4
2018/19,Scotland (All Areas Submitted),75-84 years,Option 2 Only,755,3
2018/19,Scotland (All Areas Submitted),85+ years,Option 2 Only,810,3
2018/19,Scotland (All Areas Submitted),Unknown,Option 2 Only,5,7
2018/19,Scotland (All Areas Submitted),All Ages,Option 3 Only,86860,85
2018/19,Scotland (All Areas Submitted),0-17 years,Option 3 Only,475,28
2018/19,Scotland (All Areas Submitted),18-64 years,Option 3 Only,19340,72
2018/19,Scotland (All Areas Submitted),65-74 years,Option 3 Only,12110,87
2018/19,Scotland (All Areas Submitted),75-84 years,Option 3 Only,25835,91
2018/19,Scotland (All Areas Submitted),85+ years,Option 3 Only,29050,91
2018/19,Scotland (All Areas Submitted),Unknown,Option 3 Only,55,79
2018/19,Scotland (All Areas Submitted),All Ages,Option 4 Only,5005,5
2018/19,Scotland (All Areas Submitted),0-17 years,Option 4 Only,145,9
2018/19,Scotland (All Areas Submitted),18-64 years,Option 4 Only,2160,8
2018/19,Scotland (All Areas Submitted),65-74 years,Option 4 Only,595,4
2018/19,Scotland (All Areas Submitted),75-84 years,Option 4 Only,970,3
2018/19,Scotland (All Areas Submitted),85+ years,Option 4 Only,1130,4
2018/19,Scotland (All Areas Submitted),Unknown,Option 4 Only,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Option 1 Only,6300,7
2019/20,Scotland (All Areas Submitted),0-17 years,Option 1 Only,930,57
2019/20,Scotland (All Areas Submitted),18-64 years,Option 1 Only,3010,12
2019/20,Scotland (All Areas Submitted),65-74 years,Option 1 Only,625,5
2019/20,Scotland (All Areas Submitted),75-84 years,Option 1 Only,765,3
2019/20,Scotland (All Areas Submitted),85+ years,Option 1 Only,960,3
2019/20,Scotland (All Areas Submitted),Unknown,Option 1 Only,10,22
2019/20,Scotland (All Areas Submitted),All Ages,Option 2 Only,5890,6
2019/20,Scotland (All Areas Submitted),0-17 years,Option 2 Only,170,10
2019/20,Scotland (All Areas Submitted),18-64 years,Option 2 Only,3285,13
2019/20,Scotland (All Areas Submitted),65-74 years,Option 2 Only,735,6
2019/20,Scotland (All Areas Submitted),75-84 years,Option 2 Only,850,3
2019/20,Scotland (All Areas Submitted),85+ years,Option 2 Only,845,3
2019/20,Scotland (All Areas Submitted),Unknown,Option 2 Only,5,11
2019/20,Scotland (All Areas Submitted),All Ages,Option 3 Only,76635,81
2019/20,Scotland (All Areas Submitted),0-17 years,Option 3 Only,415,25
2019/20,Scotland (All Areas Submitted),18-64 years,Option 3 Only,16025,65
2019/20,Scotland (All Areas Submitted),65-74 years,Option 3 Only,10675,84
2019/20,Scotland (All Areas Submitted),75-84 years,Option 3 Only,23160,90
2019/20,Scotland (All Areas Submitted),85+ years,Option 3 Only,26330,89
2019/20,Scotland (All Areas Submitted),Unknown,Option 3 Only,30,67
2019/20,Scotland (All Areas Submitted),All Ages,Option 4 Only,5335,6
2019/20,Scotland (All Areas Submitted),0-17 years,Option 4 Only,115,7
2019/20,Scotland (All Areas Submitted),18-64 years,Option 4 Only,2255,9
2019/20,Scotland (All Areas Submitted),65-74 years,Option 4 Only,610,5
2019/20,Scotland (All Areas Submitted),75-84 years,Option 4 Only,1070,4
2019/20,Scotland (All Areas Submitted),85+ years,Option 4 Only,1285,4
2019/20,Scotland (All Areas Submitted),Unknown,Option 4 Only,0,0
2020/21,Scotland (All Areas Submitted),All Ages,Option 1 Only,6045,6
2020/21,Scotland (All Areas Submitted),0-17 years,Option 1 Only,1000,63
2020/21,Scotland (All Areas Submitted),18-64 years,Option 1 Only,2740,11
2020/21,Scotland (All Areas Submitted),65-74 years,Option 1 Only,600,5
2020/21,Scotland (All Areas Submitted),75-84 years,Option 1 Only,740,3
2020/21,Scotland (All Areas Submitted),85+ years,Option 1 Only,940,3
2020/21,Scotland (All Areas Submitted),Unknown,Option 1 Only,20,20
