financial_year,sending_location,age_group,sds_support_need,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Domestic Care,2895,32.37349734414314
2017/18,Scotland (All Areas Submitted),0-17 years,Domestic Care,55,33.74233128834356
2017/18,Scotland (All Areas Submitted),18-64 years,Domestic Care,1645,75.37227949599084
2017/18,Scotland (All Areas Submitted),65-74 years,Domestic Care,375,32.10616438356165
2017/18,Scotland (All Areas Submitted),75-84 years,Domestic Care,380,15.932914046121592
2017/18,Scotland (All Areas Submitted),85+ years,Domestic Care,445,16.651075771749298
2017/18,Scotland (All Areas Submitted),Unknown,Domestic Care,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Equipment and Temporary Adaptations,15200,169.9748392507688
2017/18,Scotland (All Areas Submitted),0-17 years,Equipment and Temporary Adaptations,65,39.87730061349693
2017/18,Scotland (All Areas Submitted),18-64 years,Equipment and Temporary Adaptations,3000,137.45704467353954
2017/18,Scotland (All Areas Submitted),65-74 years,Equipment and Temporary Adaptations,2295,196.48972602739727
2017/18,Scotland (All Areas Submitted),75-84 years,Equipment and Temporary Adaptations,4850,203.35429769392033
2017/18,Scotland (All Areas Submitted),85+ years,Equipment and Temporary Adaptations,4995,186.90364826941067
2017/18,Scotland (All Areas Submitted),Unknown,Equipment and Temporary Adaptations,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Health Care,1535,17.165222253284877
2017/18,Scotland (All Areas Submitted),0-17 years,Health Care,75,46.012269938650306
2017/18,Scotland (All Areas Submitted),18-64 years,Health Care,900,41.23711340206186
2017/18,Scotland (All Areas Submitted),65-74 years,Health Care,125,10.702054794520548
2017/18,Scotland (All Areas Submitted),75-84 years,Health Care,200,8.385744234800839
2017/18,Scotland (All Areas Submitted),85+ years,Health Care,240,8.980355472404117
2017/18,Scotland (All Areas Submitted),Unknown,Health Care,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Housing Support,7560,84.54011741682974
2017/18,Scotland (All Areas Submitted),0-17 years,Housing Support,110,67.48466257668711
2017/18,Scotland (All Areas Submitted),18-64 years,Housing Support,4175,191.2943871706758
2017/18,Scotland (All Areas Submitted),65-74 years,Housing Support,900,77.05479452054794
2017/18,Scotland (All Areas Submitted),75-84 years,Housing Support,1160,48.63731656184486
2017/18,Scotland (All Areas Submitted),85+ years,Housing Support,1215,45.46304957904584
2017/18,Scotland (All Areas Submitted),Unknown,Housing Support,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Meals,5410,60.497623707017055
2017/18,Scotland (All Areas Submitted),0-17 years,Meals,40,24.539877300613497
2017/18,Scotland (All Areas Submitted),18-64 years,Meals,1565,71.70675830469645
2017/18,Scotland (All Areas Submitted),65-74 years,Meals,695,59.50342465753425
2017/18,Scotland (All Areas Submitted),75-84 years,Meals,1280,53.668763102725364
2017/18,Scotland (All Areas Submitted),85+ years,Meals,1825,68.28811973807298
2017/18,Scotland (All Areas Submitted),Unknown,Meals,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Personal Care,34155,381.94017332960584
2017/18,Scotland (All Areas Submitted),0-17 years,Personal Care,240,147.23926380368098
2017/18,Scotland (All Areas Submitted),18-64 years,Personal Care,6605,302.6345933562428
2017/18,Scotland (All Areas Submitted),65-74 years,Personal Care,4885,418.236301369863
2017/18,Scotland (All Areas Submitted),75-84 years,Personal Care,10330,433.1236897274633
2017/18,Scotland (All Areas Submitted),85+ years,Personal Care,12075,451.8241347053321
2017/18,Scotland (All Areas Submitted),Unknown,Personal Care,15,428.57142857142856
2017/18,Scotland (All Areas Submitted),All Ages,Respite,6795,75.98546267822196
2017/18,Scotland (All Areas Submitted),0-17 years,Respite,630,386.50306748466255
2017/18,Scotland (All Areas Submitted),18-64 years,Respite,2025,92.78350515463917
2017/18,Scotland (All Areas Submitted),65-74 years,Respite,715,61.215753424657535
2017/18,Scotland (All Areas Submitted),75-84 years,Respite,1620,67.9245283018868
2017/18,Scotland (All Areas Submitted),85+ years,Respite,1800,67.35266604303088
2017/18,Scotland (All Areas Submitted),Unknown,Respite,5,142.85714285714286
2017/18,Scotland (All Areas Submitted),All Ages,Social Educational Recreational,8555,95.66675985462678
2017/18,Scotland (All Areas Submitted),0-17 years,Social Educational Recreational,440,269.93865030674846
2017/18,Scotland (All Areas Submitted),18-64 years,Social Educational Recreational,4350,199.3127147766323
2017/18,Scotland (All Areas Submitted),65-74 years,Social Educational Recreational,815,69.77739726027397
2017/18,Scotland (All Areas Submitted),75-84 years,Social Educational Recreational,1435,60.16771488469602
2017/18,Scotland (All Areas Submitted),85+ years,Social Educational Recreational,1515,56.688493919550986
2017/18,Scotland (All Areas Submitted),Unknown,Social Educational Recreational,5,142.85714285714286
