financial_year,sending_location,option_type,nclient,rate
2014/15,Scotland (Estimated),Option 1,6450,1.2
2014/15,Scotland (Estimated),Option 2,3435,0.6
2014/15,Scotland (Estimated),Option 3,26330,4.9
2014/15,Scotland (Estimated),Option 4,1055,0.2
2014/15,Aberdeen City,Option 1,310,1.4
2014/15,Aberdeen City,Option 2,0,0
2014/15,Aberdeen City,Option 3,0,0
2014/15,Aberdeen City,Option 4,0,0
2014/15,Aberdeenshire,Option 1,270,1
2014/15,Aberdeenshire,Option 2,5,0
2014/15,Aberdeenshire,Option 3,890,3.4
2014/15,Aberdeenshire,Option 4,70,0.3
2014/15,Angus,Option 1,100,0.9
2014/15,Angus,Option 2,110,0.9
2014/15,Angus,Option 3,410,3.5
2014/15,Angus,Option 4,10,0.1
2014/15,Argyll and Bute,Option 1,130,1.5
2014/15,Argyll and Bute,Option 2,0,0
2014/15,Argyll and Bute,Option 3,865,9.9
2014/15,Argyll and Bute,Option 4,10,0.1
2014/15,City of Edinburgh,Option 1,1260,2.6
2014/15,City of Edinburgh,Option 2,25,0.1
2014/15,City of Edinburgh,Option 3,2645,5.4
2014/15,City of Edinburgh,Option 4,180,0.4
2014/15,Clackmannanshire,Option 1,50,1
2014/15,Clackmannanshire,Option 2,0,0
2014/15,Clackmannanshire,Option 3,0,0
2014/15,Clackmannanshire,Option 4,0,0
2014/15,Comhairle nan Eilean Siar,Option 1,90,3.3
2014/15,Comhairle nan Eilean Siar,Option 2,0,0
2014/15,Comhairle nan Eilean Siar,Option 3,0,0
2014/15,Comhairle nan Eilean Siar,Option 4,0,0
2014/15,Dumfries and Galloway,Option 1,310,2.1
2014/15,Dumfries and Galloway,Option 2,0,0
2014/15,Dumfries and Galloway,Option 3,1655,11
2014/15,Dumfries and Galloway,Option 4,70,0.5
2014/15,Dundee City,Option 1,50,0.3
2014/15,Dundee City,Option 2,10,0.1
2014/15,Dundee City,Option 3,5670,38.3
2014/15,Dundee City,Option 4,5,0
2014/15,East Ayrshire,Option 1,190,1.6
2014/15,East Ayrshire,Option 2,145,1.2
2014/15,East Ayrshire,Option 3,935,7.7
2014/15,East Ayrshire,Option 4,100,0.8
2014/15,East Dunbartonshire,Option 1,210,2
2014/15,East Dunbartonshire,Option 2,10,0.1
2014/15,East Dunbartonshire,Option 3,950,8.9
2014/15,East Dunbartonshire,Option 4,5,0
2014/15,East Lothian,Option 1,40,0.4
2014/15,East Lothian,Option 2,35,0.3
2014/15,East Lothian,Option 3,65,0.6
2014/15,East Lothian,Option 4,0,0
2014/15,East Renfrewshire,Option 1,230,2.5
2014/15,East Renfrewshire,Option 2,0,0
2014/15,East Renfrewshire,Option 3,0,0
2014/15,East Renfrewshire,Option 4,0,0
