financial_year,sending_location,age_group,sds_support_services,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Local Authority,33050,369.5834498182835
2017/18,Scotland (All Areas Submitted),0-17 years,Local Authority,280,171.7791411042945
2017/18,Scotland (All Areas Submitted),18-64 years,Local Authority,7600,348.22451317296674
2017/18,Scotland (All Areas Submitted),65-74 years,Local Authority,4835,413.9554794520548
2017/18,Scotland (All Areas Submitted),75-84 years,Local Authority,9730,407.9664570230608
2017/18,Scotland (All Areas Submitted),85+ years,Local Authority,10585,396.0710944808232
2017/18,Scotland (All Areas Submitted),Unknown,Local Authority,15,428.57142857142856
2017/18,Scotland (All Areas Submitted),All Ages,Personal Assistance Contract,3135,35.057310595471066
2017/18,Scotland (All Areas Submitted),0-17 years,Personal Assistance Contract,420,257.6687116564417
2017/18,Scotland (All Areas Submitted),18-64 years,Personal Assistance Contract,1570,71.93585337915235
2017/18,Scotland (All Areas Submitted),65-74 years,Personal Assistance Contract,315,26.96917808219178
2017/18,Scotland (All Areas Submitted),75-84 years,Personal Assistance Contract,395,16.561844863731654
2017/18,Scotland (All Areas Submitted),85+ years,Personal Assistance Contract,435,16.276894293732457
2017/18,Scotland (All Areas Submitted),Unknown,Personal Assistance Contract,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Private,27150,303.6063740564719
2017/18,Scotland (All Areas Submitted),0-17 years,Private,365,223.92638036809817
2017/18,Scotland (All Areas Submitted),18-64 years,Private,6170,282.70332187857963
2017/18,Scotland (All Areas Submitted),65-74 years,Private,3545,303.5102739726027
2017/18,Scotland (All Areas Submitted),75-84 years,Private,7630,319.916142557652
2017/18,Scotland (All Areas Submitted),85+ years,Private,9430,352.85313376987835
2017/18,Scotland (All Areas Submitted),Unknown,Private,5,142.85714285714286
2017/18,Scotland (All Areas Submitted),All Ages,Voluntary,6330,70.78557450377411
2017/18,Scotland (All Areas Submitted),0-17 years,Voluntary,120,73.61963190184049
2017/18,Scotland (All Areas Submitted),18-64 years,Voluntary,2675,122.56586483390606
2017/18,Scotland (All Areas Submitted),65-74 years,Voluntary,760,65.06849315068493
2017/18,Scotland (All Areas Submitted),75-84 years,Voluntary,1210,50.733752620545076
2017/18,Scotland (All Areas Submitted),85+ years,Voluntary,1560,58.37231057062675
2017/18,Scotland (All Areas Submitted),Unknown,Voluntary,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Other,600,6.709533128319821
2017/18,Scotland (All Areas Submitted),0-17 years,Other,35,21.472392638036812
2017/18,Scotland (All Areas Submitted),18-64 years,Other,320,14.662084765177548
2017/18,Scotland (All Areas Submitted),65-74 years,Other,60,5.136986301369863
2017/18,Scotland (All Areas Submitted),75-84 years,Other,85,3.5639412997903563
2017/18,Scotland (All Areas Submitted),85+ years,Other,105,3.9289055191768005
2017/18,Scotland (All Areas Submitted),Unknown,Other,0,0
2017/18,Scotland (All Areas Submitted),All Ages,Not Known,18500,206.8772714565278
2017/18,Scotland (All Areas Submitted),0-17 years,Not Known,455,279.1411042944785
2017/18,Scotland (All Areas Submitted),18-64 years,Not Known,4355,199.5418098510882
2017/18,Scotland (All Areas Submitted),65-74 years,Not Known,2335,199.91438356164383
2017/18,Scotland (All Areas Submitted),75-84 years,Not Known,5095,213.62683438155136
2017/18,Scotland (All Areas Submitted),85+ years,Not Known,6260,234.2376052385407
2017/18,Scotland (All Areas Submitted),Unknown,Not Known,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Local Authority,41255,401.37179549545164
2018/19,Scotland (All Areas Submitted),0-17 years,Local Authority,570,337.27810650887574
2018/19,Scotland (All Areas Submitted),18-64 years,Local Authority,9815,365.1413690476191
2018/19,Scotland (All Areas Submitted),65-74 years,Local Authority,5905,424.8201438848921
2018/19,Scotland (All Areas Submitted),75-84 years,Local Authority,12185,430.489312842254
2018/19,Scotland (All Areas Submitted),85+ years,Local Authority,12740,398.87288666249214
2018/19,Scotland (All Areas Submitted),Unknown,Local Authority,35,500
2018/19,Scotland (All Areas Submitted),All Ages,Personal Assistance Contract,3150,30.64649511115435
2018/19,Scotland (All Areas Submitted),0-17 years,Personal Assistance Contract,390,230.76923076923077
2018/19,Scotland (All Areas Submitted),18-64 years,Personal Assistance Contract,1655,61.56994047619048
2018/19,Scotland (All Areas Submitted),65-74 years,Personal Assistance Contract,315,22.66187050359712
2018/19,Scotland (All Areas Submitted),75-84 years,Personal Assistance Contract,385,13.601837131248896
2018/19,Scotland (All Areas Submitted),85+ years,Personal Assistance Contract,405,12.680025046963056
2018/19,Scotland (All Areas Submitted),Unknown,Personal Assistance Contract,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Private,31860,309.96740769567543
2018/19,Scotland (All Areas Submitted),0-17 years,Private,320,189.3491124260355
2018/19,Scotland (All Areas Submitted),18-64 years,Private,6780,252.23214285714286
2018/19,Scotland (All Areas Submitted),65-74 years,Private,4240,305.0359712230216
2018/19,Scotland (All Areas Submitted),75-84 years,Private,9325,329.4470941529765
