financial_year,sending_location,age_group,simd,measure,value
2017/18,Scotland (All Areas Submitted),All Ages,1 (Most Deprived),Number of People,23700
2017/18,Scotland (All Areas Submitted),All Ages,1 (Most Deprived),SIMD Quintile Proportion,21.7
2017/18,Scotland (All Areas Submitted),All Ages,2,Number of People,25205
2017/18,Scotland (All Areas Submitted),All Ages,2,SIMD Quintile Proportion,23.1
2017/18,Scotland (All Areas Submitted),All Ages,3,Number of People,22600
2017/18,Scotland (All Areas Submitted),All Ages,3,SIMD Quintile Proportion,20.7
2017/18,Scotland (All Areas Submitted),All Ages,4,Number of People,19615
2017/18,Scotland (All Areas Submitted),All Ages,4,SIMD Quintile Proportion,17.9
2017/18,Scotland (All Areas Submitted),All Ages,5 (Least Deprived),Number of People,16590
2017/18,Scotland (All Areas Submitted),All Ages,5 (Least Deprived),SIMD Quintile Proportion,15.2
2017/18,Scotland (All Areas Submitted),All Ages,Unknown,Number of People,1635
2017/18,Scotland (All Areas Submitted),All Ages,Unknown,SIMD Quintile Proportion,1.5
2017/18,Scotland (All Areas Submitted),0-17 years,1 (Most Deprived),Number of People,135
2017/18,Scotland (All Areas Submitted),0-17 years,1 (Most Deprived),SIMD Quintile Proportion,31.8
2017/18,Scotland (All Areas Submitted),0-17 years,2,Number of People,105
2017/18,Scotland (All Areas Submitted),0-17 years,2,SIMD Quintile Proportion,24.7
2017/18,Scotland (All Areas Submitted),0-17 years,3,Number of People,70
2017/18,Scotland (All Areas Submitted),0-17 years,3,SIMD Quintile Proportion,16.5
2017/18,Scotland (All Areas Submitted),0-17 years,4,Number of People,50
2017/18,Scotland (All Areas Submitted),0-17 years,4,SIMD Quintile Proportion,11.8
2017/18,Scotland (All Areas Submitted),0-17 years,5 (Least Deprived),Number of People,65
2017/18,Scotland (All Areas Submitted),0-17 years,5 (Least Deprived),SIMD Quintile Proportion,15.3
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown,Number of People,0
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown,SIMD Quintile Proportion,0
2017/18,Scotland (All Areas Submitted),18-64 years,1 (Most Deprived),Number of People,4740
2017/18,Scotland (All Areas Submitted),18-64 years,1 (Most Deprived),SIMD Quintile Proportion,32.4
2017/18,Scotland (All Areas Submitted),18-64 years,2,Number of People,4140
2017/18,Scotland (All Areas Submitted),18-64 years,2,SIMD Quintile Proportion,28.3
2017/18,Scotland (All Areas Submitted),18-64 years,3,Number of People,2705
2017/18,Scotland (All Areas Submitted),18-64 years,3,SIMD Quintile Proportion,18.5
2017/18,Scotland (All Areas Submitted),18-64 years,4,Number of People,1905
2017/18,Scotland (All Areas Submitted),18-64 years,4,SIMD Quintile Proportion,13
2017/18,Scotland (All Areas Submitted),18-64 years,5 (Least Deprived),Number of People,1065
2017/18,Scotland (All Areas Submitted),18-64 years,5 (Least Deprived),SIMD Quintile Proportion,7.3
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown,Number of People,85
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown,SIMD Quintile Proportion,0.6
2017/18,Scotland (All Areas Submitted),65-74 years,1 (Most Deprived),Number of People,4865
2017/18,Scotland (All Areas Submitted),65-74 years,1 (Most Deprived),SIMD Quintile Proportion,27.8
2017/18,Scotland (All Areas Submitted),65-74 years,2,Number of People,4590
2017/18,Scotland (All Areas Submitted),65-74 years,2,SIMD Quintile Proportion,26.3
2017/18,Scotland (All Areas Submitted),65-74 years,3,Number of People,3375
2017/18,Scotland (All Areas Submitted),65-74 years,3,SIMD Quintile Proportion,19.3
2017/18,Scotland (All Areas Submitted),65-74 years,4,Number of People,2650
2017/18,Scotland (All Areas Submitted),65-74 years,4,SIMD Quintile Proportion,15.2
2017/18,Scotland (All Areas Submitted),65-74 years,5 (Least Deprived),Number of People,1820
2017/18,Scotland (All Areas Submitted),65-74 years,5 (Least Deprived),SIMD Quintile Proportion,10.4
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown,Number of People,175
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown,SIMD Quintile Proportion,1
2017/18,Scotland (All Areas Submitted),75-84 years,1 (Most Deprived),Number of People,8220
2017/18,Scotland (All Areas Submitted),75-84 years,1 (Most Deprived),SIMD Quintile Proportion,21.3
2017/18,Scotland (All Areas Submitted),75-84 years,2,Number of People,8930
2017/18,Scotland (All Areas Submitted),75-84 years,2,SIMD Quintile Proportion,23.1
2017/18,Scotland (All Areas Submitted),75-84 years,3,Number of People,8180
2017/18,Scotland (All Areas Submitted),75-84 years,3,SIMD Quintile Proportion,21.2
2017/18,Scotland (All Areas Submitted),75-84 years,4,Number of People,7000
2017/18,Scotland (All Areas Submitted),75-84 years,4,SIMD Quintile Proportion,18.1
2017/18,Scotland (All Areas Submitted),75-84 years,5 (Least Deprived),Number of People,5785
2017/18,Scotland (All Areas Submitted),75-84 years,5 (Least Deprived),SIMD Quintile Proportion,15
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown,Number of People,530
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown,SIMD Quintile Proportion,1.4
2017/18,Scotland (All Areas Submitted),85+ years,1 (Most Deprived),Number of People,5720
2017/18,Scotland (All Areas Submitted),85+ years,1 (Most Deprived),SIMD Quintile Proportion,15
2017/18,Scotland (All Areas Submitted),85+ years,2,Number of People,7405
2017/18,Scotland (All Areas Submitted),85+ years,2,SIMD Quintile Proportion,19.5
2017/18,Scotland (All Areas Submitted),85+ years,3,Number of People,8255
2017/18,Scotland (All Areas Submitted),85+ years,3,SIMD Quintile Proportion,21.7
2017/18,Scotland (All Areas Submitted),85+ years,4,Number of People,8005
2017/18,Scotland (All Areas Submitted),85+ years,4,SIMD Quintile Proportion,21.1
