financial_year,sending_location,service,age_group,living_alone_status,la_status_nclient,propn_la_status_nclient
2018/19,Scotland,Total community alarms and/or telecare,All Ages,Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,All Ages,Not Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,All Ages,Unknown,0,0
2018/19,Scotland,Total community alarms and/or telecare,All Ages,Not Recorded,0,0
2018/19,Scotland,Total community alarms and/or telecare,0-17 years,Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,0-17 years,Not Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,0-17 years,Unknown,0,0
2018/19,Scotland,Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2018/19,Scotland,Total community alarms and/or telecare,18-64 years,Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,18-64 years,Not Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,18-64 years,Unknown,0,0
2018/19,Scotland,Total community alarms and/or telecare,18-64 years,Not Recorded,0,0
2018/19,Scotland,Total community alarms and/or telecare,65-74 years,Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,65-74 years,Not Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,65-74 years,Unknown,0,0
2018/19,Scotland,Total community alarms and/or telecare,65-74 years,Not Recorded,0,0
2018/19,Scotland,Total community alarms and/or telecare,75-84 years,Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,75-84 years,Not Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,75-84 years,Unknown,0,0
2018/19,Scotland,Total community alarms and/or telecare,75-84 years,Not Recorded,0,0
2018/19,Scotland,Total community alarms and/or telecare,85+ years,Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,85+ years,Not Living Alone,0,0
2018/19,Scotland,Total community alarms and/or telecare,85+ years,Unknown,0,0
2018/19,Scotland,Total community alarms and/or telecare,85+ years,Not Recorded,0,0
2019/20,Scotland,Total community alarms and/or telecare,All Ages,Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,All Ages,Not Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,All Ages,Unknown,0,0
2019/20,Scotland,Total community alarms and/or telecare,All Ages,Not Recorded,0,0
2019/20,Scotland,Total community alarms and/or telecare,0-17 years,Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,0-17 years,Not Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,0-17 years,Unknown,0,0
2019/20,Scotland,Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2019/20,Scotland,Total community alarms and/or telecare,18-64 years,Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,18-64 years,Not Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,18-64 years,Unknown,0,0
2019/20,Scotland,Total community alarms and/or telecare,18-64 years,Not Recorded,0,0
2019/20,Scotland,Total community alarms and/or telecare,65-74 years,Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,65-74 years,Not Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,65-74 years,Unknown,0,0
2019/20,Scotland,Total community alarms and/or telecare,65-74 years,Not Recorded,0,0
2019/20,Scotland,Total community alarms and/or telecare,75-84 years,Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,75-84 years,Not Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,75-84 years,Unknown,0,0
2019/20,Scotland,Total community alarms and/or telecare,75-84 years,Not Recorded,0,0
2019/20,Scotland,Total community alarms and/or telecare,85+ years,Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,85+ years,Not Living Alone,0,0
2019/20,Scotland,Total community alarms and/or telecare,85+ years,Unknown,0,0
2019/20,Scotland,Total community alarms and/or telecare,85+ years,Not Recorded,0,0
2020/21,Scotland,Total community alarms and/or telecare,All Ages,Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,All Ages,Not Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,All Ages,Unknown,0,0
2020/21,Scotland,Total community alarms and/or telecare,All Ages,Not Recorded,0,0
2020/21,Scotland,Total community alarms and/or telecare,0-17 years,Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,0-17 years,Not Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,0-17 years,Unknown,0,0
2020/21,Scotland,Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2020/21,Scotland,Total community alarms and/or telecare,18-64 years,Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,18-64 years,Not Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,18-64 years,Unknown,0,0
2020/21,Scotland,Total community alarms and/or telecare,18-64 years,Not Recorded,0,0
2020/21,Scotland,Total community alarms and/or telecare,65-74 years,Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,65-74 years,Not Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,65-74 years,Unknown,0,0
2020/21,Scotland,Total community alarms and/or telecare,65-74 years,Not Recorded,0,0
2020/21,Scotland,Total community alarms and/or telecare,75-84 years,Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,75-84 years,Not Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,75-84 years,Unknown,0,0
2020/21,Scotland,Total community alarms and/or telecare,75-84 years,Not Recorded,0,0
2020/21,Scotland,Total community alarms and/or telecare,85+ years,Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,85+ years,Not Living Alone,0,0
2020/21,Scotland,Total community alarms and/or telecare,85+ years,Unknown,0,0
2020/21,Scotland,Total community alarms and/or telecare,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,All Ages,Living Alone,17540,24.4
2018/19,Scotland (All Areas Submitted),Community alarm only,All Ages,Not Living Alone,19555,27.2
2018/19,Scotland (All Areas Submitted),Community alarm only,All Ages,Unknown,34720,48.3
2018/19,Scotland (All Areas Submitted),Community alarm only,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,0-17 years,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,0-17 years,Not Living Alone,25,25
2018/19,Scotland (All Areas Submitted),Community alarm only,0-17 years,Unknown,75,75
2018/19,Scotland (All Areas Submitted),Community alarm only,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,18-64 years,Living Alone,1520,18.6
2018/19,Scotland (All Areas Submitted),Community alarm only,18-64 years,Not Living Alone,2225,27.2
2018/19,Scotland (All Areas Submitted),Community alarm only,18-64 years,Unknown,4425,54.2
2018/19,Scotland (All Areas Submitted),Community alarm only,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,65-74 years,Living Alone,2325,20
2018/19,Scotland (All Areas Submitted),Community alarm only,65-74 years,Not Living Alone,3135,27
