financial_year,sending_location,service,age_group,measure,value,scotland_value
2018/19,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Number of People,71815,71815
2018/19,Scotland (All Areas Submitted),Community Alarm Only,All Ages,"Rate per 1,000 Population",13.2,13.205899119177653
2018/19,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Number of People,100,100
2018/19,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,"Rate per 1,000 Population",0.1,0.09720081104356736
2018/19,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Number of People,8170,8170
2018/19,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,"Rate per 1,000 Population",2.4,2.4148820579879096
2018/19,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Number of People,11615,11615
2018/19,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,"Rate per 1,000 Population",20.3,20.32804903233936
2018/19,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Number of People,26210,26210
2018/19,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,"Rate per 1,000 Population",79.1,79.09826170931917
2018/19,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Number of People,25710,25710
2018/19,Scotland (All Areas Submitted),Community Alarm Only,85+ years,"Rate per 1,000 Population",208.4,208.3873686940734
2018/19,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Number of People,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,All Ages,Number of People,15270,15270
2018/19,Scotland (All Areas Submitted),Telecare Only,All Ages,"Rate per 1,000 Population",2.8,2.807966017542892
2018/19,Scotland (All Areas Submitted),Telecare Only,0-17 years,Number of People,330,330
2018/19,Scotland (All Areas Submitted),Telecare Only,0-17 years,"Rate per 1,000 Population",0.3,0.32076267644377227
2018/19,Scotland (All Areas Submitted),Telecare Only,18-64 years,Number of People,3040,3040
2018/19,Scotland (All Areas Submitted),Telecare Only,18-64 years,"Rate per 1,000 Population",0.9,0.8985607657629432
2018/19,Scotland (All Areas Submitted),Telecare Only,65-74 years,Number of People,2335,2335
2018/19,Scotland (All Areas Submitted),Telecare Only,65-74 years,"Rate per 1,000 Population",4.1,4.086611665132365
2018/19,Scotland (All Areas Submitted),Telecare Only,75-84 years,Number of People,4915,4915
2018/19,Scotland (All Areas Submitted),Telecare Only,75-84 years,"Rate per 1,000 Population",14.8,14.832810236600677
2018/19,Scotland (All Areas Submitted),Telecare Only,85+ years,Number of People,4645,4645
2018/19,Scotland (All Areas Submitted),Telecare Only,85+ years,"Rate per 1,000 Population",37.6,37.64913759564259
2018/19,Scotland (All Areas Submitted),Telecare Only,Unknown,Number of People,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Number of People,38030,38030
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",7,6.993251319394641
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Number of People,115,115
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.1,0.11178093270010245
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Number of People,5445,5445
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",1.6,1.6094287399931662
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Number of People,6200,6200
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",10.9,10.850960309987434
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Number of People,12755,12755
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",38.5,38.49287783679382
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Number of People,13520,13520
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",109.6,109.58371158085852
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,All Ages,Number of People,125120,125120
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",23,23.00803589488976
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,0-17 years,Number of People,540,540
