financial_year,sending_location,age_group,ethnicity,measure,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients",90,0.4
2017/18,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",85,0.4
2017/18,Scotland (All Areas Submitted),All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",1475,7.2
2017/18,Scotland (All Areas Submitted),All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",1340,7.1
2017/18,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients",800,3.9
2017/18,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",730,3.9
2017/18,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",75,0.4
2017/18,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",70,0.4
2017/18,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients",146705,719.3
2017/18,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",135050,714.1
2017/18,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",415,2
2017/18,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",390,2.1
2017/18,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",54390,266.7
2017/18,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",51460,272.1
2017/18,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients",10,3.5
2017/18,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",10,3.7
2017/18,Scotland (All Areas Submitted),0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",45,15.6
2017/18,Scotland (All Areas Submitted),0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",40,14.8
2017/18,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients",75,26
