financial_year,sending_location,age_group,sex,measure,rate,nclient
2017/18,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",618.8,126210
2017/18,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",616.9,116670
2017/18,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",377.6,77010
2017/18,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",379.5,71775
2017/18,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",3,610
2017/18,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",3.1,580
2017/18,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",4.8,975
2017/18,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",4.8,905
2017/18,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",9.3,1905
2017/18,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",9.4,1785
2017/18,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,10
2017/18,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.1,10
2017/18,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",103,21005
2017/18,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",105,19860
2017/18,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",107.2,21865
2017/18,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",108,20425
2017/18,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.7,140
2017/18,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,135
2017/18,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",83.3,16990
2017/18,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",85,16080
2017/18,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",64.5,13145
2017/18,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",65.1,12320
2017/18,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.4,75
2017/18,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.4,70
2017/18,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",197.8,40350
2017/18,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",199.5,37725
2017/18,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",106.4,21695
2017/18,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",106.7,20185
2017/18,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.9,180
2017/18,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.9,170
2017/18,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",229.3,46765
2017/18,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",222.6,42100
2017/18,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",89.9,18340
2017/18,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",90.2,17065
2017/18,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.9,185
2017/18,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.1,200
2017/18,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",0.6,120
2017/18,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",0.3,65
2017/18,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.1,25
2017/18,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",615.7,148150
2018/19,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",614.2,135670
2018/19,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",379.2,91255
2018/19,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",380.4,84025
2018/19,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",4.4,1070
2018/19,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",4.7,1035
2018/19,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",5.1,1220
2018/19,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",4.8,1055
2018/19,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",9.7,2340
2018/19,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",9.1,2000
2018/19,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.1,15
2018/19,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.1,15
2018/19,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",103.2,24840
2018/19,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",105.7,23345
2018/19,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",109,26230
2018/19,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",109.9,24265
2018/19,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.1,265
2018/19,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.2,255
2018/19,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",82.6,19885
2018/19,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",84.9,18760
2018/19,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",64.9,15615
2018/19,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",66.1,14595
