financial_year,sending_location,age_group,client_group,measure,rate,nclient
2017/18,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients",82.8,16240
2017/18,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",74.3,13495
2017/18,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",456.2,89415
2017/18,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",448.9,81585
2017/18,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",73.4,14395
2017/18,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",74.8,13590
2017/18,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients",66.2,12975
2017/18,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",64.3,11695
2017/18,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",382.8,75030
2017/18,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",390.4,70950
2017/18,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients",177.5,34790
2017/18,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",181.7,33015
2017/18,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",90.7,17785
2017/18,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",93.6,17010
2017/18,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",14.2,40
2017/18,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",13.4,35
2017/18,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",158.3,445
2017/18,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",160.5,420
2017/18,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",26.7,75
2017/18,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",26.7,70
2017/18,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",186.7,525
2017/18,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",193,505
2017/18,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients",535.2,1505
2017/18,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",519.7,1360
2017/18,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",236.5,665
2017/18,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",248.4,650
2017/18,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients",9.3,385
