financial_year,sending_location,age_group,ethnicity,measure,rate,nclient
2017/18,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients",0.4,90
2017/18,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0.4,85
2017/18,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients",3.9,800
2017/18,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",3.9,730
2017/18,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.4,75
2017/18,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.4,70
2017/18,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients",719.3,146705
2017/18,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",714.1,135050
2017/18,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",2,415
2017/18,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",2.1,390
2017/18,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",266.7,54390
2017/18,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",272.1,51460
2017/18,Scotland (All Areas Submitted),All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",7.2,1475
2017/18,Scotland (All Areas Submitted),All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7.1,1340
2017/18,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients",3.5,10
2017/18,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",3.7,10
2017/18,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients",26,75
2017/18,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",26,70
2017/18,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",3.5,10
2017/18,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",3.7,10
2017/18,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients",723.2,2090
2017/18,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",723.6,1950
2017/18,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",10.4,30
2017/18,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",11.1,30
2017/18,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",219.7,635
2017/18,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",218.9,590
2017/18,Scotland (All Areas Submitted),0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",15.6,45
2017/18,Scotland (All Areas Submitted),0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",14.8,40
2017/18,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients",1,45
2017/18,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",1.1,45
2017/18,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients",7.9,340
2017/18,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",7.4,300
2017/18,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.8,35
2017/18,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.7,30
2017/18,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients",756.8,32550
2017/18,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",755.6,30540
2017/18,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",3.6,155
