financial_year,sending_location,age_group,living_alone,measure,percentage,nclient
2017/18,Scotland (All Areas Submitted),All Ages,Living Alone,Percentage of Social Care Clients,19.5,39755
2017/18,Scotland (All Areas Submitted),All Ages,Living Alone,Percentage of Social Care Clients (adjusted),20.3,38315
2017/18,Scotland (All Areas Submitted),All Ages,Not Living Alone,Percentage of Social Care Clients,33.1,67405
2017/18,Scotland (All Areas Submitted),All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),32.1,60640
2017/18,Scotland (All Areas Submitted),All Ages,Unknown,Percentage of Social Care Clients,47.5,96785
2017/18,Scotland (All Areas Submitted),All Ages,Unknown,Percentage of Social Care Clients (adjusted),47.7,90175
2017/18,Scotland (All Areas Submitted),0-17 years,Living Alone,Percentage of Social Care Clients,1,30
2017/18,Scotland (All Areas Submitted),0-17 years,Living Alone,Percentage of Social Care Clients (adjusted),1.1,30
2017/18,Scotland (All Areas Submitted),0-17 years,Not Living Alone,Percentage of Social Care Clients,39.4,1140
2017/18,Scotland (All Areas Submitted),0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),41.4,1115
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown,Percentage of Social Care Clients,59.5,1720
2017/18,Scotland (All Areas Submitted),0-17 years,Unknown,Percentage of Social Care Clients (adjusted),57.5,1550
2017/18,Scotland (All Areas Submitted),18-64 years,Living Alone,Percentage of Social Care Clients,13.8,5915
2017/18,Scotland (All Areas Submitted),18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),14.4,5805
2017/18,Scotland (All Areas Submitted),18-64 years,Not Living Alone,Percentage of Social Care Clients,32.4,13950
2017/18,Scotland (All Areas Submitted),18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),32.2,13030
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown,Percentage of Social Care Clients,53.8,23145
2017/18,Scotland (All Areas Submitted),18-64 years,Unknown,Percentage of Social Care Clients (adjusted),53.4,21585
2017/18,Scotland (All Areas Submitted),65-74 years,Living Alone,Percentage of Social Care Clients,18.4,5555
2017/18,Scotland (All Areas Submitted),65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),19.1,5425
2017/18,Scotland (All Areas Submitted),65-74 years,Not Living Alone,Percentage of Social Care Clients,33.9,10240
2017/18,Scotland (All Areas Submitted),65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),33.1,9410
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown,Percentage of Social Care Clients,47.7,14410
2017/18,Scotland (All Areas Submitted),65-74 years,Unknown,Percentage of Social Care Clients (adjusted),47.9,13635
2017/18,Scotland (All Areas Submitted),75-84 years,Living Alone,Percentage of Social Care Clients,19.9,12410
2017/18,Scotland (All Areas Submitted),75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),20.7,12020
2017/18,Scotland (All Areas Submitted),75-84 years,Not Living Alone,Percentage of Social Care Clients,34.4,21420
2017/18,Scotland (All Areas Submitted),75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),33.4,19395
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown,Percentage of Social Care Clients,45.6,28400
2017/18,Scotland (All Areas Submitted),75-84 years,Unknown,Percentage of Social Care Clients (adjusted),45.9,26665
2017/18,Scotland (All Areas Submitted),85+ years,Living Alone,Percentage of Social Care Clients,24.2,15785
2017/18,Scotland (All Areas Submitted),85+ years,Living Alone,Percentage of Social Care Clients (adjusted),25.3,15035
2017/18,Scotland (All Areas Submitted),85+ years,Not Living Alone,Percentage of Social Care Clients,31.6,20605
2017/18,Scotland (All Areas Submitted),85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),29.7,17690
2017/18,Scotland (All Areas Submitted),85+ years,Unknown,Percentage of Social Care Clients,44.3,28895
2017/18,Scotland (All Areas Submitted),85+ years,Unknown,Percentage of Social Care Clients (adjusted),45,26745
2017/18,Scotland (All Areas Submitted),Unknown,Living Alone,Percentage of Social Care Clients,18.5,60
2017/18,Scotland (All Areas Submitted),Unknown,Not Living Alone,Percentage of Social Care Clients,15.4,50
2017/18,Scotland (All Areas Submitted),Unknown,Unknown,Percentage of Social Care Clients,66.2,215
