financial_year,sending_location,age_group,measure,rate,nclient
2017/18,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients",39.8,8115
2017/18,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients (adjusted)",42.9,8115
2017/18,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients",1.7,5
2017/18,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",1.9,5
2017/18,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients",16.3,700
2017/18,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",17.3,700
2017/18,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients",36.1,1090
2017/18,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",38.3,1090
2017/18,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients",43.1,2680
2017/18,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",46.1,2680
2017/18,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients",55.6,3630
2017/18,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients (adjusted)",61.3,3645
2017/18,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients",46.4,15
2017/18,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients",24.8,5965
2018/19,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients (adjusted)",27,5965
2018/19,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients",10.4,535
2018/19,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",11.2,535
2018/19,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients",25.8,920
2018/19,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",27.5,920
2018/19,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients",27.9,2030
2018/19,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",30.1,2030
2018/19,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients",31.9,2460
2018/19,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients (adjusted)",35.9,2480
2018/19,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients",77.8,20
2018/19,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients",28.5,6430
2019/20,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients (adjusted)",31.2,6430
2019/20,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients",11.2,535
