financial_year,sending_location,age_group,service_group,nclient
2017/18,Scotland (All Areas Submitted),All Ages,Care Home,35990
2017/18,Scotland (All Areas Submitted),0-17 years,Care Home,120
2017/18,Scotland (All Areas Submitted),18-64 years,Care Home,3830
2017/18,Scotland (All Areas Submitted),65-74 years,Care Home,3860
2017/18,Scotland (All Areas Submitted),75-84 years,Care Home,10920
2017/18,Scotland (All Areas Submitted),85+ years,Care Home,17230
2017/18,Scotland (All Areas Submitted),Unknown,Care Home,30
2017/18,Scotland (All Areas Submitted),All Ages,Care at Home,61315
2017/18,Scotland (All Areas Submitted),0-17 years,Care at Home,220
2017/18,Scotland (All Areas Submitted),18-64 years,Care at Home,11570
2017/18,Scotland (All Areas Submitted),65-74 years,Care at Home,9460
2017/18,Scotland (All Areas Submitted),75-84 years,Care at Home,19560
2017/18,Scotland (All Areas Submitted),85+ years,Care at Home,20465
2017/18,Scotland (All Areas Submitted),Unknown,Care at Home,35
2017/18,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,109330
2017/18,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,425
2017/18,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,14630
2017/18,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,17460
2017/18,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,38590
2017/18,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,37990
2017/18,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,230
2017/18,Scotland (All Areas Submitted),All Ages,Day Care,10755
2017/18,Scotland (All Areas Submitted),0-17 years,Day Care,110
2017/18,Scotland (All Areas Submitted),18-64 years,Day Care,4455
2017/18,Scotland (All Areas Submitted),65-74 years,Day Care,1130
2017/18,Scotland (All Areas Submitted),75-84 years,Day Care,2540
2017/18,Scotland (All Areas Submitted),85+ years,Day Care,2500
2017/18,Scotland (All Areas Submitted),Unknown,Day Care,10
2017/18,Scotland (All Areas Submitted),All Ages,Housing Support,17870
2017/18,Scotland (All Areas Submitted),0-17 years,Housing Support,115
2017/18,Scotland (All Areas Submitted),18-64 years,Housing Support,7840
2017/18,Scotland (All Areas Submitted),65-74 years,Housing Support,3375
2017/18,Scotland (All Areas Submitted),75-84 years,Housing Support,3660
2017/18,Scotland (All Areas Submitted),85+ years,Housing Support,2880
2017/18,Scotland (All Areas Submitted),Unknown,Housing Support,5
2017/18,Scotland (All Areas Submitted),All Ages,Meals,8115
2017/18,Scotland (All Areas Submitted),0-17 years,Meals,5
2017/18,Scotland (All Areas Submitted),18-64 years,Meals,700
2017/18,Scotland (All Areas Submitted),65-74 years,Meals,1090
2017/18,Scotland (All Areas Submitted),75-84 years,Meals,2680
2017/18,Scotland (All Areas Submitted),85+ years,Meals,3630
2017/18,Scotland (All Areas Submitted),Unknown,Meals,15
2017/18,Scotland (All Areas Submitted),All Ages,Social Worker,90885
2017/18,Scotland (All Areas Submitted),0-17 years,Social Worker,1860
2017/18,Scotland (All Areas Submitted),18-64 years,Social Worker,22115
2017/18,Scotland (All Areas Submitted),65-74 years,Social Worker,12215
