financial_year,sending_location,measure,nclient,rate,scotland_rate,scotland_nclient
2017/18,Scotland (Estimated),"Rate per 1,000 Population",230115,42.4,42.4,230115
2017/18,Scotland (Estimated),"Rate per 1,000 Population (adjusted)",225515,41.6,41.6,225515
2017/18,Aberdeen City,"Rate per 1,000 Population",10585,46.3,42.4,230115
2017/18,Aberdeen City,"Rate per 1,000 Population (adjusted)",10585,46.3,41.6,225515
2017/18,Aberdeenshire,"Rate per 1,000 Population",9070,34.6,42.4,230115
2017/18,Aberdeenshire,"Rate per 1,000 Population (adjusted)",4460,17,41.6,225515
2017/18,Angus,"Rate per 1,000 Population",5835,50.2,42.4,230115
2017/18,Angus,"Rate per 1,000 Population (adjusted)",5835,50.2,41.6,225515
2017/18,Argyll and Bute,"Rate per 1,000 Population",3370,38.8,42.4,230115
2017/18,Argyll and Bute,"Rate per 1,000 Population (adjusted)",3370,38.8,41.6,225515
2017/18,City of Edinburgh,"Rate per 1,000 Population",17200,33.5,42.4,230115
2017/18,City of Edinburgh,"Rate per 1,000 Population (adjusted)",17200,33.5,41.6,225515
2017/18,Clackmannanshire,"Rate per 1,000 Population",2770,53.8,42.4,230115
2017/18,Clackmannanshire,"Rate per 1,000 Population (adjusted)",2770,53.8,41.6,225515
2017/18,Comhairle nan Eilean Siar,"Rate per 1,000 Population",1775,65.9,42.4,230115
2017/18,Comhairle nan Eilean Siar,"Rate per 1,000 Population (adjusted)",1775,65.9,41.6,225515
2017/18,Dumfries and Galloway,"Rate per 1,000 Population",7070,47.4,42.4,230115
2017/18,Dumfries and Galloway,"Rate per 1,000 Population (adjusted)",7070,47.4,41.6,225515
2017/18,Dundee City,"Rate per 1,000 Population",10985,73.9,42.4,230115
2017/18,Dundee City,"Rate per 1,000 Population (adjusted)",10985,73.9,41.6,225515
2017/18,East Ayrshire,"Rate per 1,000 Population",5160,42.3,42.4,230115
2017/18,East Ayrshire,"Rate per 1,000 Population (adjusted)",5160,42.3,41.6,225515
2017/18,East Dunbartonshire,"Rate per 1,000 Population",6145,56.8,42.4,230115
2017/18,East Dunbartonshire,"Rate per 1,000 Population (adjusted)",6145,56.8,41.6,225515
2017/18,East Lothian,"Rate per 1,000 Population",5725,54.6,42.4,230115
2017/18,East Lothian,"Rate per 1,000 Population (adjusted)",5725,54.6,41.6,225515
2017/18,East Renfrewshire,"Rate per 1,000 Population",6365,67.2,42.4,230115
2017/18,East Renfrewshire,"Rate per 1,000 Population (adjusted)",6365,67.2,41.6,225515
2017/18,Falkirk,"Rate per 1,000 Population",8085,50.5,42.4,230115
2017/18,Falkirk,"Rate per 1,000 Population (adjusted)",8085,50.5,41.6,225515
2017/18,Fife,"Rate per 1,000 Population",15880,42.8,42.4,230115
2017/18,Fife,"Rate per 1,000 Population (adjusted)",15880,42.8,41.6,225515
2017/18,Glasgow City,"Rate per 1,000 Population",19370,31.2,42.4,230115
2017/18,Glasgow City,"Rate per 1,000 Population (adjusted)",19370,31.2,41.6,225515
2017/18,Highland,"Rate per 1,000 Population",8375,35.6,42.4,230115
2017/18,Highland,"Rate per 1,000 Population (adjusted)",8375,35.6,41.6,225515
2017/18,Inverclyde,"Rate per 1,000 Population",4910,62.3,42.4,230115
2017/18,Inverclyde,"Rate per 1,000 Population (adjusted)",4910,62.3,41.6,225515
2017/18,Midlothian,"Rate per 1,000 Population",3900,43.3,42.4,230115
2017/18,Midlothian,"Rate per 1,000 Population (adjusted)",3900,43.3,41.6,225515
2017/18,Moray,"Rate per 1,000 Population",3325,34.7,42.4,230115
2017/18,Moray,"Rate per 1,000 Population (adjusted)",3325,34.7,41.6,225515
2017/18,North Ayrshire,"Rate per 1,000 Population",7135,52.5,42.4,230115
2017/18,North Ayrshire,"Rate per 1,000 Population (adjusted)",7135,52.5,41.6,225515
2017/18,North Lanarkshire,"Rate per 1,000 Population",14090,41.4,42.4,230115
2017/18,North Lanarkshire,"Rate per 1,000 Population (adjusted)",14090,41.4,41.6,225515
2017/18,Orkney Islands,"Rate per 1,000 Population",1065,48.4,42.4,230115
2017/18,Orkney Islands,"Rate per 1,000 Population (adjusted)",1065,48.4,41.6,225515
2017/18,Perth and Kinross,"Rate per 1,000 Population",6770,44.8,42.4,230115
2017/18,Perth and Kinross,"Rate per 1,000 Population (adjusted)",6770,44.8,41.6,225515
2017/18,Renfrewshire,"Rate per 1,000 Population",7655,43.3,42.4,230115
2017/18,Renfrewshire,"Rate per 1,000 Population (adjusted)",7655,43.3,41.6,225515
2017/18,Scottish Borders,"Rate per 1,000 Population",6620,57.6,42.4,230115
