financial_year,sending_location,age_group,cah_status,percentage,nclient
2018/19,Scotland (All Areas Submitted),All Ages,Care at Home Service Received,39.1,48980
2018/19,Scotland (All Areas Submitted),All Ages,No Care at Home Service Received,60.9,76140
2018/19,Scotland (All Areas Submitted),0-17 years,Care at Home Service Received,1.9,10
2018/19,Scotland (All Areas Submitted),0-17 years,No Care at Home Service Received,98.1,530
2018/19,Scotland (All Areas Submitted),18-64 years,Care at Home Service Received,28.7,4775
2018/19,Scotland (All Areas Submitted),18-64 years,No Care at Home Service Received,71.3,11880
2018/19,Scotland (All Areas Submitted),65-74 years,Care at Home Service Received,34.8,7020
2018/19,Scotland (All Areas Submitted),65-74 years,No Care at Home Service Received,65.2,13130
2018/19,Scotland (All Areas Submitted),75-84 years,Care at Home Service Received,38.6,16920
2018/19,Scotland (All Areas Submitted),75-84 years,No Care at Home Service Received,61.4,26955
2018/19,Scotland (All Areas Submitted),85+ years,Care at Home Service Received,46.2,20255
2018/19,Scotland (All Areas Submitted),85+ years,No Care at Home Service Received,53.8,23620
2019/20,Scotland (All Areas Submitted),All Ages,Care at Home Service Received,40.1,47100
2019/20,Scotland (All Areas Submitted),All Ages,No Care at Home Service Received,59.9,70245
2019/20,Scotland (All Areas Submitted),0-17 years,Care at Home Service Received,2,10
2019/20,Scotland (All Areas Submitted),0-17 years,No Care at Home Service Received,98,495
2019/20,Scotland (All Areas Submitted),18-64 years,Care at Home Service Received,30.4,4755
2019/20,Scotland (All Areas Submitted),18-64 years,No Care at Home Service Received,69.6,10905
2019/20,Scotland (All Areas Submitted),65-74 years,Care at Home Service Received,35.7,6570
2019/20,Scotland (All Areas Submitted),65-74 years,No Care at Home Service Received,64.3,11825
2019/20,Scotland (All Areas Submitted),75-84 years,Care at Home Service Received,39.2,16130
2019/20,Scotland (All Areas Submitted),75-84 years,No Care at Home Service Received,60.8,24975
2019/20,Scotland (All Areas Submitted),85+ years,Care at Home Service Received,47.1,19630
2019/20,Scotland (All Areas Submitted),85+ years,No Care at Home Service Received,52.9,22025
2020/21,Scotland (All Areas Submitted),All Ages,Care at Home Service Received,40.9,46265
2020/21,Scotland (All Areas Submitted),All Ages,No Care at Home Service Received,59.1,66845
2020/21,Scotland (All Areas Submitted),0-17 years,Care at Home Service Received,18.8,125
2020/21,Scotland (All Areas Submitted),0-17 years,No Care at Home Service Received,81.2,540
2020/21,Scotland (All Areas Submitted),18-64 years,Care at Home Service Received,33.3,5055
2020/21,Scotland (All Areas Submitted),18-64 years,No Care at Home Service Received,66.7,10130
2020/21,Scotland (All Areas Submitted),65-74 years,Care at Home Service Received,36.9,6540
2020/21,Scotland (All Areas Submitted),65-74 years,No Care at Home Service Received,63.1,11200
2020/21,Scotland (All Areas Submitted),75-84 years,Care at Home Service Received,40.1,15485
2020/21,Scotland (All Areas Submitted),75-84 years,No Care at Home Service Received,59.9,23105
2020/21,Scotland (All Areas Submitted),85+ years,Care at Home Service Received,46.6,19060
2020/21,Scotland (All Areas Submitted),85+ years,No Care at Home Service Received,53.4,21870
2021/22,Scotland (All Areas Submitted),All Ages,Care at Home Service Received,40.1,43485
2021/22,Scotland (All Areas Submitted),All Ages,No Care at Home Service Received,59.9,64930
2021/22,Scotland (All Areas Submitted),0-17 years,Care at Home Service Received,23.8,170
2021/22,Scotland (All Areas Submitted),0-17 years,No Care at Home Service Received,76.2,545
2021/22,Scotland (All Areas Submitted),18-64 years,Care at Home Service Received,34.5,5065
2021/22,Scotland (All Areas Submitted),18-64 years,No Care at Home Service Received,65.5,9630
2021/22,Scotland (All Areas Submitted),65-74 years,Care at Home Service Received,36.3,6095
2021/22,Scotland (All Areas Submitted),65-74 years,No Care at Home Service Received,63.7,10685
2021/22,Scotland (All Areas Submitted),75-84 years,Care at Home Service Received,38.8,14090
2021/22,Scotland (All Areas Submitted),75-84 years,No Care at Home Service Received,61.2,22190
2021/22,Scotland (All Areas Submitted),85+ years,Care at Home Service Received,45.2,18065
2021/22,Scotland (All Areas Submitted),85+ years,No Care at Home Service Received,54.8,21880
2018/19,Aberdeen City,All Ages,Care at Home Service Received,30,1045
2018/19,Aberdeen City,All Ages,No Care at Home Service Received,70,2435
2018/19,Aberdeen City,0-17 years,Care at Home Service Received,0,0
2018/19,Aberdeen City,0-17 years,No Care at Home Service Received,100,20
2018/19,Aberdeen City,18-64 years,Care at Home Service Received,23.9,110
2018/19,Aberdeen City,18-64 years,No Care at Home Service Received,76.1,350
2018/19,Aberdeen City,65-74 years,Care at Home Service Received,23.6,145
2018/19,Aberdeen City,65-74 years,No Care at Home Service Received,76.4,470
2018/19,Aberdeen City,75-84 years,Care at Home Service Received,25.7,280
2018/19,Aberdeen City,75-84 years,No Care at Home Service Received,74.3,810
2018/19,Aberdeen City,85+ years,Care at Home Service Received,39.3,505
2018/19,Aberdeen City,85+ years,No Care at Home Service Received,60.7,780
2018/19,Aberdeenshire,All Ages,Care at Home Service Received,32.3,1720
2018/19,Aberdeenshire,All Ages,No Care at Home Service Received,67.7,3600
2018/19,Aberdeenshire,0-17 years,Care at Home Service Received,0,0
2018/19,Aberdeenshire,0-17 years,No Care at Home Service Received,100,20
2018/19,Aberdeenshire,18-64 years,Care at Home Service Received,22.2,130
2018/19,Aberdeenshire,18-64 years,No Care at Home Service Received,77.8,455
2018/19,Aberdeenshire,65-74 years,Care at Home Service Received,24.4,205
2018/19,Aberdeenshire,65-74 years,No Care at Home Service Received,75.6,635
2018/19,Aberdeenshire,75-84 years,Care at Home Service Received,31.1,570
2018/19,Aberdeenshire,75-84 years,No Care at Home Service Received,68.9,1265
2018/19,Aberdeenshire,85+ years,Care at Home Service Received,40,815
2018/19,Aberdeenshire,85+ years,No Care at Home Service Received,60,1225
2019/20,Aberdeenshire,All Ages,Care at Home Service Received,38.2,2040
2019/20,Aberdeenshire,All Ages,No Care at Home Service Received,61.8,3295
2019/20,Aberdeenshire,0-17 years,Care at Home Service Received,NA,0
2019/20,Aberdeenshire,0-17 years,No Care at Home Service Received,NA,0
2019/20,Aberdeenshire,18-64 years,Care at Home Service Received,27.7,155
2019/20,Aberdeenshire,18-64 years,No Care at Home Service Received,72.3,405
2019/20,Aberdeenshire,65-74 years,Care at Home Service Received,25.1,210
2019/20,Aberdeenshire,65-74 years,No Care at Home Service Received,74.9,625
2019/20,Aberdeenshire,75-84 years,Care at Home Service Received,37.1,690
