financial_year,sending_location,service,age_group,living_alone_status,percentage,nclient
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Not Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Unknown,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Not Recorded,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Not Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Unknown,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Not Recorded,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Not Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Unknown,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Not Recorded,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Not Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Unknown,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Not Recorded,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Not Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Unknown,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Not Recorded,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Not Living Alone,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Unknown,0,0
2018/19,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Not Recorded,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Living Alone,0,0
