financial_year,sending_location,service,age_group,measure,value,scotland_value
2017/18,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Number of People,71685,71685
2017/18,Scotland (All Areas Submitted),Community Alarm Only,All Ages,"Rate per 1,000 Population",13.2,13.214312048370447
2017/18,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Number of People,130,130
2017/18,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,"Rate per 1,000 Population",0.1,0.12620685303211965
2017/18,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Number of People,8275,8275
2017/18,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,"Rate per 1,000 Population",2.4,2.4466482840347257
2017/18,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Number of People,11200,11200
2017/18,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,"Rate per 1,000 Population",19.8,19.83719332053362
2017/18,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Number of People,26060,26060
2017/18,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,"Rate per 1,000 Population",79.9,79.90066072879459
2017/18,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Number of People,25885,25885
2017/18,Scotland (All Areas Submitted),Community Alarm Only,85+ years,"Rate per 1,000 Population",212.5,212.49261180797268
2017/18,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Number of People,0,0
2017/18,Scotland (All Areas Submitted),Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Scotland (All Areas Submitted),Telecare Only,All Ages,Number of People,16065,16065
2017/18,Scotland (All Areas Submitted),Telecare Only,All Ages,"Rate per 1,000 Population",3,2.9613994985990266
2017/18,Scotland (All Areas Submitted),Telecare Only,0-17 years,Number of People,270,270
2017/18,Scotland (All Areas Submitted),Telecare Only,0-17 years,"Rate per 1,000 Population",0.3,0.2621219255282485
2017/18,Scotland (All Areas Submitted),Telecare Only,18-64 years,Number of People,3040,3040
2017/18,Scotland (All Areas Submitted),Telecare Only,18-64 years,"Rate per 1,000 Population",0.9,0.8988290976997663
2017/18,Scotland (All Areas Submitted),Telecare Only,65-74 years,Number of People,2555,2555
2017/18,Scotland (All Areas Submitted),Telecare Only,65-74 years,"Rate per 1,000 Population",4.5,4.525359726246733
2017/18,Scotland (All Areas Submitted),Telecare Only,75-84 years,Number of People,5390,5390
2017/18,Scotland (All Areas Submitted),Telecare Only,75-84 years,"Rate per 1,000 Population",16.5,16.525884932010854
2017/18,Scotland (All Areas Submitted),Telecare Only,85+ years,Number of People,4805,4805
2017/18,Scotland (All Areas Submitted),Telecare Only,85+ years,"Rate per 1,000 Population",39.4,39.444736323635645
2017/18,Scotland (All Areas Submitted),Telecare Only,Unknown,Number of People,0,0
2017/18,Scotland (All Areas Submitted),Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Number of People,21585,21585
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",4,3.978948532664799
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Number of People,25,25
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.024270548660023008
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Number of People,3330,3330
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",1,0.9845726629408623
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Number of People,3720,3720
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",6.6,6.588782067177238
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Number of People,7185,7185
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",22,22.029403197866046
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Number of People,7325,7325
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",60.1,60.13167400013134
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2017/18,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,109335,109335
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",20.2,20.154660079634272
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,430,430
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.4,0.41745343695239573
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,14645,14645
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",4.3,4.330050044675354
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,17475,17475
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",31,30.95133511395759
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,38640,38640
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",118.5,118.47127899311677
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,38010,38010
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",312,312.02797662047675
