financial_year,sending_location,service,age_group,measure,value
2015/16,Scotland (Estimated),Community Alarm Only,All Ages,"Rate per 1,000 Population",16.8
2015/16,Scotland (Estimated),Community Alarm Only,All Ages,Number of People,90380
2015/16,Scotland (Estimated),Telecare Only,All Ages,"Rate per 1,000 Population",1.3
2015/16,Scotland (Estimated),Telecare Only,All Ages,Number of People,6920
2015/16,Scotland (Estimated),Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",5.5
2015/16,Scotland (Estimated),Receiving both Community Alarm and Telecare,All Ages,Number of People,29490
2015/16,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",23.6
2015/16,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,126790
2015/16,Aberdeen City,Community Alarm Only,All Ages,"Rate per 1,000 Population",6.6
2015/16,Aberdeen City,Community Alarm Only,All Ages,Number of People,1510
2015/16,Aberdeen City,Telecare Only,All Ages,"Rate per 1,000 Population",4.3
2015/16,Aberdeen City,Telecare Only,All Ages,Number of People,980
2015/16,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0
2015/16,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,Number of People,0
2015/16,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",10.8
2015/16,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2490
2015/16,Aberdeenshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",18.7
2015/16,Aberdeenshire,Community Alarm Only,All Ages,Number of People,4890
2015/16,Aberdeenshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.6
2015/16,Aberdeenshire,Telecare Only,All Ages,Number of People,150
2015/16,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1.9
2015/16,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,500
2015/16,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",21.1
2015/16,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5540
2015/16,Angus,Community Alarm Only,All Ages,"Rate per 1,000 Population",19.2
2015/16,Angus,Community Alarm Only,All Ages,Number of People,2250
2015/16,Angus,Telecare Only,All Ages,"Rate per 1,000 Population",0.2
2015/16,Angus,Telecare Only,All Ages,Number of People,20
2015/16,Angus,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",3.2
2015/16,Angus,Receiving both Community Alarm and Telecare,All Ages,Number of People,370
2015/16,Angus,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",22.6
2015/16,Angus,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2640
2015/16,Argyll and Bute,Community Alarm Only,All Ages,"Rate per 1,000 Population",16.6
2015/16,Argyll and Bute,Community Alarm Only,All Ages,Number of People,1440
2015/16,Argyll and Bute,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,Argyll and Bute,Telecare Only,All Ages,Number of People,0
2015/16,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",8.4
2015/16,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,Number of People,730
2015/16,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",25
2015/16,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2170
2015/16,City of Edinburgh,Community Alarm Only,All Ages,"Rate per 1,000 Population",11.1
2015/16,City of Edinburgh,Community Alarm Only,All Ages,Number of People,5520
2015/16,City of Edinburgh,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,City of Edinburgh,Telecare Only,All Ages,Number of People,0
2015/16,City of Edinburgh,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",6.1
2015/16,City of Edinburgh,Receiving both Community Alarm and Telecare,All Ages,Number of People,3060
2015/16,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",17.2
2015/16,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,8580
2015/16,Clackmannanshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",29
2015/16,Clackmannanshire,Community Alarm Only,All Ages,Number of People,1490
2015/16,Clackmannanshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.4
2015/16,Clackmannanshire,Telecare Only,All Ages,Number of People,20
2015/16,Clackmannanshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",5.6
2015/16,Clackmannanshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,290
2015/16,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",35
2015/16,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1800
2015/16,Comhairle nan Eilean Siar,Community Alarm Only,All Ages,"Rate per 1,000 Population",38.4
2015/16,Comhairle nan Eilean Siar,Community Alarm Only,All Ages,Number of People,1040
2015/16,Comhairle nan Eilean Siar,Telecare Only,All Ages,"Rate per 1,000 Population",0.4
2015/16,Comhairle nan Eilean Siar,Telecare Only,All Ages,Number of People,10
2015/16,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",4.1
2015/16,Comhairle nan Eilean Siar,Receiving both Community Alarm and Telecare,All Ages,Number of People,110
2015/16,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",42.9
2015/16,Comhairle nan Eilean Siar,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1160
2015/16,Dumfries and Galloway,Community Alarm Only,All Ages,"Rate per 1,000 Population",17.1
2015/16,Dumfries and Galloway,Community Alarm Only,All Ages,Number of People,2560
2015/16,Dumfries and Galloway,Telecare Only,All Ages,"Rate per 1,000 Population",0.7
2015/16,Dumfries and Galloway,Telecare Only,All Ages,Number of People,100
2015/16,Dumfries and Galloway,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1.2
2015/16,Dumfries and Galloway,Receiving both Community Alarm and Telecare,All Ages,Number of People,180
2015/16,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",19
2015/16,Dumfries and Galloway,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2840
2015/16,Dundee City,Community Alarm Only,All Ages,"Rate per 1,000 Population",35
2015/16,Dundee City,Community Alarm Only,All Ages,Number of People,5180
2015/16,Dundee City,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,Dundee City,Telecare Only,All Ages,Number of People,0
2015/16,Dundee City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1.1
2015/16,Dundee City,Receiving both Community Alarm and Telecare,All Ages,Number of People,170
2015/16,Dundee City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",36.2
2015/16,Dundee City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5360
2015/16,East Ayrshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",11.1
2015/16,East Ayrshire,Community Alarm Only,All Ages,Number of People,1350
2015/16,East Ayrshire,Telecare Only,All Ages,"Rate per 1,000 Population",1.7
2015/16,East Ayrshire,Telecare Only,All Ages,Number of People,210
2015/16,East Ayrshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",19.9
2015/16,East Ayrshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,2430
2015/16,East Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",32.6
2015/16,East Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3980
2015/16,East Dunbartonshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",10.9
2015/16,East Dunbartonshire,Community Alarm Only,All Ages,Number of People,1170
2015/16,East Dunbartonshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.1
2015/16,East Dunbartonshire,Telecare Only,All Ages,Number of People,10
2015/16,East Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",2
2015/16,East Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,210
2015/16,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",13
2015/16,East Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1390
2015/16,East Lothian,Community Alarm Only,All Ages,"Rate per 1,000 Population",26.9
2015/16,East Lothian,Community Alarm Only,All Ages,Number of People,2770
2015/16,East Lothian,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,East Lothian,Telecare Only,All Ages,Number of People,0
2015/16,East Lothian,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",4.4
2015/16,East Lothian,Receiving both Community Alarm and Telecare,All Ages,Number of People,450
